"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Snowmass Village, Colorado, United States","39.20578","-106.95359","🏔️Ski-in, Ski-out~Hot Tub~2-Bedroom Deluxe 204🏔️","6","Entire condo","5","https://www.airbnb.com/rooms/50895037"
"Crested Butte, Colorado, United States","38.89972","-106.96833","Snowcrest Suite: Hot Tub, 2 Min Walk to Base Area!","6","Entire condo","5","https://www.airbnb.com/rooms/50892509"
"Crested Butte, Colorado, United States","38.898","-106.967","Updated 2Br With View of Lifts - No Cleaning Fee!","8","Entire condo","5","https://www.airbnb.com/rooms/31806892"
"Snowmass Village, Colorado, United States","39.20927","-106.95297","Tamarack Townhomes Unit 01","7","Entire condo",,"https://www.airbnb.com/rooms/13461037"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3206 - Handsome Two Bedroom","5","Entire condo",,"https://www.airbnb.com/rooms/34207347"
"Crested Butte, Colorado, United States","38.899","-106.967","3Br Townhome With Mountain Views & Garage - No Cleaning Fee!","6","Entire townhouse",,"https://www.airbnb.com/rooms/43471301"
"Snowmass Village, Colorado, United States","39.20369","-106.95882","Ski-In & Ski-Out  Condo ~ Top of the Village","4","Entire condo","4.5","https://www.airbnb.com/rooms/11417599"
"Gunnison, Colorado, United States","38.894","-106.967","""Sagebrush"" Lovely renovated 4BR, 4BA Condo. Ski In/Ski Out! Pet Friendly!!","10","Entire condo","5","https://www.airbnb.com/rooms/46070742"
"Snowmass Village, Colorado, United States","39.20524","-106.95914","Top of the Village Summit 305: Ski in Ski Out","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/45577730"
"Snowmass Village, Colorado, United States","39.20417","-106.95761","Ski-in/Ski-out! Hot Tub! Top of the Village","5","Entire condo","5","https://www.airbnb.com/rooms/13857425"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3324 - Cheerful Two Bedroom Res","5","Entire condo","5","https://www.airbnb.com/rooms/34207150"
"Snowmass Village, Colorado, United States","39.209","-106.95","Hayden Lodge 2303 - Chic, Modern One bedroom Resid","4","Entire condo","4.5","https://www.airbnb.com/rooms/34904897"
"Snowmass Village, Colorado, United States","39.215","-106.94085","Lovely 2 bedroom condo, great location in Snowmass","4","Entire condo","5","https://www.airbnb.com/rooms/549126291217266400"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3308 - Birdseye Views of Elk Ca","5","Entire condo",,"https://www.airbnb.com/rooms/34206577"
"Aspen, Colorado, United States","39.20682","-106.94923","NEW RENTAL~Woodrun Place~Ski-In/Ski-Out~ 2 Bedroom","6","Entire condo",,"https://www.airbnb.com/rooms/50481161"
"Snowmass Village, Colorado, United States","39.20454","-106.95344","🏔️Ski-in, Ski-out~Hot Tub~2-Bedroom Premier 209🏔️","6","Entire condo","5","https://www.airbnb.com/rooms/46332257"
"Crested Butte, Colorado, United States","38.9","-106.966","Comfortable 1 Bedroom Condo - Slopeside - No Cleaning Fee!","4","Entire condo","5","https://www.airbnb.com/rooms/45519208"
"Snowmass Village, Colorado, United States","39.21049","-106.9445","Welcoming Mountain Suite Steps From Ski Lift w/Shared Pool & Hot Tub + Free WiFi","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/30341015"
"Snowmass Village, Colorado, United States","39.20373","-106.95849","Top of the Village Trails 307","5","Entire condo","5","https://www.airbnb.com/rooms/13765240"
"Aspen, Colorado, United States","39.21808","-106.92459","Villas - 2 Bedroom Condo - Snowmass Club Access!","6","Entire condo","5","https://www.airbnb.com/rooms/13221650"
"Snowmass Village, Colorado, United States","39.20801","-106.95261","Ski in Ski Out Shadowbrook 301: Mountain Views","6","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/45055571"
"Snowmass Village, Colorado, United States","39.20387","-106.95606","🌲Hot Tub~Pool~WiFi~Ski-in/out~Local Shuttle~Timberline 2 bedroom+Loft/2Bath, Standard~Condo B3E🌲","7","Entire condo","5","https://www.airbnb.com/rooms/45673934"
"Crested Butte, Colorado, United States","38.898","-106.967","Large 2 Br With Open Floorplan & Great Views! - No Cleaning Fee!","6","Entire condo",,"https://www.airbnb.com/rooms/31806926"
"Snowmass Village, Colorado, United States","39.20416","-106.95769","Views! ""Highly recommend!"" TR205","6","Entire condo","5","https://www.airbnb.com/rooms/13766691"
"Crested Butte, Colorado, United States","38.898","-106.967","Cozy & Spacious 2 Br Condo Sleeps 6! - No Cleaning Fee!","6","Entire condo","3","https://www.airbnb.com/rooms/31807005"
