"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Great Pond, Maine, United States","44.91816","-68.27091","Calm Waterfront Great Pond Cottage w/Hot Tub, Deck","6","Entire cottage","5","https://www.airbnb.com/rooms/27200792"
"Surry, Maine, United States","44.48703","-68.49212","Coastal Maine Magic in a Luxury Yurt","2","Private room in yurt","5","https://www.airbnb.com/rooms/22449094"
"Gouldsboro, Maine, United States","44.40841","-68.0226","Watering Cove Cottage","4","Entire home","5","https://www.airbnb.com/rooms/49476546"
"Bar Harbor, Maine, United States","44.43067","-68.28676","Little Puffin Cottage at Bay Meadow","2","Entire cottage","5","https://www.airbnb.com/rooms/19408994"
"Dedham, Maine, United States","44.69671","-68.60041","Spacious lake house - stunning views, private dock","7","Entire home","4.5","https://www.airbnb.com/rooms/52811957"
"Holden, Maine, United States","44.72074","-68.72608","Brewer Lake Maine(50 Mins to Acadia National Park)","6","Entire home","5","https://www.airbnb.com/rooms/53847412"
"Tremont, Maine, United States","44.246","-68.373","Charming Carriage House. Great Ocean Views!","6","Entire cottage","5","https://www.airbnb.com/rooms/5929926"
"Lamoine, Maine, United States","44.48731","-68.27136","Acadia 2 BR Quiet Rural Home Rental - Work + Vacay","4","Entire home","5","https://www.airbnb.com/rooms/49158816"
"Gouldsboro, Maine, United States","44.47191","-68.09112","Pet Friendly 3 BR House Near Acadia Nat'l Park","6","Entire home","5","https://www.airbnb.com/rooms/5937962"
"Bar Harbor, Maine, United States","44.38961","-68.20861","Chez Acadia - Renovated Charmer in Bar Harbor","4","Entire bungalow","5","https://www.airbnb.com/rooms/33535634"
"Bar Harbor, Maine, United States","44.387","-68.206","Downtown Hotel Suite","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/5891172"
"Bar Harbor, Maine, United States","44.43035","-68.28618","The Lighthouse Cottage at Bay Meadow","2","Entire cottage","5","https://www.airbnb.com/rooms/19305768"
"Gouldsboro, Maine, United States","44.46728","-67.99114","Downeast Oceanside Retreat on the Atlantic","4","Entire guesthouse","5","https://www.airbnb.com/rooms/17679896"
"Prospect Harbor, Maine, United States","44.38393","-68.02638","Waterfront Prospect Harbor Cottage w/Yard&Fire Pit","2","Entire cottage","5","https://www.airbnb.com/rooms/20900876"
"Hancock, Maine, United States","44.49357","-68.22209","Lazy Acres Cottage","6","Entire cabin","5","https://www.airbnb.com/rooms/20402825"
"Surry, Maine, United States","44.4957","-68.52526","Cozy house in the woods","6","Entire home","5","https://www.airbnb.com/rooms/51694658"
"Southwest Harbor, Maine, United States","44.28441","-68.32771","The Carriage House","2","Entire cottage","5","https://www.airbnb.com/rooms/32088084"
"Gouldsboro, Maine, United States","44.39788","-67.96779","Captain Nehemiah House Corea Maine","10","Entire bungalow","5","https://www.airbnb.com/rooms/50622223"
"Tremont, Maine, United States","44.2354","-68.36122","The Barnacle Cottage near Acadia","4","Entire home","5","https://www.airbnb.com/rooms/16692141"
"Prospect, Maine, United States","44.55529","-68.8091","Lovely one bedroom condo with amazing views","2","Entire condo","5","https://www.airbnb.com/rooms/51651138"
"Mount Desert, Maine, United States","44.33584","-68.32125","Sound View","10","Entire home","5","https://www.airbnb.com/rooms/12581892"
"Sorrento, Maine, United States","44.52208","-68.23294","Home Sweet Home Between the Forest and the Ocean","6","Entire home","5","https://www.airbnb.com/rooms/53239322"
"Ellsworth, Maine, United States","44.54194","-68.41991","3 bedroom house in House in Ellsworth Maine","6","Entire home","4.5","https://www.airbnb.com/rooms/51590351"
"Gouldsboro, Maine, United States","44.42561","-67.97756","Large House on Gouldsboro Bay, stunning views!","12","Entire home","4","https://www.airbnb.com/rooms/24103769"
"Bar Harbor, Maine, United States","44.37466","-68.28355","Sunset Point cottage with mountain & park views, fireplace, deck","4","Entire cabin","4","https://www.airbnb.com/rooms/53357510"
