"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Albuquerque, New Mexico, United States","35.10251","-106.6748","Convenient Old Town 3BD Town House","6","Entire home","4.5","https://www.airbnb.com/rooms/2959685"
"Albuquerque, New Mexico, United States","35.09382","-106.60011","Our Family Tradition Home","8","Entire home","5","https://www.airbnb.com/rooms/38076134"
"Albuquerque, New Mexico, United States","35.06833","-106.60247","Nob Hill Bungalow","4","Entire home",,"https://www.airbnb.com/rooms/24266350"
"Albuquerque, New Mexico, United States","35.13974","-106.5407","The Great Room","3","Shared room in home",,"https://www.airbnb.com/rooms/51726447"
"Albuquerque, New Mexico, United States","35.10335","-106.70883","Family Getaway! Two Comfy Units, and Pool","8","Room in hotel",,"https://www.airbnb.com/rooms/52414296"
"Albuquerque, New Mexico, United States","35.10469","-106.60311","Perfect Family Getaway! 3 Gorgeous Units, Free Breakfast, Pool","12","Room in hotel",,"https://www.airbnb.com/rooms/48147851"
"Albuquerque, New Mexico, United States","35.10169","-106.7086","Family Getaway! Two Comfy Units, and Pool","8","Room in hotel",,"https://www.airbnb.com/rooms/52414297"
"Albuquerque, New Mexico, United States","35.10688","-106.60314","3 Units for Group Travel, Free Breakfast, Pool","12","Room in hotel",,"https://www.airbnb.com/rooms/52489481"
"Albuquerque, New Mexico, United States","35.10561","-106.60206","Family Vacay! 3 Modern Units Near Museums/UNM","12","Room in hotel",,"https://www.airbnb.com/rooms/52489519"
"Albuquerque, New Mexico, United States","35.21107","-106.68175","Spanish Style Beauty located in  Paradise Heights.","10","Entire home","5","https://www.airbnb.com/rooms/34469479"
"Albuquerque, New Mexico, United States","35.20122","-106.63786","Alameda BnB","6","Private room in home","5","https://www.airbnb.com/rooms/15180187"
"Albuquerque, New Mexico, United States","35.14157","-106.54182","The Red Room","9","Private room in home",,"https://www.airbnb.com/rooms/51906303"
"Albuquerque, New Mexico, United States","35.14358","-106.55512","1 Private Bedroom with Queen Bed","2","Private room in home",,"https://www.airbnb.com/rooms/38360096"
"Albuquerque, New Mexico, United States","35.10701","-106.6723","perfect stopover in Albuquerque!","11","Entire home","4.5","https://www.airbnb.com/rooms/28252409"
"Los Ranchos de Albuquerque, New Mexico, United States","35.15448","-106.6347","Immaculate 4Bdr Village Countryside in the City","10","Entire home","5","https://www.airbnb.com/rooms/28487905"
"Los Ranchos de Albuquerque, New Mexico, United States","35.1737","-106.64487","Spacious 3 bedrooms in the heart of Los Ranchos","6","Entire home","5","https://www.airbnb.com/rooms/28691364"
"Albuquerque, New Mexico, United States","35.17043","-106.56559","$0 Cleaning or Hidden Fees! 4 bed / With Pool","8","Entire home","4.5","https://www.airbnb.com/rooms/46619128"
"Albuquerque, New Mexico, United States","35.08107","-106.50661","Quiet private apartment with all the +++","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/48604289"
"Albuquerque, New Mexico, United States","35.149","-106.72019","Private pool 3 bedroom 2 bath","10","Private room in home",,"https://www.airbnb.com/rooms/53267523"
"Albuquerque, New Mexico, United States","35.087","-106.495","Cozy home in the NE Heights  with Hot Tub","6","Entire home","5","https://www.airbnb.com/rooms/20960986"
"Albuquerque, New Mexico, United States","35.14642","-106.57199","Knollwood Gardens Peaceful and cozy townhome","5","Entire townhouse","5","https://www.airbnb.com/rooms/49862226"
"Los Ranchos de Albuquerque, New Mexico, United States","35.1552","-106.65611","Sarabande North Room","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/42405636"
"Albuquerque, New Mexico, United States","35.10278","-106.52382","Sanitized, Very Clean, Room to entertain guests","6","Entire home","5","https://www.airbnb.com/rooms/40447296"
"Albuquerque, New Mexico, United States","35.08072","-106.60924","Spacious Nob Hill Residence w/ Off Street Parking","6","Entire home","5","https://www.airbnb.com/rooms/48811353"
"Albuquerque, New Mexico, United States","35.07763","-106.63058","Bright ABQ Villa with Fire Pit - 3 Mi to Airport!","16","Entire villa","4","https://www.airbnb.com/rooms/45378543"
