"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Maggie Valley, North Carolina, United States","35.50752","-83.15295","The Bear's Cave","10","Entire home","4.5","https://www.airbnb.com/rooms/48569530"
"Maggie Valley, North Carolina, United States","35.52017","-83.08106","Heavenly Daze, Enjoy an Amazing Maggie Valley View","6","Entire home","5","https://www.airbnb.com/rooms/53311012"
"Franklin, North Carolina, United States","35.26223","-83.3633","Misty Knoll - Small Creek","8","Entire chalet","5","https://www.airbnb.com/rooms/43021837"
"Highlands, North Carolina, United States","35.05943","-83.19748","Elevated Studio Suite at our Boutique Mountain Inn","2","Room in hotel","5","https://www.airbnb.com/rooms/44028011"
"Highlands, North Carolina, United States","35.06623","-83.21961","Lake Cabin - In Town!","6","Entire cabin","5","https://www.airbnb.com/rooms/37425492"
"Highlands, North Carolina, United States","35.08906","-83.16276","Relax at Wildwood Mountain","6","Entire home",,"https://www.airbnb.com/rooms/42835817"
"Cashiers, North Carolina, United States","35.14088","-83.14539","Fairway To Heaven at Trillium Links and Lake Club","8","Entire home","5","https://www.airbnb.com/rooms/45952425"
"Glenville, North Carolina, United States","35.14989","-83.07208","Rover's Retreat","6","Entire cabin","5","https://www.airbnb.com/rooms/25980281"
"Maggie Valley, North Carolina, United States","35.52445","-83.0518","Maggie’s Hideaway - Mountain and Fairway views","6","Entire condo","5","https://www.airbnb.com/rooms/51799045"
"Maggie Valley, North Carolina, United States","35.5084","-83.02793","Altitude Adjustment in Gated Smoky Mtn. Retreat","10","Entire cabin","5","https://www.airbnb.com/rooms/29705137"
"Lake Glenville, North Carolina, United States","35.16945","-83.1466","Mom’s Place: Cozy Lake Glenville Cabin","7","Entire cabin","4.5","https://www.airbnb.com/rooms/26867686"
"Highlands, North Carolina, United States","35.0478","-83.20867","NEW! Highlands Cottage w/ Sunroom: 1 Mi to Dtwn!","8","Entire home","5","https://www.airbnb.com/rooms/50262001"
"Lake Junaluska, North Carolina, United States","35.5246","-82.9778","Lakefront Oasis- Entire house","14","Entire home","5","https://www.airbnb.com/rooms/54101262"
"Highlands, North Carolina, United States","35.08253","-83.18724","5 min from downtown, Family/Pet Friendly, Sleeps 9","9","Entire cabin","5","https://www.airbnb.com/rooms/52130062"
"Glenville, North Carolina, United States","35.19647","-83.08599","Upscale family home with mountain views","10","Entire home","5","https://www.airbnb.com/rooms/48900748"
"Cashiers, North Carolina, United States","35.1202","-83.09833","Tiny Trail-Romantic, Secluded,Peaceful Cottage","4","Entire cottage","5","https://www.airbnb.com/rooms/17608633"
"Maggie Valley, North Carolina, United States","35.51563","-83.0576","Firepit, Pool Table, Hot-Tub, Wi-Fi!","8","Entire cabin","5","https://www.airbnb.com/rooms/44613226"
"Waynesville, North Carolina, United States","35.48788","-83.02856","Lanfyne Ayr: Scottish roots set in the Asheville area.","11","Entire home","4.5","https://www.airbnb.com/rooms/48899541"
"Dillsboro, North Carolina, United States","35.37642","-83.26766","Relax and Unwind","10","Entire cabin","5","https://www.airbnb.com/rooms/38378358"
"Whittier, North Carolina, United States","35.4133","-83.34495","Beautiful Home w/Free WiFi, Firepit, Private Pool Table, Hot Tub, Deck, & AC","10","Entire home","4","https://www.airbnb.com/rooms/50937032"
"Cashiers, North Carolina, United States","35.12803","-83.11108","Close to town and Lake Glenville","6","Entire home","5","https://www.airbnb.com/rooms/11236564"
"Cashiers, North Carolina, United States","35.12","-83.098","2Bd/1Ba or +1Bd/1Ba stream/waterfall , downtown","7","Entire cottage","5","https://www.airbnb.com/rooms/25055237"
"Cullowhee, North Carolina, United States","35.24997","-83.24014","Our Pinnacle - Private Home Nestled in the heart of the Smokies - With a hot tub","8","Entire home","4.5","https://www.airbnb.com/rooms/43894016"
"Cashiers, North Carolina, United States","35.14084","-83.13568","WanderView Lodge - Your Perfect Mountain Getaway!","6","Entire chalet","5","https://www.airbnb.com/rooms/40455640"
"Highlands, North Carolina, United States","35.12297","-83.26105","Buck Creek Cabin - Buck Creek Frontage","6","Entire cabin","5","https://www.airbnb.com/rooms/48995100"
