"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kerhonkson, New York, United States","41.78492","-74.29503","Modern Mountain House Near Catskills + Minnewaska","6","Entire home","5","https://www.airbnb.com/rooms/24082458"
"High Falls, New York, United States","41.82403","-74.12745","The Lev House
Historic High Falls Home","4","Entire home","5","https://www.airbnb.com/rooms/50965701"
"Accord, New York, United States","41.83714","-74.20511","Charming 18th Century Farm House with Pool","8","Entire cottage","5","https://www.airbnb.com/rooms/6895618"
"Saugerties, New York, United States","42.14105","-73.99041","Stunning Farmhouse, Indoor Hot Tub, Fire Pit","8","Entire home","5","https://www.airbnb.com/rooms/53004929"
"Woodstock, New York, United States","42.016","-74.143","Magical Woodstock Getaway","10","Entire chalet","5","https://www.airbnb.com/rooms/2399615"
"Olivebridge, New York, United States","41.905","-74.276","Aunt Ruth's Farm House","8","Entire home","5","https://www.airbnb.com/rooms/44997225"
"Phoenicia, New York, United States","42.07007","-74.33738","Tiny Blue Mountain Cabin","2","Entire cabin","5","https://www.airbnb.com/rooms/27829144"
"Bearsville, New York, United States","42.03049","-74.18151","Woodstock Charmer-Elephant Cottage, Nature, Hiking","5","Entire home","5","https://www.airbnb.com/rooms/26420259"
"Wallkill, New York, United States","41.67053","-74.2495","Lake House - ""Peace and quiet""","7","Entire home","4.5","https://www.airbnb.com/rooms/49502061"
"Wallkill, New York, United States","41.667","-74.245","A Rare Find! Private Pond  Near New Paltz","6","Entire home","5","https://www.airbnb.com/rooms/22174631"
"Wallkill, New York, United States","41.631","-74.226","Wallkill dreamy getaway at a horse farm","8","Farm stay","5","https://www.airbnb.com/rooms/46817026"
"Accord, New York, United States","41.79825","-74.20814","Historic and warm 6-bedroom farmhouse","10","Entire home","4.5","https://www.airbnb.com/rooms/53993745"
"Saugerties, New York, United States","42.03757","-73.96019","Hudson Valley Kid-friendly Retreat by Woodstock","8","Entire home","5","https://www.airbnb.com/rooms/49446804"
"High Falls, New York, United States","41.79945","-74.17941","Inn at High Falls","13","Farm stay","5","https://www.airbnb.com/rooms/33217448"
"Kerhonkson, New York, United States","41.82661","-74.30757","Kerhonkson Mountain Home on 23 Acres","7","Entire home","4.5","https://www.airbnb.com/rooms/49860535"
"Phoenicia, New York, United States","42.06924","-74.34599","Mountainside Cottage Escape (Catskills)","4","Entire cabin","5","https://www.airbnb.com/rooms/27577504"
"Woodstock, New York, United States","42.03138","-74.11746","Orange Door  Retreat","6","Entire home","5","https://www.airbnb.com/rooms/818040"
"Monticello, New York, United States","41.69344","-74.67565","YO1 Health Resort, Lakeview King","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/39858610"
"Palenville, New York, United States","42.13669","-74.03723","A Stream Side Cottage- Waterfront Sleeps 6","6","Entire home","5","https://www.airbnb.com/rooms/18522850"
"Mount Tremper, New York, United States","42.03051","-74.21571","Tree Top Oasis","8","Entire home",,"https://www.airbnb.com/rooms/30033314"
"Saugerties, New York, United States","42.11569","-73.97803","Beautiful Home W Pool & Hottub Woodstock & Hunter","9","Entire home","4.5","https://www.airbnb.com/rooms/45352826"
"Accord, New York, United States","41.786","-74.23","Village Victorian Historic Home with Private Rooms","12","Entire home","4.5","https://www.airbnb.com/rooms/19592561"
"Saugerties, New York, United States","42.07489","-73.9515","Hudson Pearl","6","Entire townhouse","5","https://www.airbnb.com/rooms/51541113"
"Saugerties, New York, United States","42.06622","-73.9783","Cozy Rustic Home Near Hunter & Windham","5","Entire home","4.5","https://www.airbnb.com/rooms/46259329"
"Fleischmanns, New York, United States","42.1755","-74.56569","Majestic Mountain Views of Belleayre, min. To ski!","9","Entire home","5","https://www.airbnb.com/rooms/39226431"
