"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bayview, Idaho, United States","47.98187","-116.55683","F29 -  2 Bdrm  Unobstructed Lakeview Float Home","5","Houseboat","5","https://www.airbnb.com/rooms/23168146"
"Bonners Ferry, Idaho, United States","48.67228","-116.25272","Cow Creek Cottage & Suite","12","Entire cottage","5","https://www.airbnb.com/rooms/45205199"
"Nordman, Idaho, United States","48.65256","-116.93415","Home on Private Lake","6","Entire home","4.5","https://www.airbnb.com/rooms/52370700"
"Priest River, Idaho, United States","48.49116","-116.90173","Outlet Bay  Outstanding","12","Entire cabin","5","https://www.airbnb.com/rooms/14489851"
"Bayview, Idaho, United States","47.98411","-116.55424","Sweeping Hillside Lake View Home","9","Entire home","4","https://www.airbnb.com/rooms/53402700"
"Sandpoint, Idaho, United States","48.27644","-116.55117","Cozy Cabin  - Three Peaks Cabin","5","Entire cabin",,"https://www.airbnb.com/rooms/43940800"
"Clark Fork, Idaho, United States","48.08","-116.075","Secluded cabin on 5 acres","8","Entire cabin",,"https://www.airbnb.com/rooms/47284087"
"Sandpoint, Idaho, United States","48.27024","-116.546","Downtown Waterfront Loft","6","Entire condo","5","https://www.airbnb.com/rooms/39057898"
"Sagle, Idaho, United States","48.19801","-116.69729","Massive, Grand Chic Getaway on Pend Oreille River!","16","Entire home","4","https://www.airbnb.com/rooms/50480898"
"Priest Lake, Idaho, United States","48.56731","-116.93068","Our Kalispell Bay Cabin Getaway at Priest Lake","9","Entire cabin","5","https://www.airbnb.com/rooms/54151548"
"Sandpoint, Idaho, United States","48.38597","-116.47957","Lazy River Lodge","12","Entire home","5","https://www.airbnb.com/rooms/21630507"
"Coolin, Idaho, United States","48.52646","-116.84926","Priest Lake home: amazing beach!","6","Entire home","5","https://www.airbnb.com/rooms/3468749"
"Dover, Idaho, United States","48.2471","-116.61497","228 Serenity","10","Entire bungalow","5","https://www.airbnb.com/rooms/29484989"
"Dover Bay, Idaho, United States","48.247","-116.613","60 Family Fun","11","Entire bungalow","5","https://www.airbnb.com/rooms/43942201"
"Coolin, Idaho, United States","48.47483","-116.8413","Priest Lake Cozy Cabin in the Woods","7","Entire home","5","https://www.airbnb.com/rooms/43699568"
"Sandpoint, Idaho, United States","48.27499","-116.55009","Ranch Escape - Whitetail Cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/43944095"
"Sandpoint, Idaho, United States","48.3342","-116.39747","Gorgeous 3bed/3bath Home at The Idaho Club","8","Entire home",,"https://www.airbnb.com/rooms/52735080"
"Sandpoint, Idaho, United States","48.27885","-116.54587","Lakefront penthouse w/ views of the lake & shared dock/pool/hot tub!","8","Entire condo","4","https://www.airbnb.com/rooms/36667191"
"Dover, Idaho, United States","48.2478","-116.61264","206 3 Bears","8","Entire bungalow","4.5","https://www.airbnb.com/rooms/40058759"
"Dover, Idaho, United States","48.24572","-116.61363","43 On Golden Pend Oreille","8","Entire bungalow","4.5","https://www.airbnb.com/rooms/52183772"
"Dover, Idaho, United States","48.24642","-116.61287","168 Evergreen by the Lake","10","Entire bungalow","4.5","https://www.airbnb.com/rooms/29485028"
"Sagle, Idaho, United States","48.24866","-116.68027","Spacious home w/ a gas fireplace & shared dock - close to the river!","11","Entire home","5","https://www.airbnb.com/rooms/32472979"
"Dover, Idaho, United States","48.24732","-116.61278","Dover Lake House - 15 miles to Schweitzer","8","Entire home","5","https://www.airbnb.com/rooms/1661773"
"Sandpoint, Idaho, United States","48.246","-116.614","209 Dover Dreamin`","9","Entire bungalow","5","https://www.airbnb.com/rooms/43942219"
"Sagle, Idaho, United States","48.234","-116.441","Waterfront Guest Suite w/Dock-Bottle Bay,Sandpoint","6","Entire guesthouse","5","https://www.airbnb.com/rooms/46145970"
