"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ainsworth, Iowa, United States","41.24866","-91.49225","So Dear To My Heart Bed & Breakfast","16","Entire bed and breakfast","5","https://www.airbnb.com/rooms/4634847"
"Iowa City, Iowa, United States","41.65461","-91.51093","Friendship Rental whole house","12","Entire home","5","https://www.airbnb.com/rooms/48547189"
"Moline, Illinois, United States","41.46155","-90.4877","Riverside Treehouse","4","Entire home","5","https://www.airbnb.com/rooms/40602746"
"Moline, Illinois, United States","41.46105","-90.48934","Riverside Cottage","6","Entire home","5","https://www.airbnb.com/rooms/39814911"
"Le Claire, Iowa, United States","41.63489","-90.34895","Modern Mississippi River Cabin","12","Entire cabin","5","https://www.airbnb.com/rooms/49572607"
"North Liberty, Iowa, United States","41.73251","-91.60164","Twilight ☆ Townhouse","10","Entire townhouse","5","https://www.airbnb.com/rooms/52653657"
"Morning Sun, Iowa, United States","41.173","-91.283","Buckman's Guesthouse BnB (5 Bedrooms+)","16","Entire home","5","https://www.airbnb.com/rooms/21974745"
"Oxford, Iowa, United States","41.76023","-91.7385","Prairie retreat with 40 acres!","15","Entire cottage","5","https://www.airbnb.com/rooms/54197023"
"Iowa City, Iowa, United States","41.65161","-91.56378","Entire 3 bedroom home","6","Entire home",,"https://www.airbnb.com/rooms/52760076"
"Iowa City, Iowa, United States","41.67013","-91.53302","""Northside"" Gem Close to Downtown","5","Entire home","4.5","https://www.airbnb.com/rooms/8222163"
"East Moline, Illinois, United States","41.538","-90.428","House on River with Pool and Game Room","16","Entire home","4.5","https://www.airbnb.com/rooms/20726496"
"Iowa City, Iowa, United States","41.6493","-91.54615","Hudson House | Creative, Classic, Comfort","12","Entire home","5","https://www.airbnb.com/rooms/43357175"
"Iowa City, Iowa, United States","41.65647","-91.55408","Hawkeye Football Experience","3","Private room in home","5","https://www.airbnb.com/rooms/52350533"
"Davenport, Iowa, United States","41.56858","-90.57281","Unique 'Heart Of The Town' Home","10","Entire home","5","https://www.airbnb.com/rooms/48479468"
"Tiffin, Iowa, United States","41.71334","-91.64955","Spacious new construction minutes from Iowa City","10","Entire townhouse","5","https://www.airbnb.com/rooms/53334828"
"Tiffin, Iowa, United States","41.71048","-91.664","Spacious 4 BR Home! ☆ Convenient Location📍","10","Entire home","5","https://www.airbnb.com/rooms/35679937"
"Davenport, Iowa, United States","41.53403","-90.5414","Davenport E.Village Retreat-walk to eat drink shop","10","Entire home","5","https://www.airbnb.com/rooms/38748539"
"Davenport, Iowa, United States","41.57585","-90.59074","Rieder Ranch","12","Entire home","5","https://www.airbnb.com/rooms/36897606"
"North Liberty, Iowa, United States","41.74879","-91.62452","Gorgeous modern home close to University of Iowa.","6","Entire home","5","https://www.airbnb.com/rooms/38372440"
"Solon, Iowa, United States","41.79458","-91.56568","The Lake House","10","Entire home","5","https://www.airbnb.com/rooms/45504081"
"Iowa City, Iowa, United States","41.64879","-91.54427","Moderne Home | Memorable, Modern, A Must Book","14","Entire home","5","https://www.airbnb.com/rooms/49424468"
"Iowa City, Iowa, United States","41.67617","-91.55756","Delightful Townhouse in Trendy Quiet Neighborhood","6","Entire townhouse","5","https://www.airbnb.com/rooms/49816603"
"Iowa City, Iowa, United States","41.67646","-91.55649","Charming Townhouse Near Downtown Iowa City","4","Entire townhouse","5","https://www.airbnb.com/rooms/45893724"
"North Liberty, Iowa, United States","41.76429","-91.57004","North Liberty Lake Hideaway: 8 Mi to Iowa City!","12","Entire home","5","https://www.airbnb.com/rooms/19438101"
"Iowa City, Iowa, United States","41.655","-91.553","Hamilton House 🏠 Steps to Kinnick and UI Hospital!","8","Entire home","5","https://www.airbnb.com/rooms/53476492"
