"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Somerset, Pennsylvania, United States","40.06687","-79.24281","Laurel Highlands Mountaintop House","10","Entire chalet","5","https://www.airbnb.com/rooms/833736"
"Champion, Pennsylvania, United States","40.00825","-79.28592","Relaxing Mountain Getaway","7","Entire condo",,"https://www.airbnb.com/rooms/40483563"
"Hidden Valley, Pennsylvania, United States","40.061","-79.258","Townhouse with stunning views","6","Entire townhouse","5","https://www.airbnb.com/rooms/5229814"
"Donegal, Pennsylvania, United States","40.09358","-79.36643","Baneberry Meadows Farm House","6","Farm stay",,"https://www.airbnb.com/rooms/51538566"
"Hidden Valley, Pennsylvania, United States","40.05178","-79.25524","Amazing 3Br - Fall Foliage","12","Entire condo","4.5","https://www.airbnb.com/rooms/11973051"
"Champion, Pennsylvania, United States","40.029","-79.284","Seven Springs Condo Mountain Villas kids love it!","6","Entire condo","5","https://www.airbnb.com/rooms/20481784"
"Confluence, Pennsylvania, United States","39.77636","-79.40774","Gorgeous Mountain Home 1 Min from Lake","12","Entire home","5","https://www.airbnb.com/rooms/15917830"
"Ligonier, Pennsylvania, United States","40.26848","-79.29521","Waterfront Buttermilk Falls Cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/28784442"
"Donegal, Pennsylvania, United States","40.09631","-79.35392","Cozy Mountain  House - 3 Bedroom","9","Entire home","5","https://www.airbnb.com/rooms/90309"
"Champion, Pennsylvania, United States","40.06829","-79.35109","Luna Chalet at Claycomb Chalets","7","Entire chalet","5","https://www.airbnb.com/rooms/9051313"
"Somerset, Pennsylvania, United States","40.0444","-79.21703","Mount Zion (5br) NEW ski home","16","Entire home","4.5","https://www.airbnb.com/rooms/53737839"
"Champion, Pennsylvania, United States","40.02806","-79.28402","Condo with a view","4","Entire condo","4.5","https://www.airbnb.com/rooms/40756509"
"Schellsburg, Pennsylvania, United States","40.042","-78.68","Quiet Farm House on Bison Farm","10","Entire home","5","https://www.airbnb.com/rooms/36476221"
"Jennerstown, Pennsylvania, United States","40.16243","-79.06222","Fair Oaks","4","Entire cottage","4.5","https://www.airbnb.com/rooms/2434933"
"Stahlstown, Pennsylvania, United States","40.12953","-79.35836","Shearer Mountain Chalet","6","Entire rental unit","5","https://www.airbnb.com/rooms/39528092"
"Salisbury, Pennsylvania, United States","39.7605","-79.07764","""Glamping"" at Tall Pines Distillery","4","Camper/RV","5","https://www.airbnb.com/rooms/48399297"
"Champion, Pennsylvania, United States","40.06712","-79.35117","Bear Claw Chalet at Claycomb Chalets","7","Entire chalet","5","https://www.airbnb.com/rooms/31617618"
"Confluence, Pennsylvania, United States","39.808","-79.36313","Riverfront Lodge","8","Entire home","4.5","https://www.airbnb.com/rooms/33338679"
"Champion, Pennsylvania, United States","40.0195","-79.28311","The JEMRAK at Seven Springs","8","Entire townhouse","5","https://www.airbnb.com/rooms/44630869"
"Stahlstown, Pennsylvania, United States","40.13765","-79.35849","Davids Spacious Cabin","6","Entire home","4.5","https://www.airbnb.com/rooms/22343601"
"Hidden valley, Pennsylvania, United States","40.04022","-79.25699","Hidden Valley Home on South Ridge","6","Entire home",,"https://www.airbnb.com/rooms/37430650"
"Somerset, Pennsylvania, United States","40.04697","-79.25346","3BR Townhome at Hidden Valley Ski Resort","8","Entire townhouse","5","https://www.airbnb.com/rooms/48168674"
"Hidden Valley, Pennsylvania, United States","40.04669","-79.25045","Hidden Valley Townhome 4Br3BaWiFi on 17th Fairway!","10","Entire townhouse","5","https://www.airbnb.com/rooms/28396074"
"Champion, Pennsylvania, United States","40.01157","-79.29199","Adorable 3 bedroom condominium","9","Entire vacation home","5","https://www.airbnb.com/rooms/52821438"
"Champion, Pennsylvania, United States","40.05136","-79.3451","Cozy 4-bedroom chalet minutes from Seven Springs","6","Entire chalet","4.5","https://www.airbnb.com/rooms/52583193"
