"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cascade, Montana, United States","47.13939","-111.85895","Recently Updated Missouri River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/13318398"
"Cascade, Montana, United States","47.09864","-111.93923","Fishing House with Mountain Views Close to Craig","7","Entire home",,"https://www.airbnb.com/rooms/17538870"
"Cascade, Montana, United States","47.13699","-111.9159","Life is Good Lodge Montana","8","Entire home","4.5","https://www.airbnb.com/rooms/3318148"
"Cascade, Montana, United States","47.15324","-111.84932","The MIGHTY-MO Riverside Retreat","4","Entire cabin","5","https://www.airbnb.com/rooms/24337196"
"Great Falls, Montana, United States","47.4616","-111.30337","The Missouri River Getaway","10","Entire home","5","https://www.airbnb.com/rooms/18929898"
"Cascade, Montana, United States","47.14","-111.857","Missouri River frontage - BEAUTIFUL setting.","4","Entire cabin","5","https://www.airbnb.com/rooms/24698682"
"Cascade, Montana, United States","47.13527","-111.86518","Fly Fishing Cabin on the Mo","8","Entire cabin",,"https://www.airbnb.com/rooms/32100485"
"Wolf Creek, Montana, United States","47.074","-111.967","Beautiful home in the heart of Craig","7","Entire home","5","https://www.airbnb.com/rooms/45565094"
"Raynesford, Montana, United States","47.19877","-110.72272","Quiet Mountain Ranch retreat","5","Entire home","5","https://www.airbnb.com/rooms/34807676"
"Simms, Montana, United States","47.48654","-111.9226","Sun River Fishing, Great House for Big Groups!","10","Entire home","5","https://www.airbnb.com/rooms/403418"
"Cascade, Montana, United States","47.27136","-111.698","Missouri River Front in Cascade, MT","6","Entire home","5","https://www.airbnb.com/rooms/20947340"
"Great Falls, Montana, United States","47.51006","-111.29644","Walk to Downtown!  Pet-friendly Great Falls Home!","6","Entire home","4.5","https://www.airbnb.com/rooms/48335475"
"Craig, Montana, United States","47.08782","-111.9625","Canyon View Guest Lodge close to Missouri River","6","Entire home","5","https://www.airbnb.com/rooms/33969556"
"Cascade, Montana, United States","47.13425","-111.86751","Cooper Drive House- waders and wine by the mo!","10","Entire home","5","https://www.airbnb.com/rooms/46849033"
"Wolf Creek, Montana, United States","46.976","-111.974","Holter Lake Retreat","6","Entire home",,"https://www.airbnb.com/rooms/53816924"
"Cascade, Montana, United States","47.13157","-111.88544","Lower River House","9","Entire home","4.5","https://www.airbnb.com/rooms/20066107"
"Cascade, Montana, United States","47.13866","-111.86026","Fishin' Eddy's Mountain Lodge on Missouri River","6","Entire home","5","https://www.airbnb.com/rooms/47942498"
"Great Falls, Montana, United States","47.51329","-111.27304","Updated Great Falls Home w/ Fire Pit, Deck & Yard!","9","Entire home","5","https://www.airbnb.com/rooms/50744638"
"Great Falls, Montana, United States","47.50598","-111.27407","Spacious Home w/ Hot Tub, ~ 3 Mi to Giant Springs!","16","Entire home","5","https://www.airbnb.com/rooms/41405096"
"Belt, Montana, United States","47.32418","-110.90083","Bear's Den - Ranches at Belt Creek","4","Entire cabin","5","https://www.airbnb.com/rooms/40732299"
"Cascade, Montana, United States","47.13167","-111.88506","Upper River House","12","Entire home",,"https://www.airbnb.com/rooms/43630349"
"Cascade, Montana, United States","47.165","-111.832","Fly Fish/Relax along the Missouri River in Montana","10","Entire cabin","5","https://www.airbnb.com/rooms/50970532"
"Belt, Montana, United States","47.32414","-110.89671","Lucky Spur - Ranches at Belt Creek","4","Entire cabin","5","https://www.airbnb.com/rooms/40703284"
"Cascade, Montana, United States","47.27492","-111.71743","Montana Ranch Retreat","16","Entire cabin","5","https://www.airbnb.com/rooms/51049212"
"Wolf Creek, Montana, United States","46.96994","-111.96764","Prime Lakefront Home with Private Ramp & Dock","10","Entire vacation home","4.5","https://www.airbnb.com/rooms/53168690"
