"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Granby, Colorado, United States","40.04766","-105.89983","Granby Ranch | 2 Bd/2 Bath | Summer Getaway!","5","Entire condo","5","https://www.airbnb.com/rooms/49613641"
"Winter Park, Colorado, United States","39.892","-105.763","Hot Tub, Private, 3 Floors, Adjacent to Resort","11","Entire townhouse","5","https://www.airbnb.com/rooms/52617431"
"Winter Park, Colorado, United States","39.921","-105.783","Walk To Everything Downtown | Heated Garage | Bubbling Hot Tub | Nearby Park","9","Entire townhouse","5","https://www.airbnb.com/rooms/14569584"
"Fraser, Colorado, United States","39.94355","-105.81609","Beautiful Top Floor Condo with Amazing Views","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/37051327"
"Winter Park, Colorado, United States","39.885","-105.761","Fraser Crossing/founders Pointe, Condo | 2 Bedroom King Beds & Washer/dryer (premium Rated Condo 4449)","6","Entire condo",,"https://www.airbnb.com/rooms/53963209"
"Granby, Colorado, United States","40.05139","-105.90037","Entire Granby Ranch duplex - sleeps up to 8","8","Entire townhouse","5","https://www.airbnb.com/rooms/45804938"
"Georgetown, Colorado, United States","39.72083","-105.69205","Clear Creek Retreat","8","Entire home","5","https://www.airbnb.com/rooms/25074691"
"Granby, Colorado, United States","40.05041","-105.89976","Granby Slice of Paradise, everything is right here","6","Entire condo","5","https://www.airbnb.com/rooms/44648722"
"Fraser, Colorado, United States","39.94513","-105.7982","Clean condo sleeps 5. Amazing views, hot tub &pool","5","Entire condo","5","https://www.airbnb.com/rooms/40307523"
"Georgetown, Colorado, United States","39.71003","-105.69442","Your Mountain Retreat","8","Entire home","5","https://www.airbnb.com/rooms/45545135"
"Granby, Colorado, United States","40.04734","-105.89972","Mountain Cabin with Private Hot Tub, Large Deck, Fireplace & Pool Table","8","Entire home","4.5","https://www.airbnb.com/rooms/45546532"
"Fraser, Colorado, United States","39.927","-105.779","VIEWS! IDEAL FRASER LOCATION WITH PRIVATE HOT TUB","8","Entire home","5","https://www.airbnb.com/rooms/28261802"
"Kremmling, Colorado, United States","40.05939","-106.38919","Iron Spring Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/50372871"
"Grand Lake, Colorado, United States","40.254","-105.842","Grand Lake handcrafted log home","6","Entire home","5","https://www.airbnb.com/rooms/19027256"
"Granby, Colorado, United States","40.0443","-105.9045","Ski-in/ski-out condo w/gas fireplace, shared hot tub/pool, & mountain views","7","Entire condo","4","https://www.airbnb.com/rooms/41105760"
"Fraser, Colorado, United States","39.92995","-105.77904","Beautiful All-Season Mountain Home","8","Entire home","5","https://www.airbnb.com/rooms/8762326"
"Fraser, Colorado, United States","39.94336","-105.81631","The Best Divide Condo on the WP Resort Bus Route.","6","Entire condo","5","https://www.airbnb.com/rooms/53005336"
"Granby, Colorado, United States","40.072","-105.935","Granby, CO, 1 Bedroom Deluxe Z #1","4","Entire condo",,"https://www.airbnb.com/rooms/26128157"
"Granby, Colorado, United States","40.04631","-105.90328","1 BD Loft, King / 2 Queens in loft! pvt hot tub!","9","Entire condo",,"https://www.airbnb.com/rooms/51225582"
"Granby, Colorado, United States","40.06627","-105.93618","Grand Elk Golf Club Home with Private Hot Tub, Deck, Gorgeous View & Fireplace","8","Entire home","5","https://www.airbnb.com/rooms/35626798"
"Granby, Colorado, United States","40.06137","-105.92211","Cozy studio # 236 for Christmas getaway","4","Entire place",,"https://www.airbnb.com/rooms/53297411"
"Granby, Colorado, United States","40.04537","-105.90173","Ski in/Ski out in Granby Ranch w/Private Hot tub!","12","Entire home","5","https://www.airbnb.com/rooms/45203440"
"Granby, Colorado, United States","40.08237","-105.92643","Edgewater Cabin Resort Home w/Shared Pool, Hot Tub, Fishing Ponds & River Access","7","Entire cabin","5","https://www.airbnb.com/rooms/49592476"
"Winter Park, Colorado, United States","39.94367","-105.79719","Beautiful Rustic Home, Private, Close!","14","Entire home","5","https://www.airbnb.com/rooms/270588"
"Winter Park, Colorado, United States","39.91294","-105.78429","Ultra unique condo with vaulted ceilings, hardwood floors","6","Entire condo",,"https://www.airbnb.com/rooms/51469167"
