"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cold Spring, New York, United States","41.41796","-73.96241","Mountain View Retreat","11","Entire chalet","5","https://www.airbnb.com/rooms/1266564"
"Surfers Paradise, Queensland, Australia","-28.002","153.43","Last Minute Prices SOUL Esplanade Surfers Paradise","6","Entire rental unit","5","https://www.airbnb.com/rooms/15397821"
"Manasquan, New Jersey, United States","40.12196","-74.06522","Manasquan Offshore Bungalow","8","Entire home","5","https://www.airbnb.com/rooms/53809743"
"Duck , North Carolina, United States","36.16075","-75.75011","The Grateful Getaway at Four Seasons in Duck","8","Entire home","5","https://www.airbnb.com/rooms/43842217"
"Paris, Île-de-France, France","48.86074","2.34075","Sublime apartment Louvre Museum","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/46084501"
"West Tisbury, Massachusetts, United States","41.41863","-70.63893","Sunny Serene West Tisbury Contemporary","5","Entire home","5","https://www.airbnb.com/rooms/17935530"
"La Gaude, Provence-Alpes-Côte d'Azur, France","43.73723","7.15092","Belle Villa méditerranéenne moderne avec Piscine","9","Entire villa","5","https://www.airbnb.com/rooms/52238075"
"Limonta, Lombardia, Italy","45.96111","9.26467","Beach Villa near Bellagio","6","Entire villa","5","https://www.airbnb.com/rooms/24222165"
"Petrockstowe, near Okehampton, England, United Kingdom","50.868","-4.118","Syncocks Farm (HSSA)","8","Entire home",,"https://www.airbnb.com/rooms/40966554"
"Guerneville, California, United States","38.49662","-123.00484","Dhyana!!  Redwoods! Fire Table! Nearby River Access! Ping Pong & Arcade Games!","8","Entire home","5","https://www.airbnb.com/rooms/53338581"
"Ko Olina Beach, Hawaii, United States","21.335","-158.121","Ocean Tower 306","8","Entire villa","5","https://www.airbnb.com/rooms/3583642"
"Blanquefort, Nouvelle-Aquitaine, France","44.9069","-0.6479","Une maison chaleureuse à proximité de Bordeaux","10","Entire home","5","https://www.airbnb.com/rooms/21644674"
"Salinas, California, United States","36.60329","-121.69709","Toro Park Sunshine","8","Entire home","5","https://www.airbnb.com/rooms/23769668"
"Florence, Toscana, Italy","43.772","11.255","Executive Apartment City Center","6","Entire rental unit","5","https://www.airbnb.com/rooms/25820238"
"Broad Oak, United Kingdom","50.94868","0.60072","Doves Barn","2","Entire home","5","https://www.airbnb.com/rooms/26771856"
"New York, United States","40.82361","-73.9451","Million Dollar Home+ Large Private Outdoor Space|","10","Entire rental unit","5","https://www.airbnb.com/rooms/37294977"
"Ruckhall, Eaton Bishop, near Hereford, United Kingdom","52.05","-2.804","The Old Post Office (UKC641)","6","Entire home","5","https://www.airbnb.com/rooms/30859065"
"Los Altos, California, United States","37.3934","-122.10253","Beautiful Home with Hot Tub on quiet court","6","Entire home","4.5","https://www.airbnb.com/rooms/2547455"
"Coffs Harbour, New South Wales, Australia","-30.30222","153.13472","Amalfi Coffs Harbour - Luxury Penthouse with Rooftop Spa and Amazing Ocean Views","8","Entire rental unit","5","https://www.airbnb.com/rooms/48630144"
"Marrakesh, Marrakesh-Safi, Morocco","31.61548","-7.94301","Lovely  Villa '' Amelkis One""""  Marrakech","12","Entire villa","5","https://www.airbnb.com/rooms/2761996"
"Kapaa, Hawaii, United States","22.088","-159.31179","Hale Awapuhi 2F","6","Entire condo","4.5","https://www.airbnb.com/rooms/33308193"
"Greater London, England, United Kingdom","51.4795","-0.14496","Sensational 2BDR apt,BPS Shopping Mall | Smarthost","6","Entire condo",,"https://www.airbnb.com/rooms/737733443267088400"
"Positano, Campania, Italy","40.628","14.481","Casa Guadagno - Positano Amalfi Coast","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/8793294"
"Naples, Florida, United States","26.25126","-81.55182","Hacienda El Encanto","16","Entire home","5","https://www.airbnb.com/rooms/44493464"
"Montélimar, France","44.575","4.786","Beautiful home in Montélimar with 5 Bedrooms","10","Entire home",,"https://www.airbnb.com/rooms/22366064"
