"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cody, Wyoming, United States","44.52304","-109.06544","The Cabin at Scout's Rest","2","Entire cabin","5","https://www.airbnb.com/rooms/53309432"
"Cody, Wyoming, United States","44.8637","-109.16911","Kimmet Kamp LLC","6","Entire home","5","https://www.airbnb.com/rooms/5423667"
"Thermopolis, Wyoming, United States","43.94601","-108.68225","Ranch Cabin Four on the backside of Yellowstone","4","Farm stay",,"https://www.airbnb.com/rooms/49799387"
"Moran, Wyoming, United States","43.81875","-110.20147","Great Find! Unique Wonderful Cottage, Free Parking","6","Room in boutique hotel",,"https://www.airbnb.com/rooms/50117706"
"Cody, Wyoming, United States","44.52899","-109.05923","Yellowstone House of the 3 bears","10","Entire home",,"https://www.airbnb.com/rooms/53298729"
"Moran, Wyoming, United States","43.81985","-110.20086","Rare Find Wooden Cottage, Restaurant, Free Parking","6","Room in boutique hotel",,"https://www.airbnb.com/rooms/50999221"
"Thermopolis, Wyoming, United States","43.94687","-108.68232","1897 Log Cabin on on the backside of Yellowstone","4","Farm stay","5","https://www.airbnb.com/rooms/49932032"
"Cody, Wyoming, United States","44.58645","-108.97623","NEW! Cozy Cody House <10 Mi to Buffalo Bill Center","10","Entire home","5","https://www.airbnb.com/rooms/50084691"
"Cody, Wyoming, United States","44.53088","-109.05764","East Gate Getaway","4","Entire home","5","https://www.airbnb.com/rooms/42902015"
"Cody, Wyoming, United States","44.52825","-109.05826","New Construction in Downtown- Bobbi's Bunkhouse","6","Entire townhouse","5","https://www.airbnb.com/rooms/17703279"
"Cody, Wyoming, United States","44.52617","-109.06292","Private 1 Bedroom Garden Apartment - Queen with Full Kitchen","4","Entire rental unit",,"https://www.airbnb.com/rooms/45845693"
"Powell, Wyoming, United States","44.68808","-108.90739","Eaglenest Guest Getaway, minutes to Cody","7","Entire guest suite","5","https://www.airbnb.com/rooms/26518563"
"Cody, Wyoming, United States","44.529","-109.05991","Buckaroo in Town Cody","4","Entire home","5","https://www.airbnb.com/rooms/51069598"
"Cody, Wyoming, United States","44.5304","-109.05779","Historic 1929 Home on Salsbury","5","Entire home","5","https://www.airbnb.com/rooms/47701928"
"Cody, Wyoming, United States","44.52916","-109.05964","G.F. Wiard House, a true historic Wyoming home, recently renovated, pet friendly/fully fenced yard!","9","Entire home","5","https://www.airbnb.com/rooms/51491586"
"Cody, Wyoming, United States","44.5279","-109.06506","The Bleistein","5","Entire home","5","https://www.airbnb.com/rooms/44413430"
"Cody, Wyoming, United States","44.5171","-109.06658","Relaxing & comfortable; in friendly neighborhood!","8","Entire home","5","https://www.airbnb.com/rooms/50501026"
"Powell, Wyoming, United States","44.89468","-109.211","Little Rocky Creek Cabin, modern amenities in the wide-open Wyoming countryside with beautiful views of the Beartooth Mountains ","6","Entire home","4.5","https://www.airbnb.com/rooms/33343463"
"Cody, Wyoming, United States","44.59486","-108.97121","For your amazing stay","8","Entire home","5","https://www.airbnb.com/rooms/25875786"
"Cody, Wyoming, United States","44.48167","-109.34377","Waterfront Paradise near Yellowstone National Park","7","Entire rental unit","5","https://www.airbnb.com/rooms/10753192"
"Cody, Wyoming, United States","44.527","-109.06","Luxury Lodging in the Heart of Cody w/ 2 King Beds","8","Entire home","5","https://www.airbnb.com/rooms/48833213"
"Cody, Wyoming, United States","44.46166","-109.45802","The Bear's Den at Rand Creek Ranch","4","Entire cabin","5","https://www.airbnb.com/rooms/28045963"
"Park County, Wyoming, United States","44.89163","-109.65961","River Lane Retreat nestled in the Beartooth mountains off the Chief Joseph Scenic Byway!","8","Entire home","4","https://www.airbnb.com/rooms/45068062"
"Cody, Wyoming, United States","44.44881","-109.49395","Beautiful Historical Cabin","5","Entire home","5","https://www.airbnb.com/rooms/8119138"
"Cody, Wyoming, United States","44.51253","-109.12253","Canyon River Retreat-Perfect location-NEW HOME2022","4","Entire home","5","https://www.airbnb.com/rooms/54125114"
