"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Redford, Missouri, United States","37.28592","-90.76843","The Cabin ❤️ at Black River View","12","Entire cabin","5","https://www.airbnb.com/rooms/21139843"
"Marquand, Missouri, United States","37.24674","-90.22155","River Camp","8","Camper/RV","4.5","https://www.airbnb.com/rooms/51332039"
"Piedmont, Missouri, United States","37.192","-90.773","Cabin. Near Clearwater Lake Piedmont, MO","5","Entire cabin","5","https://www.airbnb.com/rooms/48442144"
"Greenville, Missouri, United States","37.03531","-90.42378","The Holliday Landing on Lake Wappapello","4","Campsite",,"https://www.airbnb.com/rooms/48039927"
"Mill Spring, Missouri, United States","37.048","-90.681","Rustic Cabin in Hunters’ Paradise!","10","Entire home","5","https://www.airbnb.com/rooms/43042128"
"Ellsinore, Missouri, United States","36.92574","-90.75917","Easy camping 1/2mile off 60 highway in Ellsinore","4","Camper/RV","5","https://www.airbnb.com/rooms/43227143"
"Wappapello, Missouri, United States","36.92422","-90.29343","Private park setting for cabin on Rockwood point.","4","Entire cabin","5","https://www.airbnb.com/rooms/50876549"
"Black River Township, Missouri, United States","36.94387","-90.35358","Well-Designed Cozy Cabin near lake and hiking","8","Entire cabin","5","https://www.airbnb.com/rooms/50889990"
"Williamsville, Missouri, United States","36.92714","-90.52195","Spring View Cabin at Keener Springs","2","Entire rental unit","5","https://www.airbnb.com/rooms/43665319"
"Piedmont, Missouri, United States","37.14609","-90.67005","Coziness in SE MO Paradise","7","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/30816522"
"Wappapello, Missouri, United States","36.95336","-90.27596","Crooked Paddle","6","Entire cabin","5","https://www.airbnb.com/rooms/35617324"
"Ellsinore, Missouri, United States","36.92223","-90.75836","Get away acres 1/2 mile off 60 hiway ( sanitized)","3","Entire cottage","5","https://www.airbnb.com/rooms/10937294"
"Wappapello, Missouri, United States","36.929","-90.297","Cozy Cabin on the Lake in Wappapello, MO","4","Entire cabin","5","https://www.airbnb.com/rooms/44119722"
"Williamsville, Missouri, United States","36.9276","-90.52297","Keener Springs Springhouse","5","Entire cabin","5","https://www.airbnb.com/rooms/24931643"
"Benton Township, Missouri, United States","37.12506","-90.75088","Clearwater Lake Getaway LLC.  2 miles from the dam","5","Entire cabin","5","https://www.airbnb.com/rooms/43897214"
"Piedmont, Missouri, United States","37.19","-90.771","Blue Bear Bungalow At Clearwater Lake","6","Entire bungalow","5","https://www.airbnb.com/rooms/23612094"
