"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ferron, Utah, United States","39.08819","-111.12417","The Sego Lily Home","13","Entire home","5","https://www.airbnb.com/rooms/52593137"
"Helper, Utah, United States","39.684","-110.854","Bed & Coffee? Yes, Please!","4","Entire condo",,"https://www.airbnb.com/rooms/47075943"
"Orangeville, Utah, United States","39.21857","-111.05286","Main St. Manor / 8 Bedroom house","16","Entire home",,"https://www.airbnb.com/rooms/51310946"
"Price, Utah, United States","39.61582","-110.8893","Large, secluded cabin hosted by Marty & Merilee","16","Entire cabin","5","https://www.airbnb.com/rooms/47545446"
"East Carbon, Utah, United States","39.54205","-110.42283","Home Sweet Home","5","Entire home","5","https://www.airbnb.com/rooms/26429052"
"Price, Utah, United States","39.57127","-110.81534","The Checkered Daisy Cottage","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/44627206"
"Castle Dale, Utah, United States","39.21551","-111.02589","Clean 2 bedroom apt in the heart of Joe's, Apt #2","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/50998397"
"Castle Dale, Utah, United States","39.21466","-111.01829","A Desert Oasis in the San Rafael,  Suite #6","2","Private room in guest suite","5","https://www.airbnb.com/rooms/51987388"
"Green River, Utah, United States","38.99887","-110.16289","Cozy Clean Home in Green River, UT","6","Entire home","5","https://www.airbnb.com/rooms/20850686"
"Green River, Utah, United States","38.99844","-110.16395","Beautiful Green River Haven Near Stunning Views","8","Entire home","5","https://www.airbnb.com/rooms/27705835"
"Ferron, Utah, United States","39.088","-111.152","Perkins' BnB","5","Entire guest suite","5","https://www.airbnb.com/rooms/21245721"
"Green River, Utah, United States","38.98641","-110.15694","RV  Site # 2 Green River UT,45 Min. from Moab","4","Campsite",,"https://www.airbnb.com/rooms/45275610"
"Green River, Utah, United States","38.98648","-110.15831","RV  site #1 Green River Utah 45 Min. from Moab","4","Campsite",,"https://www.airbnb.com/rooms/45276082"
"Price, Utah, United States","39.54795","-110.67361","RV spot with power","6","Campsite",,"https://www.airbnb.com/rooms/48771574"
"Helper, Utah, United States","39.68328","-110.85466","Eagles Nest","8","Entire home","5","https://www.airbnb.com/rooms/36039040"
"Helper, Utah, United States","39.65817","-110.85767","Big City Escape, Quiet Country Living","10","Entire home","5","https://www.airbnb.com/rooms/33657648"
"Green River, Utah, United States","38.993","-110.162","Outdoor persons playground","8","Entire home","5","https://www.airbnb.com/rooms/34842848"
"Helper, Utah, United States","39.67777","-110.85665","Castle Gate RV Park - Large Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/53113298"
"Green River, Utah, United States","39.00092","-110.16394","Bright Comfortable Home in Green River, UT","6","Entire home","5","https://www.airbnb.com/rooms/22533345"
"Helper, Utah, United States","39.68258","-110.85676","The Artist's River House","2","Entire bungalow","5","https://www.airbnb.com/rooms/3860441"
"Green River, Utah, United States","38.98674","-110.15845","R Guest House, Green River  50 miles from Moab.","4","Entire guesthouse","5","https://www.airbnb.com/rooms/42514372"
"Green River, Utah, United States","38.99419","-110.16126","Cozy simple grandmas place","8","Entire home","4.5","https://www.airbnb.com/rooms/36510788"
"Orangeville, Utah, United States","39.21775","-111.05164","Triple queen w/ jacuzzi tub and private bath.","6","Private room in home","5","https://www.airbnb.com/rooms/51733280"
"Ferron, Utah, United States","39.09018","-111.13148","2 Bedroom Suite","6","Room in aparthotel",,"https://www.airbnb.com/rooms/53131667"
"Helper, Utah, United States","39.69034","-110.8632","The Bunkhouse","4","Entire home","5","https://www.airbnb.com/rooms/53801503"
