"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Constantia, New York, United States","43.24563","-76.02434","Rustic cabin Oneida lake","5","Campsite","5","https://www.airbnb.com/rooms/45815528"
"Baldwinsville, New York, United States","43.15839","-76.33144","Michel Suite At Mohegan Manor","2","Entire loft","5","https://www.airbnb.com/rooms/34568115"
"Skaneateles, New York, United States","42.93548","-76.41176","Peaceful, cozy place very near lake","2","Private room in home","5","https://www.airbnb.com/rooms/5790358"
"Baldwinsville, New York, United States","43.1599","-76.33152","Berndt Studio at Mohegan Manor","2","Entire rental unit","5","https://www.airbnb.com/rooms/32581763"
"Syracuse, New York, United States","43.049","-76.155","Pitch Perfect Design
Luxe Loft Armory Sq","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/52166741"
"Clay, New York, United States","43.18516","-76.17197","Newly Renovated, Brand New Furnishings, King Bed!","6","Entire home","5","https://www.airbnb.com/rooms/51538515"
"Syracuse, New York, United States","43.04888","-76.15376","Eclectic 3 Bedroom in Historic Armory Square","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/19813251"
"Baldwinsville, New York, United States","43.15594","-76.33083","Marble Island South","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/26625445"
"Jamesville, New York, United States","42.97195","-76.0723","Glamping in the Boathouse: SU/Foliage/Apple Farms","4","Entire guesthouse","5","https://www.airbnb.com/rooms/44063241"
"Syracuse, New York, United States","43.04466","-76.1989","Allysons' Tranquility","4","Private room in home","5","https://www.airbnb.com/rooms/21647575"
"Syracuse, New York, United States","43.06437","-76.09215","Affordable private basement apartment","3","Entire guest suite","5","https://www.airbnb.com/rooms/15295104"
"Syracuse, New York, United States","43.02853","-76.14384","The Modern Farmhouse near Syracuse University","10","Entire home","5","https://www.airbnb.com/rooms/53793027"
"Liverpool, New York, United States","43.12535","-76.18065","Cozy Cape 10 min to Destiny, Downtown Cuse and SU","4","Entire home","5","https://www.airbnb.com/rooms/50526886"
"LaFayette, New York, United States","42.90808","-76.22246","The Honeycrisp House at Beak & Skiff","8","Entire home","5","https://www.airbnb.com/rooms/37491413"
"Syracuse, New York, United States","43.12044","-76.29595","Nice room in quiet neighborhood. walk/run/bike","1","Private room in home","5","https://www.airbnb.com/rooms/54238912"
"Syracuse, New York, United States","43.049","-76.155","Divine Designer Duplex Penthouse in Armory Sq","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/51469308"
"Syracuse, New York, United States","43.02592","-76.13308","3BR;Centrally located w/ driveway parking/WI-FI","1","Private room in condo","5","https://www.airbnb.com/rooms/37451253"
"Syracuse, New York, United States","43.029","-76.138","Private queen bedroom near SU and hospitals","2","Private room in home","4.5","https://www.airbnb.com/rooms/16144574"
"Clay, New York, United States","43.16424","-76.13261","Relaxing home in Clay","2","Private room in home","5","https://www.airbnb.com/rooms/12604294"
"Jordan, New York, United States","43.06652","-76.47731","Beautiful First Floor Apartment","4","Entire rental unit","4","https://www.airbnb.com/rooms/3276412"
"Syracuse, New York, United States","43.058","-76.148","Luxury 1400 sqf 3Bed  2Bath Apt near st. joseph","16","Entire rental unit","5","https://www.airbnb.com/rooms/31050819"
"Syracuse, New York, United States","42.9807","-76.25083","Spruce Haven","2","Private room in home","5","https://www.airbnb.com/rooms/9031314"
"Fayetteville, New York, United States","43.02644","-76.00751","Private Upper Apartment Close to SU/Green Lakes","4","Entire rental unit","5","https://www.airbnb.com/rooms/26599402"
"Syracuse, New York, United States","43.06363","-76.14053","(G1) 3 br near Syracuse University & Destiny Mall","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/48302296"
"Syracuse, New York, United States","43.04838","-76.15218","BEAUTIFUL ARTIST STUDIO IN HEART OF ARMORY SQUARE","2","Entire rental unit","5","https://www.airbnb.com/rooms/14180350"
