"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wisconsin Rapids, Wisconsin, United States","44.386","-89.824","WITTER ST STRADIVARIUS INN Spacious Luxury in town","6","Entire home","5","https://www.airbnb.com/rooms/22343788"
"Stevens Point, Wisconsin, United States","44.52474","-89.56695","THE WATSON HOUSE on historic professors’ row…","12","Entire home","4.5","https://www.airbnb.com/rooms/51867664"
"Stevens Point, Wisconsin, United States","44.53836","-89.62455","Beautiful Waterfront! Entire Lower Level is Yours!","12","Entire home","5","https://www.airbnb.com/rooms/4721347"
"Wisconsin Rapids, Wisconsin, United States","44.39496","-89.82038","The White House: Wisconsin Rapids - Sand Valley","10","Entire home","5","https://www.airbnb.com/rooms/16823499"
"Stevens Point, Wisconsin, United States","44.5243","-89.56507","Gracious 4-Bedroom Home in Downtown Stevens Point","8","Entire home","5","https://www.airbnb.com/rooms/13546260"
"Stevens Point, Wisconsin, United States","44.52799","-89.54322","4+ Bedroom Golf Getaway","10","Entire home",,"https://www.airbnb.com/rooms/52030805"
"Stevens Point, Wisconsin, United States","44.52384","-89.53262","Spacious 1 Bed  Apartment Suite with Full Kitchen","5","Room in hotel","4.5","https://www.airbnb.com/rooms/47411908"
"Alban, Wisconsin, United States","44.61802","-89.24595","Lakehouse tranquility on pristine Lake Helen","8","Entire home","5","https://www.airbnb.com/rooms/45721097"
"Stevens Point, Wisconsin, United States","44.49508","-89.55049","Water Dragon Inn - Whole Cottage Just for You","6","Entire home","5","https://www.airbnb.com/rooms/43300703"
"Plover, Wisconsin, United States","44.49291","-89.52915","Cozy 3 bedroom apartment with free garage/parking","6","Entire rental unit",,"https://www.airbnb.com/rooms/54231062"
"Amherst, Wisconsin, United States","44.36687","-89.30165","Energy Room - Artha Bed and Breakfast","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/631654"
"Stevens Point, Wisconsin, United States","44.523","-89.575","Historic - Urban - Luxury - Downtown Stevens Point","8","Entire home","5","https://www.airbnb.com/rooms/22400242"
"Wisconsin Rapids, Wisconsin, United States","44.38796","-89.82555","Convenient, modern home near downtown! Long term!","6","Entire home","5","https://www.airbnb.com/rooms/3425968"
"Mosinee, Wisconsin, United States","44.63272","-89.63506","River Edge Pull Through Premium RV site","4","Campsite",,"https://www.airbnb.com/rooms/48194283"
"Mosinee, Wisconsin, United States","44.63143","-89.63628","River Edge Backend Standard","4","Campsite",,"https://www.airbnb.com/rooms/48419301"
"Plover, Wisconsin, United States","44.47246","-89.5382","Spacious One Bedroom Suite in a Waterfront House","2","Private room in home","5","https://www.airbnb.com/rooms/30036431"
"Stevens Point, Wisconsin, United States","44.51885","-89.56956","Jefferson Street Dupex","4","Entire home","5","https://www.airbnb.com/rooms/53299344"
"Amherst, Wisconsin, United States","44.4512","-89.28514","Adorable Studio apartment in Historic building","2","Entire rental unit","5","https://www.airbnb.com/rooms/42563284"
"Stevens Point, Wisconsin, United States","44.52417","-89.58293","Stunning 1-bedroom in downtown Stevens Point (#1)","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/54243772"
"Wisconsin Rapids, Wisconsin, United States","44.36718","-89.75614","Cottage on Lake Wazeecha","5","Entire cottage","5","https://www.airbnb.com/rooms/34922772"
"Stevens Point, Wisconsin, United States","44.52479","-89.52974","Comfy hotel room with all the essentials + more 54","2","Room in hotel","4.5","https://www.airbnb.com/rooms/53759557"
"Stevens Point, Wisconsin, United States","44.49776","-89.56028","Centrally Located 2 Bedroom Apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/51754198"
"Stevens Point, Wisconsin, United States","44.52478","-89.52937","Comfy hotel room with all the essentials + more 62","2","Room in hotel","4.5","https://www.airbnb.com/rooms/53759456"
"Amherst, Wisconsin, United States","44.36756","-89.29992","Garden Room - Artha Bed and Breakfast","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/606460"
"Stevens Point, Wisconsin, United States","44.522","-89.585","Bright, Simple Downtown Apt. Above Specialty Cafe","4","Entire rental unit","5","https://www.airbnb.com/rooms/35162745"
