"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Steamboat Springs, Colorado, United States","40.45522","-106.81664","2 Bedroom Steamboat Ski Lodging Wyndham Resort","6","Private room in resort",,"https://www.airbnb.com/rooms/53791673"
"Steamboat Springs, Colorado, United States","40.45417","-106.79988","Stunning 2 Bedroom Condo, Amazing Valley Views! -  Yampa View 105","6","Entire condo","4.5","https://www.airbnb.com/rooms/40616757"
"Steamboat Springs, Colorado, United States","40.46201","-106.79804","Beautiful Steamboat Condo With Outdoor Heated Pool! -  Storm Meadows C 320","6","Entire condo","5","https://www.airbnb.com/rooms/26568080"
"Steamboat Springs, Colorado, United States","40.461","-106.798","Ski in/Walk Out-Shuttle-Steps to Hot Tub/Grill/Eat","4","Entire condo","5","https://www.airbnb.com/rooms/37809734"
"Steamboat Springs, Colorado, United States","40.45117","-106.8028","Fabulous 2 Bedroom Condo - Great Complex, Close to Mountain -  Timber Run 109","6","Entire condo","5","https://www.airbnb.com/rooms/39720179"
"Steamboat Springs, Colorado, United States","40.46081","-106.80341","Two Bedrooms Plus Loft, Top Floor Unit, Ski Views, Outdoor Hot Tub","8","Entire condo","5","https://www.airbnb.com/rooms/46548198"
"Steamboat Springs, Colorado, United States","40.46236","-106.80219","Ski Slope Views 1BR/1BA- #1047","4","Entire condo",,"https://www.airbnb.com/rooms/54331121"
"Steamboat Springs, Colorado, United States","40.485","-106.835","Remodeled 2 Bedroom Downtown Condo sleeps 6!","6","Entire condo","5","https://www.airbnb.com/rooms/41029471"
"Steamboat Springs, Colorado, United States","40.46222","-106.80836","Happy Haven ** New to our rental portfolio** 1 Bedroom, 1 Bath, Sleeps 4","4","Entire condo","4.5","https://www.airbnb.com/rooms/50420757"
"Steamboat Springs, Colorado, United States","40.45774","-106.81158","Stunning studio next to Wildhorse gondola w/shared hot tubs, pool, gym, & more","2","Entire rental unit","5","https://www.airbnb.com/rooms/43431099"
"Steamboat Springs, Colorado, United States","40.46104","-106.79749","Mountain Condo w/Patio, Shared Hot Tub, Washer/Dryer, Gas Fireplace, Free WiFi","4","Entire condo","4.5","https://www.airbnb.com/rooms/52238548"
"Steamboat Springs, Colorado, United States","40.45269","-106.80564","Beautiful mountain condo w/ bonus den & shared pools, hot tubs & winter shuttle","4","Entire condo","4.5","https://www.airbnb.com/rooms/43435743"
"Steamboat Springs, Colorado, United States","40.461","-106.81","❄️ Ground Floor | Mtn Area | WiFi +HotTub + Pool","6","Entire condo","5","https://www.airbnb.com/rooms/27542959"
"Steamboat Springs, Colorado, United States","40.45708","-106.80355","NEW Listing! Beautiful Property With A Fantastic Mountain Location! -  Dulany At Gondola 206","8","Entire condo","4.5","https://www.airbnb.com/rooms/26568038"
"Steamboat Springs, Colorado, United States","40.45469","-106.80832","Steamboat Getaway...hot tub, pool, walk to gondola","5","Entire condo","5","https://www.airbnb.com/rooms/43477997"
"Steamboat Springs, Colorado, United States","40.45351","-106.80544","BL6113 by Simply Steamboat: Gorgeous & easy walk to Mtn Village!","4","Entire condo",,"https://www.airbnb.com/rooms/46219097"
"Steamboat Springs, Colorado, United States","40.46345","-106.82384","1 or 2 bedroom Timeshare ~ Steamboat Springs, CO","6","Private room in resort",,"https://www.airbnb.com/rooms/51235227"
"Steamboat Springs, Colorado, United States","40.48541","-106.8315","Steamboat1bdel Springs, Deluxe,fireplace,balcony","4","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/42432821"
"Steamboat Springs, Colorado, United States","40.461","-106.8","Pool, Hot Tub, Tennis Court, Renovated, Weber BBQ","4","Entire condo","5","https://www.airbnb.com/rooms/18209681"
"Steamboat Springs, Colorado, United States","40.485","-106.834","Unbelievable Mtn Views/Location-Steps to All + W/D","6","Entire condo","4.5","https://www.airbnb.com/rooms/26385879"
"Steamboat Springs, Colorado, United States","40.45546","-106.81753","1BR suite! HOT TUB/POOL/Fireplace, Ski shuttle","4","Entire condo",,"https://www.airbnb.com/rooms/52247005"
"Steamboat Springs, Colorado, United States","40.46209","-106.79546","*Just Remodeled Fall 2021* Ski In/Out, Top Level Unit, Heated Pool and Hot Tub","6","Entire condo","4","https://www.airbnb.com/rooms/27085265"
"Steamboat Springs, Colorado, United States","40.46163","-106.80798","MO32 by Pioneer Ridge: Nice and modern!","8","Entire townhouse","5","https://www.airbnb.com/rooms/53184368"
"Steamboat Springs, Colorado, United States","40.45775","-106.81207","Beautiful studio w/private balcony & shared pool, hot tubs, fitness & game room!","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/43431104"
"Steamboat Springs, Colorado, United States","40.46114","-106.79899","SKI-IN/OUT + POOL + HOT TUB + Fireplace + Views","6","Entire condo","5","https://www.airbnb.com/rooms/46399981"
