"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Newfane, Vermont, United States","42.94679","-72.66136","Top Floor Guest House on beautiful FARM near SKI","2","Entire guesthouse","5","https://www.airbnb.com/rooms/3738595"
"Winhall, Vermont, United States","43.1802","-72.89386","Whimsical Winhall Cottage w/ Private Hot Tub!","6","Entire home","5","https://www.airbnb.com/rooms/53144030"
"Wilmington, Vermont, United States","42.92591","-72.8817","Family-friendly rural & sleek house w/jetted tub, private deck & game room!","6","Entire home","4.5","https://www.airbnb.com/rooms/37016384"
"Chester, Vermont, United States","43.23867","-72.55463","Farm at Williams River House - Gloucester Suite","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/54055162"
"Halifax, Vermont, United States","42.76157","-72.77611","Peaceful cabin in Vermont","6","Entire cabin","5","https://www.airbnb.com/rooms/48016843"
"Wilmington, Vermont, United States","42.90498","-72.8403","Cozy Vermont Cabin: 10 Minutes from Mount Snow","5","Entire cabin","4.5","https://www.airbnb.com/rooms/2392607"
"Marlboro, Vermont, United States","42.86315","-72.6905","The MacArthur House","8","Entire home","5","https://www.airbnb.com/rooms/21252505"
"Chester, Vermont, United States","43.22471","-72.74236","Modern Fall Retreat","5","Entire home","4.5","https://www.airbnb.com/rooms/20763858"
"Putney, Vermont, United States","42.96901","-72.61335","Year Round Mountain Retreat","4","Entire home","4.5","https://www.airbnb.com/rooms/47546927"
"Winhall, Vermont, United States","43.17047","-72.92105","Stylish Mountain Home Near Ski, Golf + Manchester!","8","Entire home","4.5","https://www.airbnb.com/rooms/51842108"
"Dover, Vermont, United States","42.9401","-72.85204","Family Vacation Paradise!","8","Entire chalet","5","https://www.airbnb.com/rooms/3345022"
"Winhall, Vermont, United States","43.20777","-72.98047","Mountain Home","5","Entire rental unit","5","https://www.airbnb.com/rooms/31440161"
"Brattleboro, Vermont, United States","42.8515","-72.55703","Downtown apartment ideal location to everything!","4","Entire rental unit","5","https://www.airbnb.com/rooms/42609722"
"Stratton, Vermont, United States","43.11372","-72.89602","Stratton Mtn Resort! NEW Reno cozy condo! SEASONAL","6","Entire condo","4.5","https://www.airbnb.com/rooms/45973941"
"Stratton, Vermont, United States","43.114","-72.91","Cozy Ski Cabin - walk to Stratton Resort!","9","Entire home","5","https://www.airbnb.com/rooms/10151085"
"Wilmington, Vermont, United States","42.8907","-72.88911","Quaint cozy space/apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/15309582"
"Winhall, Vermont, United States","43.16429","-72.89138","Spacious A Frame chalet near Stratton mountain","8","Entire cabin","5","https://www.airbnb.com/rooms/48108892"
"Spofford, New Hampshire, United States","42.90217","-72.44289","Tyler House, steps to Lake Spofford","12","Entire home","5","https://www.airbnb.com/rooms/12870829"
"Dover, Vermont, United States","42.95566","-72.8756","Cozy Mountain Retreat w/ Deck ~ 3 Mi to Mount Snow","10","Entire home","4.5","https://www.airbnb.com/rooms/46769397"
"Winhall, Vermont, United States","43.1925","-72.95358","Mountain view chalet fall views & winter skiing","8","Entire chalet","5","https://www.airbnb.com/rooms/53460786"
"Town of Rockingham, Vermont, United States","43.2097","-72.47173","Secluded Farmhouse Getaway - Okemo, Magic, Bromley","11","Farm stay","5","https://www.airbnb.com/rooms/47182933"
"Windham, Vermont, United States","43.20848","-72.7218","Family Log Cabin Close to All in Green Mountains","5","Entire chalet","5","https://www.airbnb.com/rooms/32539042"
"Wilmington, Vermont, United States","42.86446","-72.8544","Junior Suite","4","Room in hotel",,"https://www.airbnb.com/rooms/54257428"
"Wilmington, Vermont, United States","42.87733","-72.89558","SNOW Fun at The Great Escape","8","Entire home","4","https://www.airbnb.com/rooms/53419442"
"Whitingham, Vermont, United States","42.76923","-72.86169","Cozy, Private Cabin on 10 Acres of Woods!","12","Entire cabin","5","https://www.airbnb.com/rooms/51279621"
