"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Stowe, Vermont, United States","44.48284","-72.72756","Your Chic ""Chick"" Retreat","6","Entire guest suite","5","https://www.airbnb.com/rooms/23085378"
"Waitsfield, Vermont, United States","44.18356","-72.79929","Antique Farmhouse w/ views of the ski trails!","10","Entire home","5","https://www.airbnb.com/rooms/14406738"
"Warren, Vermont, United States","44.14004","-72.8581","Private Vermont Mountain Retreat","8","Entire home","4.5","https://www.airbnb.com/rooms/37719685"
"Waitsfield, Vermont, United States","44.176","-72.835","Grand Beatrice Suite - Featherbed Inn B&B","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/46277601"
"Warren, Vermont, United States","44.08492","-72.86092","Morel & Fiddlehead Homes","12","Entire home",,"https://www.airbnb.com/rooms/49922696"
"Stowe, Vermont, United States","44.4774","-72.71986","LAST MINUTE Stowe Feb 12-18","6","Entire condo","4.5","https://www.airbnb.com/rooms/32302825"
"Stowe, Vermont, United States","44.47469","-72.70788","Golf Course View Condo w/ Shared Hot Tub & Pool, Gas Fireplace, and Fast WiFi","8","Entire condo",,"https://www.airbnb.com/rooms/53718192"
"Stowe, Vermont, United States","44.48486","-72.69366","Centrally located Chalet - 1 Mile to Town","5","Entire chalet","5","https://www.airbnb.com/rooms/51002627"
"Stowe, Vermont, United States","44.43331","-72.695","Stowe Chalet Getaway - Cozy and Charming!","7","Entire rental unit","5","https://www.airbnb.com/rooms/47002465"
"Stowe, Vermont, United States","44.47433","-72.70774","Family-Friendly Condo with Shared Pool/Hot Tub/Tennis, Patio, Fireplace, & WiFi","6","Entire condo","5","https://www.airbnb.com/rooms/53861831"
"Stowe, Vermont, United States","44.4769","-72.71724","Terrific mountainside home w/shared hot tub, basketball & courts, pool, & gym!","6","Entire condo","4.5","https://www.airbnb.com/rooms/47718087"
"Stowe, Vermont, United States","44.47429","-72.70686","Cozy Townhouse with Fireplace, Free WiFi, Shared Pool, Hot Tub & Tennis Courts","6","Entire condo",,"https://www.airbnb.com/rooms/53718093"
"Warren, Vermont, United States","44.13838","-72.88283","Alpine Escape with Shared Hot Tub, 3 Indoor/Outdoor Pools, and Fitness Center","6","Entire condo","4.5","https://www.airbnb.com/rooms/19325179"
"Stowe, Vermont, United States","44.47905","-72.7194","New listing! Secluded condo w/ private balcony, forest views, & fireplace!","6","Entire condo","4.5","https://www.airbnb.com/rooms/43554405"
"Stowe, Vermont, United States","44.46654","-72.68106","Farmhouse Condo Walkable to Town","8","Entire condo","5","https://www.airbnb.com/rooms/25139272"
"Stowe, Vermont, United States","44.484","-72.712","Fox Hill Condo best Stowe location","8","Entire home","5","https://www.airbnb.com/rooms/7277195"
"Stowe, Vermont, United States","44.47732","-72.71678","Gorgeous mountain getaway w/free WiFi, shared hot tub & pool, gym & tennis court","6","Entire condo","4","https://www.airbnb.com/rooms/47718098"
"Stowe, Vermont, United States","44.4671","-72.68107","Historic Maple Street Dairy","6","Entire home","5","https://www.airbnb.com/rooms/13492360"
"Stowe, Vermont, United States","44.47542","-72.70874","Newly updated 3 bedroom condo in Stowe, VT","8","Entire condo","5","https://www.airbnb.com/rooms/33271504"
"Stowe, Vermont, United States","44.47693","-72.71671","Inviting mountain condo w/deck, shared grills, hot tub, indoor pool, sport court","8","Entire condo","4","https://www.airbnb.com/rooms/48146097"
"Waitsfield, Vermont, United States","44.17697","-72.88617","Comfy lodge style apartment w/ a loft, free WiFi, and full sized kitchen!","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/38797103"
"Stowe, Vermont, United States","44.47672","-72.7158","Gorgeous resort home w/shared hot tub & pool, free WiFi, basketball court","6","Entire condo","4","https://www.airbnb.com/rooms/45670357"
"Warren, Vermont, United States","44.08762","-72.86336","The Warren House - King Bedroom","2","Entire home","4.5","https://www.airbnb.com/rooms/43737741"
"Stowe, Vermont, United States","44.47825","-72.71578","Amazing family home near ski resort and featuring a shared pool, hot tub, & gym!","6","Entire condo","4.5","https://www.airbnb.com/rooms/48146103"
"Stowe, Vermont, United States","44.47638","-72.70673","Charming Condo in Prime Locale! Free High-Speed WiFi, Fireplace & Shared Pools","6","Entire condo","5","https://www.airbnb.com/rooms/53718202"
