"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mesick, Michigan, United States","44.45514","-85.75604","Magda's Meadow - MeadowView Suite","6","Private room in home","5","https://www.airbnb.com/rooms/6811988"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #11 -""The Cadillac""","8","Entire cabin","5","https://www.airbnb.com/rooms/49594567"
"Cadillac, Michigan, United States","44.2368","-85.5848","Lazy Acorn Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/15081546"
"Cadillac, Michigan, United States","44.24572","-85.46162","Lakeside 2 bedroom cottage","6","Entire cottage",,"https://www.airbnb.com/rooms/677562832351639200"
"Cadillac, Michigan, United States","44.23496","-85.41543","Up North Getaway, taking monthly stays","4","Entire home","5","https://www.airbnb.com/rooms/11901384"
"Cadillac, Michigan, United States","44.17873","-85.3872","Lakefront Cadillac Cottage on Private Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/13307107"
"Manton, Michigan, United States","44.48","-85.437","Michigan Vacation - 2 Queen Beds","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/47311247"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #10 - ""Snow Day"" - Pet Friendly","2","Entire cabin",,"https://www.airbnb.com/rooms/49594080"
"Manton, Michigan, United States","44.48075","-85.4373","Michigan Vacation - Full Bed","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47311820"
"Cadillac, Michigan, United States","44.2","-85.406","Cabin #5 - ""The Ellie Mae"" - Pet Friendly","2","Entire cabin","4.5","https://www.airbnb.com/rooms/50550943"
"Cadillac, Michigan, United States","44.20825","-85.48738","Cadillac Travel Adventure-Comfortable and Quiet","3","Camper/RV","5","https://www.airbnb.com/rooms/21108341"
"Manton, Michigan, United States","44.47914","-85.43551","Michigan Vacation - Queen Bed","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/47311510"
"Mesick, Michigan, United States","44.38304","-85.79247","Brand New! Remodeled cabin near Hodenpyl Dam.","8","Entire cabin","5","https://www.airbnb.com/rooms/45923726"
"Cadillac, Michigan, United States","44.231","-85.47177","Cozy Lakefront cottage on Lake Mitchell","6","Entire cottage","5","https://www.airbnb.com/rooms/46098486"
"Cadillac, Michigan, United States","44.199","-85.406","Cabin #1 - ""The Loft""","4","Entire cabin","5","https://www.airbnb.com/rooms/49462649"
"Cadillac, Michigan, United States","44.34446","-85.56488","Waterfront! Beautiful, Sparkling Lake Meauwataka!","5","Entire home","5","https://www.airbnb.com/rooms/35417909"
"Tustin, Michigan, United States","44.17591","-85.49619","Three Bears Cabin","3","Entire guesthouse","5","https://www.airbnb.com/rooms/37750842"
"Cadillac, Michigan, United States","44.24574","-85.71942","Caberfae Peaks - Two Double Bed - Balcony","4","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/43422957"
"Cadillac, Michigan, United States","44.24572","-85.72067","Caberfae Peaks - Two Double Bed - Non Balcony","4","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/43422956"
"Cadillac, Michigan, United States","44.3563","-85.56035","Beautiful Historic Farm Suite in the Forest","8","Entire guest suite","5","https://www.airbnb.com/rooms/51291044"
"Cadillac, Michigan, United States","44.24419","-85.71917","Caberfae Peaks - 1st Floor King Room","2","Private room in nature lodge","4.5","https://www.airbnb.com/rooms/43422958"
"Harrietta, Michigan, United States","44.2526","-85.65457","Cabin in the Pines - Hike, Bike, Golf, Kayak, ORV!","10","Entire chalet","5","https://www.airbnb.com/rooms/52534339"
"Boon, Michigan, United States","44.23366","-85.57885","It's a Family Affair @ Cadillac Trail","10","Entire cabin","5","https://www.airbnb.com/rooms/53906248"
"Buckley, Michigan, United States","44.50953","-85.75628","The Sap Shack","2","Entire guesthouse","5","https://www.airbnb.com/rooms/43677704"
"Cadillac, Michigan, United States","44.24716","-85.43627","NEW! Idyllic Lakeside Haven w/ Patio & Fire Pit!","6","Entire cottage","4.5","https://www.airbnb.com/rooms/51696435"
