"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Beloit, Wisconsin, United States","42.50036","-89.05386","Cozy and Charming 3 Bedroom Bungalow","3","Entire home",,"https://www.airbnb.com/rooms/52535888"
"Evansville, Wisconsin, United States","42.7806","-89.29827","Campbell Suite-Grove Guest House","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/36528348"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.54572","-88.57416","2 Bedrooms of Luxury at the Abbey","8","Entire condo","4.5","https://www.airbnb.com/rooms/50344728"
"Williams Bay, Wisconsin, United States","42.57724","-88.54423","Clover Cottage in Williams Bay - Walk to Beach","8","Entire cottage","5","https://www.airbnb.com/rooms/50939024"
"Lake Geneva, Wisconsin, United States","42.58376","-88.42601","HOT TUB HOUSE","6","Entire home",,"https://www.airbnb.com/rooms/24163706"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.54506","-88.54844","Lake House on Lake Geneva","7","Entire home","4.5","https://www.airbnb.com/rooms/7952105"
"Delafield , Wisconsin, United States","43.0675","-88.40215","Across from St John’s Military Academy Delafield","4","Entire townhouse","5","https://www.airbnb.com/rooms/30233292"
"Lake Geneva, Wisconsin, United States","42.61333","-88.48355","Cherry Lower Unit  (2bedroom) garden unit","4","Entire guest suite","3.5","https://www.airbnb.com/rooms/47205846"
"Delavan, Wisconsin, United States","42.616","-88.585","209- Premium Lakefront Condo","6","Private room in resort",,"https://www.airbnb.com/rooms/32939979"
"Delavan, Wisconsin, United States","42.616","-88.585","217- One Bedroom Lake View Condo Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/32940543"
"Delavan, Wisconsin, United States","42.616","-88.585","327- Two Bedroom Suite w/Lake Views from Balcony","6","Private room in resort",,"https://www.airbnb.com/rooms/32956195"
"Mount Horeb, Wisconsin, United States","43.01033","-89.74002","Gables Suite - Sunniva Inn","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/44306363"
"New Glarus, Wisconsin, United States","42.81553","-89.6349","Roughing it in Style: Luxury Country Living","4","Private room in home","5","https://www.airbnb.com/rooms/34643801"
"Delavan, Wisconsin, United States","42.616","-88.585","329- 2 Bedroom Condo w/Balcony Lake Views","6","Private room in resort","4","https://www.airbnb.com/rooms/32956553"
"Elkhorn, Wisconsin, United States","42.717","-88.542","Ye Olde Manor House Rising Sun Room","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/1201197"
"Mount Horeb, Wisconsin, United States","43.01176","-89.74187","Stewart Lake Suite - Sunniva Inn","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/39969618"
"Hartland, Wisconsin, United States","43.10463","-88.34494","Relaxing 2-bedroom 2-bathroom with loft","4","Entire rental unit","5","https://www.airbnb.com/rooms/50952873"
"Delavan, Wisconsin, United States","42.616","-88.585","319- Modern 2 Bed Lake View Condo w/Gorgeous Views","6","Private room in resort","5","https://www.airbnb.com/rooms/32954167"
"Lake Geneva, Wisconsin, United States","42.60986","-88.47257","3 bed - Beautiful Lakehouse","6","Entire home","4.5","https://www.airbnb.com/rooms/35346203"
"Delavan, Wisconsin, United States","42.616","-88.585","123- Premium Lake View Condo Suite","8","Private room in resort",,"https://www.airbnb.com/rooms/41348137"
"Janesville, Wisconsin, United States","42.73336","-89.06884","Rock River Paradise","2","Entire home","4.5","https://www.airbnb.com/rooms/3452025"
"Delavan, Wisconsin, United States","42.60091","-88.59431","Rustic Retreat-Delavan Lake-Cabin & Guest Quarters","9","Entire cottage","5","https://www.airbnb.com/rooms/46049383"
"Delavan, Wisconsin, United States","42.616","-88.585","223- Premium Lakefront Two Bedroom Condo Suite","7","Private room in resort",,"https://www.airbnb.com/rooms/32941587"
"Oconomowoc, Wisconsin, United States","43.11221","-88.44313","Okauchee Lake getaway with incredible views.","4","Entire vacation home","4.5","https://www.airbnb.com/rooms/53528436"
"Williams Bay, Wisconsin, United States","42.58024","-88.54335","Heart of Williams Bay Charming Cozy Tourist Home","8","Entire home","5","https://www.airbnb.com/rooms/16629727"
