"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Avon, Connecticut, United States","41.81175","-72.80743","Well decorated, steam room, pool, gym, fireplace","8","Entire townhouse",,"https://www.airbnb.com/rooms/50111114"
"Wethersfield, Connecticut, United States","41.70864","-72.65564","Bright, clean studio in charming Old Wethersfield","2","Entire guest suite","5","https://www.airbnb.com/rooms/28278419"
"Windsor, Connecticut, United States","41.82637","-72.65355","Eden's Cozy Oasis","5","Entire rental unit","5","https://www.airbnb.com/rooms/39255336"
"Rocky Hill, Connecticut, United States","41.67797","-72.65208","Outdoor Getaway! Near State Parks, Pool, Parking","4","Room in hotel",,"https://www.airbnb.com/rooms/48884654"
"Farmington, Connecticut, United States","41.74596","-72.86516","Farmington River House (unit A)","6","Entire home","4.5","https://www.airbnb.com/rooms/43386054"
"New Britain, Connecticut, United States","41.65394","-72.76048","Emmanuel’s House","6","Entire rental unit","4","https://www.airbnb.com/rooms/40701559"
"Rocky Hill, Connecticut, United States","41.67651","-72.65243","Adventure Awaits! Near State Parks & Attractions","4","Room in hotel",,"https://www.airbnb.com/rooms/52379527"
"New Britain, Connecticut, United States","41.68689","-72.77189","5 BRs in 7BR Home for rent, long-term, Near CCSU","6","Private room in home",,"https://www.airbnb.com/rooms/42904940"
"Newington, Connecticut, United States","41.67978","-72.7549","Adorable 2-bedroom place with free parking","4","Entire guest suite",,"https://www.airbnb.com/rooms/52535041"
"Rocky Hill, Connecticut, United States","41.67794","-72.65286","Outdoor Getaway! Unit , Breakfast, Pool","2","Room in hotel",,"https://www.airbnb.com/rooms/52379474"
"West Hartford, Connecticut, United States","41.75614","-72.72081","2 Bedroom Apt! 2 FULL EN-SUITE BATHROOMS!","2","Entire rental unit",,"https://www.airbnb.com/rooms/42911180"
"Farmington, Connecticut, United States","41.75278","-72.8738","Bright 4 Bedroom/2 Bath Home on the River!","4","Entire home",,"https://www.airbnb.com/rooms/54324183"
"West Hartford, Connecticut, United States","41.75086","-72.72981","2 Bedroom & 1 Bath apartment - close to the Center","2","Entire rental unit",,"https://www.airbnb.com/rooms/50461592"
"Hartford, Connecticut, United States","41.74995","-72.68617","Bargain for your Buck","3","Entire rental unit","4.5","https://www.airbnb.com/rooms/43103873"
"Rocky Hill, Connecticut, United States","41.67765","-72.6515","Nature Escape! Parking, Pool, Breakfast","2","Room in hotel",,"https://www.airbnb.com/rooms/48884648"
"Rocky Hill, Connecticut, United States","41.67759","-72.65209","Nature Escape! Near Parks/Attractions, Pool","4","Room in hotel",,"https://www.airbnb.com/rooms/52379505"
"Newington, Connecticut, United States","41.66786","-72.74922","Luxury Home on Beacon Hill","4","Entire home","5","https://www.airbnb.com/rooms/20203561"
"Portland, Connecticut, United States","41.59957","-72.62477","Cozy waterview in-law apartment","4","Entire guest suite","5","https://www.airbnb.com/rooms/52883642"
"New Britain, Connecticut, United States","41.67972","-72.79023","Cozy Cape on Farmington & Plainville Border","11","Entire home","5","https://www.airbnb.com/rooms/52828640"
"New Britain, Connecticut, United States","41.67987","-72.79119","Sunflower Suite: New Britain Home with a Soul!","5","Entire home","4.5","https://www.airbnb.com/rooms/45335534"
"Southington, Connecticut, United States","41.60568","-72.8773","Historical Registry House, 1800","4","Entire home","4.5","https://www.airbnb.com/rooms/11784080"
"Rocky Hill, Connecticut, United States","41.67603","-72.65179","Adventure Awaits! Breakfast, Parking","2","Room in hotel",,"https://www.airbnb.com/rooms/52379447"
"Southington, Connecticut, United States","41.58077","-72.87547","#16  *A COZY GETAWAY* 4BED/3BATH HOME W/ FIRE PIT","11","Entire home","5","https://www.airbnb.com/rooms/52245475"
"Farmington, Connecticut, United States","41.74547","-72.86458","Farmington Guest House","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/39753493"
"Glastonbury, Connecticut, United States","41.72863","-72.50714","Serene Apartment in Glastonbury","7","Entire home","5","https://www.airbnb.com/rooms/52883563"
