"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Richwood, West Virginia, United States","38.22689","-80.52818","Cranberry Basecamp","6","Entire home",,"https://www.airbnb.com/rooms/54181118"
"Richwood, West Virginia, United States","38.22624","-80.5336","The Oakford House","9","Entire home","5","https://www.airbnb.com/rooms/50960467"
"Webster Springs, West Virginia, United States","38.52462","-80.29818","Keene Life is Good Lodge WV ... No Neighbors!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/3495065"
"Richwood, West Virginia, United States","38.228","-80.528","The Guest House-Lovely & Peaceful","10","Entire home","5","https://www.airbnb.com/rooms/4809780"
"Hacker Valley, West Virginia, United States","38.63862","-80.39313","Grizz's Cabin in Almost Heaven, Hacker Valley, WV","4","Entire cabin","5","https://www.airbnb.com/rooms/43348368"
"Cleveland, West Virginia, United States","38.72488","-80.40376","Bend of River Cabin In Hacker Valley West Virginia","4","Entire cabin","5","https://www.airbnb.com/rooms/34832689"
"Hacker Valley, West Virginia, United States","38.68786","-80.43297","Driftwood Cabin in Almost Heaven, Hacker Valley WV","4","Entire cabin","5","https://www.airbnb.com/rooms/41289384"
"Webster Springs, West Virginia, United States","38.47859","-80.41149","Blue Iris Inn","8","Entire rental unit","5","https://www.airbnb.com/rooms/26255777"
"Helvetia, West Virginia, United States","38.73278","-80.18751","Riverside RV Site G1 Mountain views & trout stream","4","Campsite",,"https://www.airbnb.com/rooms/53494510"
"Richwood, West Virginia, United States","38.228","-80.527","The Front Porch Inn","8","Entire bungalow","5","https://www.airbnb.com/rooms/45575856"
"Diana, West Virginia, United States","38.562","-80.451","Vintage VIP Creekside Shaded '56 Little Gem Camper","2","Camper/RV","5","https://www.airbnb.com/rooms/51686131"
"Diana, West Virginia, United States","38.57456","-80.45564","VIP Vintage VIP Creekside VW Weekender Camper Van","2","Camper/RV","5","https://www.airbnb.com/rooms/51694059"
"Flatwoods, West Virginia, United States","38.72439","-80.65164","Caboose Imposter! 1 Bed,  1  Foldout, 1 Bath","3","Private room in train","4.5","https://www.airbnb.com/rooms/53239655"
"Webster Springs, West Virginia, United States","38.47265","-80.40903","Hatton Hut","6","Entire home","5","https://www.airbnb.com/rooms/37717680"
"Sutton, West Virginia, United States","38.69754","-80.64566","Little house, Little Price, Big on Comfort","4","Tiny home","5","https://www.airbnb.com/rooms/39950308"
"Richwood, West Virginia, United States","38.228","-80.527","The Cottage - Cozy & Charming","4","Entire guest suite","5","https://www.airbnb.com/rooms/6254054"
"Webster Springs, West Virginia, United States","38.47984","-80.40824","Christine's Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/18490339"
