"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Schellsburg, Pennsylvania, United States","40.05315","-78.64936","Sweet Schellsburg.","8","Entire cabin",,"https://www.airbnb.com/rooms/34828515"
"Claysburg, Pennsylvania, United States","40.29667","-78.54283","Lovely 2 Bedroom Condo at Blue Knob 4Season Resort","6","Entire condo","4.5","https://www.airbnb.com/rooms/51140478"
"James Creek, Pennsylvania, United States","40.30429","-78.14856","Roundhill Bunkhouse @ Raystown: Boat, Fish, Relax!","6","Entire guesthouse","5","https://www.airbnb.com/rooms/50695991"
"Claysburg, Pennsylvania, United States","40.29633","-78.54514","Charming Mountaintop Getaway - Ski, Golf, RELAX!!!","6","Entire condo","4.5","https://www.airbnb.com/rooms/27231521"
"Saxton, Pennsylvania, United States","40.23791","-78.20783","Little Valley Log Cabin Retreat at Camp Liberty","6","Entire cabin","5","https://www.airbnb.com/rooms/22789827"
"Saxton, Pennsylvania, United States","40.23438","-78.20629","NEW! Serene Saxton Lodge: 7 Mi to Lake Raystown!","16","Entire home","4.5","https://www.airbnb.com/rooms/48932397"
"Saxton, Pennsylvania, United States","40.23112","-78.21424","Little Valley Log Cabin Retreat at Camp Liberty","6","Entire cabin","5","https://www.airbnb.com/rooms/17316775"
"Pleasantville, Pennsylvania, United States","40.1911","-78.67582","Tentrr Signature Site - Ponderosa Pond Signature Campsite","4","Tent",,"https://www.airbnb.com/rooms/45801399"
"Claysburg, Pennsylvania, United States","40.2965","-78.54492","Blue Knob Extrovert Condo: Recreation & Relaxation","5","Entire condo","5","https://www.airbnb.com/rooms/47203003"
"Claysburg, Pennsylvania, United States","40.2958","-78.54335","Blue Knob Modern Mountain Getaway","6","Entire condo","5","https://www.airbnb.com/rooms/50708333"
"Claysburg, Pennsylvania, United States","40.29716","-78.54456","Winter is coming!","6","Entire condo","5","https://www.airbnb.com/rooms/44577096"
"Claysburg, Pennsylvania, United States","40.296","-78.54","Blue Knob (2/Bedroom, 2/Bath) Lucy’s Trail Retreat","6","Entire condo","5","https://www.airbnb.com/rooms/50901853"
"Claysburg, Pennsylvania, United States","40.29671","-78.5437","Stop at The Hop Blue Knob","4","Entire condo","5","https://www.airbnb.com/rooms/53313424"
"Claysburg, Pennsylvania, United States","40.29668","-78.5453","Dolly’s Den","4","Entire condo","5","https://www.airbnb.com/rooms/52565614"
"Hyndman, Pennsylvania, United States","39.793","-78.723","Grandpa's Farm","11","Farm stay","5","https://www.airbnb.com/rooms/13135222"
"Hopewell Township, Pennsylvania, United States","40.12856","-78.26857","Caretaker's Cottage - 4 Bedrooms Pet Friendly On The River","7","Entire home","5","https://www.airbnb.com/rooms/45590546"
"Claysburg, Pennsylvania, United States","40.29667","-78.53937","Blue Knob (2/Bed, 2/Bath) Lucy’s Trail Escape","6","Entire condo","5","https://www.airbnb.com/rooms/49020598"
"Martinsburg, Pennsylvania, United States","40.30911","-78.28434","Quiet, single-story, 3-bedroom country home with everything you need for your stay.","8","Entire home","5","https://www.airbnb.com/rooms/51669660"
"Claysburg, Pennsylvania, United States","40.29809","-78.53975","Bear and Buck Lodge","4","Entire condo","5","https://www.airbnb.com/rooms/52199785"
"Windber, Pennsylvania, United States","40.17401","-78.80859","Experience the country in the Allegheny Mountains","6","Farm stay","5","https://www.airbnb.com/rooms/24183193"
"Claysburg, Pennsylvania, United States","40.2958","-78.54422","Blue Knob Big Snow Condo","6","Entire condo","5","https://www.airbnb.com/rooms/50362794"
"Woodbury, Pennsylvania, United States","40.18626","-78.37602","THE COTTAGE AT WATERSIDE","6","Entire cottage","5","https://www.airbnb.com/rooms/51486910"
"Breezewood, Pennsylvania, United States","40.06126","-78.22006","The Guest House at Serenity Springs","6","Farm stay","5","https://www.airbnb.com/rooms/49988641"
"Fairhope, Pennsylvania, United States","39.84097","-78.79157","Uncle Josh's creekside cabin","4","Entire home","5","https://www.airbnb.com/rooms/48081700"
"Claysburg, Pennsylvania, United States","40.30048","-78.53622","Mountain top cabin located in outdoor paradise.","6","Entire cabin","5","https://www.airbnb.com/rooms/51061905"
