"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wurtsboro, New York, United States","41.58886","-74.52126","Log Cabin In The  Woods  Very Private Location","9","Entire cabin","5","https://www.airbnb.com/rooms/46772403"
"Wallkill, New York, United States","41.60728","-74.07125","Quiet Hudson Valley property","6","Entire home","5","https://www.airbnb.com/rooms/14331240"
"Marlboro, New York, United States","41.59448","-73.97581","Benmarl Vineyards/Winery B&B Room 1","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/1242262"
"Greenwood Lake, New York, United States","41.2182","-74.29079","Casa del Lago, Boating, Hiking & Apple picking!","10","Entire home","5","https://www.airbnb.com/rooms/18730920"
"Beacon, New York, United States","41.50135","-73.96428","Prime spot on Beacon's best block","4","Entire rental unit","5","https://www.airbnb.com/rooms/6003509"
"Monroe, New York, United States","41.27575","-74.18356","Hudson Cottage - Monroe, NY","8","Entire cottage","4.5","https://www.airbnb.com/rooms/39168490"
"Vernon Township, New Jersey, United States","41.18324","-74.51797","Luxury Mountain Ski Condo 3BR 2BA on Golf Course","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/15051875"
"Vernon Township, New Jersey, United States","41.19532","-74.5066","Wolf Lodge Across Mountain Creek, Relaxing,Hiking,","8","Entire condo","5","https://www.airbnb.com/rooms/54378313"
"Fort Montgomery, New York, United States","41.33728","-73.97983","Modern 3 BR home close to West Point & Bear Mt.","7","Entire townhouse","5","https://www.airbnb.com/rooms/51259250"
"Beacon, New York, United States","41.50048","-73.97904","Dia Delight","6","Entire home","5","https://www.airbnb.com/rooms/17506272"
"Vernon Township, New Jersey, United States","41.191","-74.505","Rustic Chic at Mountain Creek! Ski-in/Ski-out!","4","Entire condo","5","https://www.airbnb.com/rooms/43518852"
"Newburgh, New York, United States","41.57442","-73.99017","Cabin in the Heart of the Hudson Valley, Cabin 1","2","Tiny home","5","https://www.airbnb.com/rooms/47290072"
"Rock Hill, New York, United States","41.60796","-74.58442","Low rates! Summer Vacation Getaway: The Catskills","14","Entire home","5","https://www.airbnb.com/rooms/19910890"
"Matamoras, Pennsylvania, United States","41.394","-74.719","Creekside Lodge on the Mighty Delaware River","2","Entire guest suite","5","https://www.airbnb.com/rooms/26463306"
"Rock Hill, New York, United States","41.6288","-74.55856","A Couples Get Away!","4","Entire home","5","https://www.airbnb.com/rooms/44675096"
"Monroe, New York, United States","41.38804","-74.13916","Relaxing Mountain Cottage in the Hudson Valley","4","Entire cottage","4.5","https://www.airbnb.com/rooms/44302493"
"Warwick, New York, United States","41.28668","-74.30565","Green Pond Farmhouse Downstairs","4","Entire guest suite","5","https://www.airbnb.com/rooms/30421461"
"Slate Hill, New York, United States","41.36999","-74.46575","Stone Oak Tree Farm Canaan Fir Room","2","Private room in home","5","https://www.airbnb.com/rooms/4515150"
"Pine Bush, New York, United States","41.61862","-74.36885","The Chiesa's- Queen-Sized Bedroom South","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/13167090"
"Cold Spring, New York, United States","41.42188","-73.95097","Cold Spring Suite - Village and Hiking Getaway","4","Entire guest suite","5","https://www.airbnb.com/rooms/39597888"
"Highland Falls, New York, United States","41.372","-73.966","Newly Renovated Home in Highland Falls","8","Entire home","4.5","https://www.airbnb.com/rooms/42875752"
"Wallkill, New York, United States","41.63197","-74.22529","Spa BnB w/ Private Bath near Minnewaska & Mohonk 2","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/2791002"
"Newburgh, New York, United States","41.55677","-74.00968","View on the Hudson","2","Private room in home","5","https://www.airbnb.com/rooms/14127735"
"Marlboro, New York, United States","41.58944","-73.97209","Spectacular Log Home Estate North Wing Apt","4","Entire rental unit","5","https://www.airbnb.com/rooms/47431511"
"Newburgh, New York, United States","41.51898","-74.01828","#1, Studio Apartment in Historic Building","2","Entire rental unit","5","https://www.airbnb.com/rooms/23918244"
