"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Thornton, New Hampshire, United States","43.87468","-71.61395","Cozy 3BR getaway w/ stunning mountain views","8","Entire townhouse","5","https://www.airbnb.com/rooms/49540734"
"Lisbon, New Hampshire, United States","44.2844","-71.86593","Private, beautiful home in New Hampshire","8","Entire home",,"https://www.airbnb.com/rooms/24153880"
"Meredith, New Hampshire, United States","43.65515","-71.5378","Cozy Lake Waukewan Access Cottage","10","Entire home","5","https://www.airbnb.com/rooms/45722792"
"Thetford, Vermont, United States","43.81157","-72.208","Spectacular Views--Very Close to Dartmouth","2","Entire townhouse","5","https://www.airbnb.com/rooms/11790770"
"Lincoln, New Hampshire, United States","44.044","-71.67","South Mountain Resort - 2 Bed","10","Private room in resort",,"https://www.airbnb.com/rooms/716560999545361300"
"Lincoln, New Hampshire, United States","44.05325","-71.66929","Stay & Play at LOON MT-Forest Ridge w/Pool!","8","Entire townhouse","5","https://www.airbnb.com/rooms/26162998"
"Gilford, New Hampshire, United States","43.54031","-71.41003","Firefly Cottage in Gilford, NH.  Home with beach a","8","Entire home",,"https://www.airbnb.com/rooms/54304984"
"Gilford, New Hampshire, United States","43.58665","-71.3954","Gilford House w/ Deck+Grill - Mins. to Beach!","13","Entire home","5","https://www.airbnb.com/rooms/37494046"
"Plymouth, New Hampshire, United States","43.77034","-71.68611","Bunk Room at The Common Man Inn & Spa","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/23990894"
"Laconia, New Hampshire, United States","43.59987","-71.44081","5+ bedroom home close to Weirs & Gunstock","13","Entire home","4.5","https://www.airbnb.com/rooms/45867819"
"Woodstock, New Hampshire, United States","44.03818","-71.69422","Bright and cozy townhouse, close to everything!","8","Entire townhouse","5","https://www.airbnb.com/rooms/30091047"
"Sandwich, New Hampshire, United States","43.80566","-71.44193","1920s Cottage on Red Hill","8","Entire home","5","https://www.airbnb.com/rooms/9343897"
"Danville, Vermont, United States","44.38749","-72.14091","Beautiful Log Cabin Getaway","7","Entire cabin","5","https://www.airbnb.com/rooms/9579005"
"Danbury, New Hampshire, United States","43.54541","-71.83557","Ragged Mountain House, located on 50 acres.","4","Entire home","5","https://www.airbnb.com/rooms/17531910"
"Moultonborough, New Hampshire, United States","43.6825","-71.39936","Bright and spacious lake house","8","Entire home","5","https://www.airbnb.com/rooms/48680742"
"Meredith, New Hampshire, United States","43.65871","-71.534","Chalet-style lakefront home with private dock & beach, wood stove, kayak, canoe","8","Entire cottage",,"https://www.airbnb.com/rooms/32813407"
"Moultonborough, New Hampshire, United States","43.72574","-71.35899","Lake Winnepesauke dog friendly house 15","10","Entire home","5","https://www.airbnb.com/rooms/34035871"
"Gilford, New Hampshire, United States","43.56443","-71.37465","Awesome Lake Winnipesaukee and Gunstock Location!","10","Entire cabin","5","https://www.airbnb.com/rooms/53152955"
"Lincoln, New Hampshire, United States","44.046","-71.675","Spacious Family Home with Mountain Views","12","Entire home","5","https://www.airbnb.com/rooms/19591977"
"Bethlehem, New Hampshire, United States","44.28084","-71.72495","Pine 101 New high-end cozy cabin","2","Entire cabin",,"https://www.airbnb.com/rooms/51149896"
"Gilford, New Hampshire, United States","43.557","-71.36","Gunstock Acre Home","6","Entire home","5","https://www.airbnb.com/rooms/54195254"
"Holderness, New Hampshire, United States","43.7273","-71.6046","Laurel Island Suite at The Inn on Golden Pond!! FAMILY FRIENDLY!","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/48870630"
"Gilford, New Hampshire, United States","43.57387","-71.36807","Welcoming Fall Foliage at our Mountainside Home","9","Entire home","4.5","https://www.airbnb.com/rooms/50235654"
"Sugar Hill, New Hampshire, United States","44.21589","-71.77043","Peaceful White Mountain Retreat","12","Entire bungalow","5","https://www.airbnb.com/rooms/12627576"
"Bethlehem, New Hampshire, United States","44.28192","-71.72452","Lakeside Pine 5. High-end cabin on the lake!","2","Entire cabin","5","https://www.airbnb.com/rooms/40842633"
