"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Silver Bay, New York, United States","43.67412","-73.50994","Waterfront on Lake George/Million dollar view","6","Entire home","4.5","https://www.airbnb.com/rooms/38230616"
"Fort Ann, New York, United States","43.49311","-73.62566","LOG CABIN min to LAKE GEORGE-Fire Pit/Kayaks/Bikes","8","Entire cabin","5","https://www.airbnb.com/rooms/54319438"
"Lake George, New York, United States","43.41157","-73.72063","Lake Escape- Cozy 4 bedroom retreat in Lake George","7","Entire home","5","https://www.airbnb.com/rooms/50237795"
"North Creek, New York, United States","43.69983","-73.98713","9 bd, 2 Bth, Prime Location: All Season Rental, Units 1&2","10","Entire home","5","https://www.airbnb.com/rooms/49233624"
"Pottersville, New York, United States","43.71979","-73.76187","Private waterfront in the heart of the Adirondacks","10","Entire home","5","https://www.airbnb.com/rooms/45497472"
"Johnsburg, New York, United States","43.60039","-74.05174","The Red House By Gore Mountain","11","Entire home","4.5","https://www.airbnb.com/rooms/20694723"
"Bolton, New York, United States","43.55715","-73.65786","NEW LISTING IN BOLTON-BEAUTIFUL 4 BR VILLAGE HOME!","10","Entire home","5","https://www.airbnb.com/rooms/33490019"
"Queensbury, New York, United States","43.32663","-73.69192","Cozy 3 bedroom cottage with beautiful backyard","8","Entire cottage","5","https://www.airbnb.com/rooms/51921200"
"Lake George, New York, United States","43.44924","-73.70163","Lake George Retreat","5","Entire home","4.5","https://www.airbnb.com/rooms/36180727"
"Lake George, New York, United States","43.46673","-73.68726","The Campbell House on Still Bay","6","Entire home",,"https://www.airbnb.com/rooms/11764595"
"Brant Lake, New York, United States","43.67966","-73.7458","Hillcrest Cottages 4 on outlet of Brant Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/7636899"
"Brant Lake, New York, United States","43.67823","-73.74562","Hillcrest Cottages 3 on outlet of Brant Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/7572881"
"Johnsburg, New York, United States","43.54033","-74.01246","Four Season Garnet Lake Retreat on Mill Creek","8","Entire home","5","https://www.airbnb.com/rooms/20424277"
"Hague, New York, United States","43.748","-73.501","BrooksideMiniFarm Lake George Acces","4","Entire home","5","https://www.airbnb.com/rooms/25928"
"Bolton, New York, United States","43.56313","-73.6533","Entire House in Bolton Landing, NY","6","Entire home","5","https://www.airbnb.com/rooms/16718258"
"Brant Lake, New York, United States","43.7346","-73.69545","Cozy Cabin at Brant Lake","4","Entire cabin","5","https://www.airbnb.com/rooms/28101573"
"North Creek, New York, United States","43.6801","-73.97382","Gore Mountain Townhouse","8","Entire townhouse","5","https://www.airbnb.com/rooms/28255423"
"Gansevoort, New York, United States","43.25278","-73.68794","Home away from home MINUTES from everything","8","Entire home","5","https://www.airbnb.com/rooms/48535662"
"Lake George, New York, United States","43.42599","-73.71759","Romeo's Haven (Rm 4 - Romeo & Giulietta's Inn/B&B)","4","Room in bed and breakfast","5","https://www.airbnb.com/rooms/4759075"
"Chestertown, New York, United States","43.63531","-73.85028","Adirondack Camp / Friends Lake","7","Entire cottage","5","https://www.airbnb.com/rooms/3324922"
"Stony Creek, New York, United States","43.424","-73.93","Stony Creek Retreat","11","Entire home","4.5","https://www.airbnb.com/rooms/13091654"
"Lake Luzerne-Hadley, New York, United States","43.312","-73.836","2BR Waterfront Lodge Suites","5","Private room in rental unit","4.5","https://www.airbnb.com/rooms/4172505"
"North Creek, New York, United States","43.6851","-73.97982","Adirondack house with hot tub minutes from Gore","12","Entire home","4.5","https://www.airbnb.com/rooms/43907881"
"Brant Lake, New York, United States","43.67884","-73.74709","Hillcrest Cottages 2 on outlet of Brant Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/7773848"
"Lake Luzerne, New York, United States","43.37357","-73.78679","Bass: 2 Bedroom Waterfront Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/36596657"
