"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Donnelly, Idaho, United States","44.725","-116.111","Comfy Donnelly Home for 12- Pet Friendly","12","Entire cabin","5","https://www.airbnb.com/rooms/22632074"
"McCall, Idaho, United States","44.90382","-116.09183","Spacious home with fireplace, deck & grill - walk downtown, dogs OK","10","Entire cabin","4.5","https://www.airbnb.com/rooms/29568717"
"McCall, Idaho, United States","44.90608","-116.09996","Silverpine Hideaway: Short Walk to Downtown, A/C, Xbox, Sonos Sound System","9","Entire townhouse","5","https://www.airbnb.com/rooms/41564035"
"McCall, Idaho, United States","44.9177","-116.09296","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4.5","https://www.airbnb.com/rooms/39921587"
"McCall, Idaho, United States","44.91825","-116.09229","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo",,"https://www.airbnb.com/rooms/39921649"
"McCall, Idaho, United States","44.91816","-116.09294","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4","https://www.airbnb.com/rooms/39921566"
"McCall, Idaho, United States","44.91656","-116.09313","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo",,"https://www.airbnb.com/rooms/39921675"
"McCall, Idaho, United States","44.90488","-116.0983","McCall Downtown Retreat-Monthly Rate Discounts","8","Entire rental unit","5","https://www.airbnb.com/rooms/15731948"
"McCall, Idaho, United States","44.91834","-116.09124","1 Bedroom in McCall, ID","8","Entire condo","3.5","https://www.airbnb.com/rooms/39921494"
"McCall, Idaho, United States","44.9166","-116.09256","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4.5","https://www.airbnb.com/rooms/39921767"
"McCall, Idaho, United States","44.91667","-116.09234","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","5","https://www.airbnb.com/rooms/39921546"
"McCall, Idaho, United States","44.91704","-116.09248","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4.5","https://www.airbnb.com/rooms/39921662"
"McCall, Idaho, United States","44.91826","-116.09122","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4.5","https://www.airbnb.com/rooms/39921607"
"McCall, Idaho, United States","44.92187","-116.09197","McCall Cabin near Beach / Lake / Park - Spacious","7","Entire cabin","4.5","https://www.airbnb.com/rooms/1268308"
"McCall, Idaho, United States","44.91791","-116.09079","McCall Golf Course Condo","9","Entire townhouse","5","https://www.airbnb.com/rooms/18878349"
"McCall, Idaho, United States","44.91383","-116.09045","Chic House w/ Patio, ~ 2 Blocks to Payette Lake!","8","Entire home","5","https://www.airbnb.com/rooms/51300700"
"McCall, Idaho, United States","44.91935","-116.09039","Laid Back Lounge: Seasonal Pool and Tennis Court, Close to Golf Course","11","Entire condo","5","https://www.airbnb.com/rooms/23784216"
"McCall, Idaho, United States","44.91018","-116.10556","Lakefront condo w/ enclosed balcony, lovely views & shared seasonal pool/beach","8","Entire condo","4","https://www.airbnb.com/rooms/23243937"
"McCall, Idaho, United States","44.88988","-116.12182","Cozy Cabin in the Trees, Perfect for Groups","10","Entire home","5","https://www.airbnb.com/rooms/3434434"
"Donnelly, Idaho, United States","44.72539","-116.11345","Outdoors house","6","Entire home","5","https://www.airbnb.com/rooms/39634318"
"McCall, Idaho, United States","44.90342","-116.11647","Syringa House: Pet Friendly, Wrap Around Deck, Foosball, Xbox","8","Entire home","4.5","https://www.airbnb.com/rooms/19948107"
"McCall, Idaho, United States","44.90777","-116.09484","Large Downtown McCall Cabin- Walk to it All!","12","Entire cabin","5","https://www.airbnb.com/rooms/45829201"
"McCall, Idaho, United States","44.91398","-116.09654","Mill Road Townhome - Walk to Payette Lake and Downtown - Lakeview Balcony - WiFi","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52897180"
"McCall, Idaho, United States","44.91156","-116.09292","The Park Chalet - Rustic charm - Pet-Friendly - Downtown - Payette Lake - Restaurants - WiFi - Wood Stove","8","Entire home","2.5","https://www.airbnb.com/rooms/43945915"
"McCall, Idaho, United States","44.91768","-116.09081","Cozy condo w/ a wood stove, shared hot tub, pools, & tennis - close to downtown!","6","Entire condo","4.5","https://www.airbnb.com/rooms/33526771"
