"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ely, Nevada, United States","39.25721","-114.87976","Nice four bedroom getaway.","4","Entire home","5","https://www.airbnb.com/rooms/38730655"
"Baker, Nevada, United States","39.00645","-114.12209","R & R Rest Stop","4","Camper/RV","4.5","https://www.airbnb.com/rooms/18173795"
"Baker, Nevada, United States","39.012","-114.124","The Corner Place (formerly Gateway Accommodations)","8","Entire home","5","https://www.airbnb.com/rooms/47529570"
"Ely, Nevada, United States","39.24948","-114.88734","Grandma’s house in the mountains corporate housing","4","Entire home",,"https://www.airbnb.com/rooms/46569203"
"Ely, Nevada, United States","39.25102","-114.87133","Ely three bedroom retreat","6","Entire home","5","https://www.airbnb.com/rooms/24311727"
"Ely, Nevada, United States","39.24672","-114.89204","Down Town Experience.","4","Entire rental unit","5","https://www.airbnb.com/rooms/51268818"
"Ely, Nevada, United States","39.25971","-114.86079","Prospector Hotel & Gambling Hall","3","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/11967755"
"Baker, Nevada, United States","39.0062","-114.12727","Great Basin Bungalow - a clean, quiet desert space","2","Entire guest suite","5","https://www.airbnb.com/rooms/13587248"
"Ely, Nevada, United States","39.24728","-114.89202","Right downtown by Casinos.","5","Entire home","5","https://www.airbnb.com/rooms/35265276"
"Ely, Nevada, United States","39.25451","-114.88177","Cozy cottage in old town area. Queen and full bed","4","Entire home","5","https://www.airbnb.com/rooms/25355920"
"McGill, Nevada, United States","39.39799","-114.77918","Share Your Very Own Cabin","2","Private room in cabin",,"https://www.airbnb.com/rooms/762100424529285900"
"McGill, Nevada, United States","39.399","-114.778","Get Away Cabin Experience in McGill","6","Entire home","5","https://www.airbnb.com/rooms/36643145"
"Ely, Nevada, United States","39.24987","-114.87632","Mountain Cottage","4","Entire cottage",,"https://www.airbnb.com/rooms/23827160"
