"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bonners Ferry, Idaho, United States","48.99783","-116.50103","2nd story Rustic 3 bedroom on the Kootenai River","8","Entire vacation home",,"https://www.airbnb.com/rooms/50262750"
"Naples, Idaho, United States","48.50109","-116.44898","Ponderay Suite","4","Entire rental unit",,"https://www.airbnb.com/rooms/46330610"
"Priest River, Idaho, United States","48.5664","-116.93271","Priest Lake Cozy Cabin with Modern Amenities","6","Entire cottage","5","https://www.airbnb.com/rooms/13219690"
"Priest Lake, Idaho, United States","48.56876","-116.92099","Beaver Tail Cabin Guesthouse","2","Entire guesthouse","5","https://www.airbnb.com/rooms/25104806"
"Bonner County, Idaho, United States","48.51491","-116.92784","Tamrak Creek Retreat","6","Entire home","5","https://www.airbnb.com/rooms/33853950"
"Moyie Springs, Idaho, United States","48.70993","-116.12684","Rustic Mountain Lodge Farmhouse Cabin private bath","4","Entire cabin","5","https://www.airbnb.com/rooms/49865674"
"Priest Lake, Idaho, United States","48.53175","-116.97074","Lamb Creek Retreat. Off-grid adventure & rest.","5","Entire guesthouse","5","https://www.airbnb.com/rooms/52223625"
"Bonners Ferry, Idaho, United States","48.70268","-116.31666","The Art Room Northside School Bed & Breakfast Room 5","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/43421490"
"Bonners Ferry, Idaho, United States","48.709","-116.249","Hideaway Family Cabin","10","Entire home",,"https://www.airbnb.com/rooms/7514041"
"Bonners Ferry, Idaho, United States","48.7025","-116.31612","The Paleontology Room Northside School Bed & Breakfast Room 6","3","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/43421967"
"Bonners Ferry, Idaho, United States","48.70199","-116.31635","The Literature Room Northside School Bed & Breakfast Room 4","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/43421819"
"Bonners Ferry, Idaho, United States","48.70347","-116.316","The World Studies Room Northside School Bed & Breakfast Room 7","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/43422021"
"Bonners Ferry, Idaho, United States","48.70211","-116.31472","The Principals Office Northside School Bed & Breakfast Room 9","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/43421636"
"Bonners Ferry, Idaho, United States","48.6909","-116.31537","The Romance Suite Northside School Bed and Breakfast Room 2","3","Room in bed and breakfast","5","https://www.airbnb.com/rooms/37354017"
"Bonners Ferry, Idaho, United States","48.70417","-116.33167","Comfortable, Peaceful, 1 BR Close In Town","2","Casa particular","5","https://www.airbnb.com/rooms/53890065"
"Priest Lake, Idaho, United States","48.51815","-116.88793","Perfect Lakefront Location","6","Entire cabin","5","https://www.airbnb.com/rooms/12291628"
"Moyie Springs, Idaho, United States","48.70862","-116.12798","Cozy Rustic Mountain Cabin","6","Entire cabin",,"https://www.airbnb.com/rooms/49576880"
"Bonners Ferry, Idaho, United States","48.67396","-116.24849","Cow Creek Cottage","10","Private room in cottage","5","https://www.airbnb.com/rooms/3674046"
"Priest Lake, Idaho, United States","48.50713","-116.91331","Huckleberry Heaven Priest Lake  A perfect getaway!","12","Entire cabin","5","https://www.airbnb.com/rooms/2211232"
"Moyie Springs, Idaho, United States","48.72014","-116.18576","3 bedroom fully furnished house with river view","12","Entire home","4.5","https://www.airbnb.com/rooms/51131134"
"Moyie Springs, Idaho, United States","48.70824","-116.12687","Cozy Rustic Mountain Cabin","6","Entire cabin","4.5","https://www.airbnb.com/rooms/49859041"
"Nordman, Idaho, United States","48.634","-116.876","Bungalow & Bunk House, Sleeps 10, Close to Lake","10","Entire bungalow","5","https://www.airbnb.com/rooms/52223707"
"Priest Lake, Idaho, United States","48.56986","-116.92518","Quaint Priest Lake Cabin w/Patio <1Mi to Lake","6","Entire cabin","4.5","https://www.airbnb.com/rooms/39594588"
"Bonners Ferry, Idaho, United States","48.67228","-116.25272","Cow Creek Cottage & Suite","12","Entire cottage","5","https://www.airbnb.com/rooms/45205199"
"Nordman, Idaho, United States","48.62419","-116.89506","Spacious Cabin By Priest Lake & Elkins Resort","7","Entire cabin","5","https://www.airbnb.com/rooms/37251697"
