"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Coral Bay, St. John, U.S. Virgin Islands","18.33669","-64.71965","Calichi At Picture Point - The Orchid Villa","4","Entire villa","4.5","https://www.airbnb.com/rooms/28868096"
"Sayulita, Nayarit, Mexico","20.87759","-105.43066","Casa Orion -Tropical Paradise in magical Sayulita","10","Entire home","5","https://www.airbnb.com/rooms/40562421"
"Tabanan, Bali, Indonesia","-8.563","115.038","Luxury Unique Cloud Villa Ocean View","7","Entire villa","5","https://www.airbnb.com/rooms/37959280"
"Denison, Texas, United States","33.84194","-96.6339","Lake Texoma Cabin on a Small Lake - 3BR Sleeps 18","16","Entire cabin","4.5","https://www.airbnb.com/rooms/38506255"
"Saint Augustine, Florida, United States","29.79345","-81.26091","Large Ocean Beach House with Pool for 12","12","Entire home","5","https://www.airbnb.com/rooms/8113621"
"Santa Rosa Beach, Florida, United States","30.306","-86.09","Location! Location! Location! GULF VIEWS, Steps to","13","Entire home","5","https://www.airbnb.com/rooms/48637292"
"Newport Beach, California, United States","33.58152","-117.84162","Marriott's Newport Coast Villas","8","Entire condo",,"https://www.airbnb.com/rooms/48210831"
"Cilmery, United Kingdom","52.15754","-3.45785","Canoldy","7","Entire home","5","https://www.airbnb.com/rooms/25767428"
"Carnelian Bay, California, United States","39.21194","-120.09713","The Carnelian Bay Escape - Hot Tub/Close 2 Beach!","7","Entire cabin","4.5","https://www.airbnb.com/rooms/50562104"
"Vodnjan, Croatia","44.95499","13.85403","*Amazing modern apartment with 2 bedrooms*","5","Entire rental unit",,"https://www.airbnb.com/rooms/32123383"
"Lignan-de-Bordeaux, Gironde, France","44.79629","-0.41435","Gîte-de France-Ensuite-Countryside view","13","Entire villa","5","https://www.airbnb.com/rooms/33904163"
"Venice Beach, California, United States","33.99008","-118.46611","BEST Venice Locale: the full Venice Experience!","8","Entire home","5","https://www.airbnb.com/rooms/2291457"
"Soorts-Hossegor, Nouvelle-Aquitaine, France","43.66837","-1.43783","Villa jardin piscine et la plage a 2 minutes","14","Entire villa",,"https://www.airbnb.com/rooms/52023139"
"Kapolei, Hawaii, United States","21.33408","-158.12172","**Ko Olina Beach Villa Frontal Oceanview 2 bd/2 ba","4","Entire condo","5","https://www.airbnb.com/rooms/15633180"
"Fortingall, near Aberfeldy, Scotland, United Kingdom","56.60079","-4.03519","Ardchoille Cottage (UK10285)","6","Entire home",,"https://www.airbnb.com/rooms/40932817"
"Menai Bridge, Wales, United Kingdom","53.24023","-4.1883","Pumpkin Lodge","4","Entire home",,"https://www.airbnb.com/rooms/48622131"
"Charmouth, near Lyme Regis, England, United Kingdom","50.74762","-2.92265","The Barn - UKC3750 (UKC3750)","4","Entire home",,"https://www.airbnb.com/rooms/40933060"
"Haifa, Haifa District, Israel","32.81158","34.96047","Exquisite Sunset Penthouse","8","Entire rental unit","5","https://www.airbnb.com/rooms/25909435"
"Pett, United Kingdom","50.89488","0.65644","Holly Cottage (PW7)","9","Entire home","5","https://www.airbnb.com/rooms/30918194"
"Golden, Colorado, United States","39.75597","-105.22382","The Golden Guest House — Downtown Golden","10","Entire home","5","https://www.airbnb.com/rooms/20802046"
"New York, United States","40.76229","-73.99076","Highly Disinfected | Perfectly Located Near Restaurants, Shops, & Sites","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/37586370"
"Corolla, North Carolina, United States","36.36891","-75.82856","6 bed/4 bath Corolla Light Resort home","12","Entire home",,"https://www.airbnb.com/rooms/45864837"
"Wilderswil, Bern, Switzerland","46.66608","7.86084","Unique View & Wellness Entire 3rd floor","13","Entire rental unit","5","https://www.airbnb.com/rooms/50495291"
"Alvechurch, United Kingdom","52.34815","-1.97172","Fenn House (29685)","8","Entire home",,"https://www.airbnb.com/rooms/30909973"
"Dover, Vermont, United States","42.99231","-72.8899","Chalet 4 bedroom+den Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/16187019"
"Somerford Keynes, England, United Kingdom","51.64636","-1.96971","Nuthatch (UKC158)","10","Entire home","5","https://www.airbnb.com/rooms/49537652"
"Mississauga, Ontario, Canada","43.5589","-79.75262","Light House","3","Entire guest suite","4.5","https://www.airbnb.com/rooms/26816677"
"Rome, Lazio, Italy","41.9","12.462","BigFamilyFlats-Sistine Chapel 1 Apt-20 pax/8 rooms","16","Entire rental unit","5","https://www.airbnb.com/rooms/17931967"
"Powys, Wales, United Kingdom","52.48324","-3.46822","Upper Gwerneirin (UK31627)","8","Entire home","5","https://www.airbnb.com/rooms/45706876"
"Porthleven, United Kingdom","50.083","-5.315","7 Bay View","5","Entire home",,"https://www.airbnb.com/rooms/22115975"
"Llanymawddwy, Wales, United Kingdom","52.75666","-3.62958","Ty Gillwood (UK13244)","6","Entire home",,"https://www.airbnb.com/rooms/40702550"
"Lynmouth, United Kingdom","51.22937","-3.8247","River Cottage","6","Entire home","4.5","https://www.airbnb.com/rooms/23780298"
"Torino, Piemonte, Italy","45.083","7.636","Melograno","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/33681919"
"Winsford, United Kingdom","51.10128","-3.56361","Royal Oak Farm (EWR)","9","Entire home","4.5","https://www.airbnb.com/rooms/30220117"
"Davenport, Florida, United States","28.31707","-81.65894","2191 LC - Windsor Island","16","Entire home",,"https://www.airbnb.com/rooms/53606124"
"Lynmouth, United Kingdom","51.22978","-3.82788","Ferndale House, Lynmouth","6","Entire home","4.5","https://www.airbnb.com/rooms/23778157"
"Albuquerque, New Mexico, United States","35.17278","-106.62051","North Valley Hideaway near Balloon Fiesta Park","8","Entire home","5","https://www.airbnb.com/rooms/25841222"
"North Kuta, Bali, Indonesia","-8.67","115.166","8BR Villa Mason - Minggu Villas","16","Entire villa","4.5","https://www.airbnb.com/rooms/30006054"
"Surf City, New Jersey, United States","39.656","-74.179","Surf Shack LBI - 4 bed/3 bath w/great Bay Views","10","Entire home","5","https://www.airbnb.com/rooms/41406590"
"Lee-on-the-Solent, near Portsmouth, England, United Kingdom","50.80329","-1.20722","Seaways (UK11416)","6","Entire home","5","https://www.airbnb.com/rooms/37399407"
"POKOLBIN, New South Wales, Australia","-32.733","151.322","Eagles Landing","8","Entire home","5","https://www.airbnb.com/rooms/16770760"
"Hook Norton, near Chipping Norton, United Kingdom","51.99633","-1.48777","The Old Sweet Shop (W44019)","6","Entire home","5","https://www.airbnb.com/rooms/30889458"
"Shelter Island, New York, United States","41.04819","-72.36287","Secluded and Sheltered","8","Entire home","5","https://www.airbnb.com/rooms/3544267"
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France","43.49311","5.43163","Confortable Bastide provençale avec piscine","10","Entire villa","5","https://www.airbnb.com/rooms/49921913"
"Llwyngwril, near Aberdovey, United Kingdom","52.66526","-4.08159","Ty Newydd (UK6143)","8","Entire home","5","https://www.airbnb.com/rooms/30914413"
"Port-Saint-Louis-du-Rhône, Provence-Alpes-Côte d'Azur, France","43.39729","4.79323","Charming villa in Camargue with private pool","4","Entire villa",,"https://www.airbnb.com/rooms/53352368"
"Attersee am Attersee, Oberösterreich, Austria","47.915","13.537","B & B  Attersee","9","Entire home","5","https://www.airbnb.com/rooms/30731832"
"Allithwaite, near Grange-over-Sands, England, United Kingdom","54.17783","-2.94025","Samhach Lodge-UK11301 (UK11301)","2","Entire home","5","https://www.airbnb.com/rooms/40940720"
"Lahaina, Hawaii, United States","21.00131","-156.66203","Kapalua Bay Villa 17B4  by Aloha Vacation Villas","2","Entire rental unit",,"https://www.airbnb.com/rooms/44444135"
"Corridonia, Marche, Italy","43.24827","13.49051","Villa Chibo","11","Entire home",,"https://www.airbnb.com/rooms/48222205"
"Kapaʻa, Hawaii, United States","22.06021","-159.32134","Waipouli Beach Resort Exquisite Luxury Oceanview - Best Location! Aloha!","8","Entire rental unit","5","https://www.airbnb.com/rooms/48462875"
"Paris, Île-de-France, France","48.866","2.352","Amazing Renovated Haussmanien Appart w/Aircon&Lift","8","Entire serviced apartment","5","https://www.airbnb.com/rooms/49186423"
"Agadir, Souss Massa, Morocco","30.4307","-9.55973","Très propre appartement a vous accueillir","6","Entire condo","4.5","https://www.airbnb.com/rooms/52251214"
"South Lake Tahoe, California, United States","38.9016","-119.95925","Heavenly Pines-Hot Tub, Family Friendly,Great Yard","12","Entire home","4.5","https://www.airbnb.com/rooms/38127157"
"Cape Town, Western Cape, South Africa","-33.95888","18.38423","Comfy Camps Bay Family Villa sleeps 10 with pool","10","Entire villa","4.5","https://www.airbnb.com/rooms/39957808"
"Jardim das Colinas, São Paulo, Brazil","-23.20681","-45.91419","Casa Aconchegante c Lareira e Wi-Fi em Condomínio!","8","Entire home","5","https://www.airbnb.com/rooms/51743717"
