"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Marquette, Michigan, United States","46.496","-87.353","ADORABLE 3BR RANCH ACROSS FROM MARINA & SNOWTRAILS","6","Entire home","5","https://www.airbnb.com/rooms/27482896"
"Marquette, Michigan, United States","46.548","-87.398","Upfront House -Walking Distance to everything!","8","Entire home","5","https://www.airbnb.com/rooms/9478803"
"Marquette, Michigan, United States","46.4802","-87.31219","Lions Leap","4","Entire guest suite","5","https://www.airbnb.com/rooms/31232917"
"Negaunee, Michigan, United States","46.50963","-87.61252","Teal Lake Escape","4","Entire home","5","https://www.airbnb.com/rooms/36316043"
"Marquette, Michigan, United States","46.55366","-87.38605","Cozy Corna","5","Entire home","5","https://www.airbnb.com/rooms/31591388"
"Marquette, Michigan, United States","46.54634","-87.39273","4 bedroom, whole house close to everything!","8","Entire home","5","https://www.airbnb.com/rooms/28536727"
"Deerton , Mi, United States","46.455","-87.043","Whitefish Lodge on the Laughing Whitefish River","16","Entire home","5","https://www.airbnb.com/rooms/41997731"
"Marquette, Michigan, United States","46.4908","-87.19297","Just a hop, skip and a jump from Lake Superior","4","Entire guesthouse","5","https://www.airbnb.com/rooms/11390853"
"Onota Township, Michigan, United States","46.49087","-87.07524","Home between Marquette/Munising next to ATV trail","13","Entire home","5","https://www.airbnb.com/rooms/42023851"
"Marquette, Michigan, United States","46.55004","-87.3946","Entire Home-clean convenient location in Marquette","7","Entire home","5","https://www.airbnb.com/rooms/49853339"
"Marquette, Michigan, United States","46.49439","-87.12105","Cozy Camp Loon Lake Superior.","6","Entire cottage","4.5","https://www.airbnb.com/rooms/6075274"
"Marquette, Michigan, United States","46.545","-87.406","Morgan Street Homestead, Marquette, Free WiFi & AC","6","Entire rental unit","5","https://www.airbnb.com/rooms/4454505"
"Marquette, Michigan, United States","46.59677","-87.44133","Random Point Apartment","5","Entire rental unit","5","https://www.airbnb.com/rooms/17844257"
"Negaunee, Michigan, United States","46.55219","-87.52605","Fall Colors! Kayaks, hot tub, wood stove, firepit!","6","Entire home","5","https://www.airbnb.com/rooms/8211304"
"Gwinn, Michigan, United States","46.25964","-87.37136","‘Tis the Season, the Cozy Lakefront Cedar Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/40347980"
"Negaunee, Michigan, United States","46.49862","-87.61241","Union Station Depot  over 100 year old Train Depot","10","Train","5","https://www.airbnb.com/rooms/47942006"
"Marquette, Michigan, United States","46.54866","-87.38504","Eastside Victorian","6","Entire home","5","https://www.airbnb.com/rooms/31526260"
"Skandia, Michigan, United States","46.33521","-87.33861","Lake cabin & amenities, pets welcome, near trails","15","Entire cabin","5","https://www.airbnb.com/rooms/53687709"
"Marquette, Michigan, United States","46.53647","-87.39822","Modern Southside 4 Bedroom 2.5 Bath Home","8","Entire home","5","https://www.airbnb.com/rooms/34309131"
"Marquette, Michigan, United States","46.49474","-87.4098","Cliffs Ridge–Marquette's Premier Vacation Rental","10","Entire home","4.5","https://www.airbnb.com/rooms/29273248"
"Marquette, Michigan, United States","46.54327","-87.40142","Large Comphy Home Sleeps 8 
Upper Peninsular Place","8","Entire home","5","https://www.airbnb.com/rooms/37251405"
"Marquette, Michigan, United States","46.54871","-87.41305","Mqt. Home on the Ridge-🍁Ready for Fall Color? 🍁","6","Entire home","5","https://www.airbnb.com/rooms/34862583"
"Marquette, Michigan, United States","46.56871","-87.40306","Bright & Private Home close to Downtown MQT/NMU","9","Entire home","5","https://www.airbnb.com/rooms/29436382"
"Marquette, Michigan, United States","46.55291","-87.39634","Walkable Marquette Town House","4","Entire home","5","https://www.airbnb.com/rooms/42154788"
"Marquette, Michigan, United States","46.54648","-87.38995","Newly remodeled 2-Bedroom Home","4","Entire home","5","https://www.airbnb.com/rooms/53399012"
"Marquette, Michigan, United States","46.55576","-87.40836","Kaye House","8","Entire home","5","https://www.airbnb.com/rooms/33943063"
"Marquette, Michigan, United States","46.542","-87.392","Historic Harbor Loft- Downtown MQT by the Ore Dock","9","Entire home","5","https://www.airbnb.com/rooms/42425260"
"Marquette, Michigan, United States","46.48247","-87.30717","Two master suites  minutes from downtown.","10","Entire home","5","https://www.airbnb.com/rooms/51600898"
"Marquette, Michigan, United States","46.54655","-87.41165","Lincoln Manor Victorian Home. 2 bedroom apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/43716064"
