"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wailuku, Hawaii, United States","20.79503","-156.50749","Luxury Oceanfront ★ Designer Condo ★ Huge Views","8","Entire condo","5","https://www.airbnb.com/rooms/36885369"
"鳴門市, 徳島県, Japan","34.17926","134.63056","Ocean front ＆ BBQ/2parking lot/15min  Otsuka Mus!!","8","Entire villa","5","https://www.airbnb.com/rooms/53817165"
"Monticchiello, Toscana, Italy","43.06716","11.72595","Villa in UNESCO heritage, pool and Jacuzzi","6","Entire home","5","https://www.airbnb.com/rooms/11120891"
"Meaford, Ontario, Canada","44.56517","-80.51956","Georgian Bay Estate","8","Entire home","4.5","https://www.airbnb.com/rooms/50617097"
"Breckenridge, Colorado, United States","39.46937","-106.01479","Emmett's Overlook, with gorgeous views & hot tub!","10","Entire townhouse","5","https://www.airbnb.com/rooms/33466522"
"Bergharen, Gelderland, Netherlands","51.85446","5.67541","Voormalige korenmolen in het land van Maas en Waal","12","Windmill","5","https://www.airbnb.com/rooms/45823328"
"Venice, Veneto, Italy","45.42851","12.33153","Ca' Minore Secret Garden","6","Entire rental unit","5","https://www.airbnb.com/rooms/51055056"
"Soorts-Hossegor, Aquitaine, France","43.664","-1.44","Villa Goizeko Izarra - 4* Hossegor Plage centrale","12","Entire villa","5","https://www.airbnb.com/rooms/5989526"
"Homer, Alaska, United States","59.65737","-151.44383","ORCA BEACH HOUSE SPECTACULAR VIEWS, INCREDIBLE!","11","Entire home","5","https://www.airbnb.com/rooms/48095949"
"Cala Blanes, Illes Balears, Spain","39.99961","3.81141","Villa in Cala Blanes next to the beach","6","Entire villa","4.5","https://www.airbnb.com/rooms/37093091"
"Miramar Beach, Florida, United States","30.37293","-86.35538","Surfin Sea: Major Remodel in 2023! Gulf Front Home with Incredible Views! Pet Friendly! Private Pool, Gated Community, Carriage House and Game Room!","16","Entire home","5","https://www.airbnb.com/rooms/16214077"
"Newport, Rhode Island, United States","41.47342","-71.31566","At Home In Newport","5","Entire home","5","https://www.airbnb.com/rooms/20146408"
"San-Martino-di-Lota, Corse, France","42.71671","9.45633","Grande villa sur la mer, piscine, 12 couchages.","12","Entire villa",,"https://www.airbnb.com/rooms/52892304"
"Panicale, Umbria, Italy","43.01103","12.13537","CASA LORENZO ~ Stunning 16c farmhouse & large pool","12","Entire cottage",,"https://www.airbnb.com/rooms/16583659"
"Conwy, United Kingdom","53.28063","-3.83064","Naw Stryd y Capel","2","Entire home",,"https://www.airbnb.com/rooms/35593419"
"London, England, United Kingdom","51.50905","-0.12482","★ Covent Garden - Spacious Apartment ★","4","Entire rental unit",,"https://www.airbnb.com/rooms/16723264"
"Anaheim, California, United States","33.80586","-117.933","Magicway Villas + Tiki House* + Spa","10","Entire home","5","https://www.airbnb.com/rooms/51212285"
"'s-Hertogenbosch, NB, Netherlands","51.69028","5.30186","Mega Apartment | City Centre I Secure Parking","6","Entire rental unit","5","https://www.airbnb.com/rooms/40652125"
"Brooklyn, New York, United States","40.695","-73.966","Cozy 2BD/3 Bed and Outdoor Deck Brooklyn Apt","5","Entire rental unit","5","https://www.airbnb.com/rooms/30082832"
"Paris, Île-de-France, France","48.846","2.311","5C EIFFEL TOWER TERRACE 3 BEDROOMS","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/5681532"
"Acre, North District, Israel","32.94336","35.07705","וילאפ","8","Entire villa","5","https://www.airbnb.com/rooms/44630305"
"Brooklyn, New York, United States","40.70771","-73.95083","Artful 3-Bedroom Townhouse in Williamsburg","7","Entire place","5","https://www.airbnb.com/rooms/52852431"
"Whitstable, United Kingdom","51.36169","1.02396","Pebblesea","6","Entire home",,"https://www.airbnb.com/rooms/22542574"
"Whitby, United Kingdom","54.48885","-0.61208","4 Henrietta Street","5","Entire home","4.5","https://www.airbnb.com/rooms/21225664"
"Beaver Creek, Colorado, United States","39.60601","-106.51716","Your Home Away from Home in Beaver Creek!","6","Entire rental unit","5","https://www.airbnb.com/rooms/45091714"
"Gdynia, Pomorskie, Poland","54.507","18.537","Thruster - nowa jakość podróżowania /2 osoby/","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/46393259"
"Brooklyn, New York, United States","40.71618","-73.94071","2000sqf Modern Loft style Townhouse Williamsburg","8","Entire home","5","https://www.airbnb.com/rooms/25580113"
"Paris, Île-de-France, France","48.87961","2.34105","Rare Parisian town house w/ private sunny garden","6","Entire townhouse","5","https://www.airbnb.com/rooms/34364700"
"Denver, Colorado, United States","39.76742","-105.00676","Private LOHI Home, Large Backyard, Game room,Grill","10","Entire home","5","https://www.airbnb.com/rooms/52558612"
"Cape Town, Western Cape, South Africa","-34.10204","18.39142","6 bedroom Holiday Home, Chapmans Peak, Noordhoek","14","Entire home","5","https://www.airbnb.com/rooms/33059136"
