"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Marshall, North Carolina, United States","35.89269","-82.71482","Private Cabin in Southern Appalachian Mountains","4","Entire cabin","5","https://www.airbnb.com/rooms/43488019"
"Blowing Rock, North Carolina, United States","36.17101","-81.66125","Bear Pause, Cozy Cabin walkable to Appalachian Ski","9","Entire cabin","5","https://www.airbnb.com/rooms/45859668"
"Banner Elk, North Carolina, United States","36.1563","-81.78874","Appalachian Dream","12","Entire cabin","5","https://www.airbnb.com/rooms/9086057"
"Fleetwood, North Carolina, United States","36.27077","-81.46065","Appalachian Retreat - Fleetwood, NC","8","Entire home","5","https://www.airbnb.com/rooms/31640307"
"Banner Elk, North Carolina, United States","36.19038","-81.77302","Appalachian Satisfaction - private retreat with hot tub, fire pit, views","9","Entire cabin","5","https://www.airbnb.com/rooms/52321871"
"Lansing, North Carolina, United States","36.49924","-81.55084","Historic Appalachian Log Cabin on 22 Idyllic Acres","5","Entire cabin","5","https://www.airbnb.com/rooms/50749994"
"Brevard, North Carolina, United States","35.14551","-82.7693","Chestnut Haven of Appalachian Havens","6","Entire cabin","5","https://www.airbnb.com/rooms/23684250"
"Otto, North Carolina, United States","35.05178","-83.40235","Appalachian Container Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/18827045"
"Hot Springs, North Carolina, United States","35.88666","-82.83197","WATERSIDE - Walk to Town & Appalachian Trail!","14","Entire home","5","https://www.airbnb.com/rooms/25134677"
"Blowing Rock, North Carolina, United States","36.17145","-81.66542","Alpenglow - Appalachian Ski Mountain Cabin Rental","11","Entire home","5","https://www.airbnb.com/rooms/50001201"
