"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Blowing Rock, North Carolina, United States","36.18446","-81.6722","Bearadise City","9","Entire cabin","5","https://www.airbnb.com/rooms/42090173"
"Banner Elk, North Carolina, United States","36.16912","-81.7741","B Rock Ridge at Echota - townhome with private hot tub!","12","Entire townhouse","5","https://www.airbnb.com/rooms/40533247"
"Banner Elk, North Carolina, United States","36.1528","-81.78018","Mountain Top Paradise: Sauna/Hot Tub/Pool Table","11","Entire home","5","https://www.airbnb.com/rooms/35536714"
"Beech Mountain, North Carolina, United States","36.20061","-81.87544","Mountain Retreat Nestled in The Blue Ridge Mountains","11","Entire home","5","https://www.airbnb.com/rooms/52301129"
"Vilas, North Carolina, United States","36.18938","-81.74597","A River Runs Through It - Quaint cabin on Watauga River with Hot Tub.","6","Entire cabin","4.5","https://www.airbnb.com/rooms/28953554"
"Sugar Mountain, North Carolina, United States","36.12758","-81.84918","Dog-Friendly Oasis - Private Hot Tub, Game Room, AC, Pool Table, & Fireplace","9","Entire chalet","4","https://www.airbnb.com/rooms/53143433"
"Beech Mountain, North Carolina, United States","36.20159","-81.88633","Chalet-Style Retreat Overlooking the Mountains w/ Fireplace & Washer/Dryer","8","Entire townhouse","4","https://www.airbnb.com/rooms/53969223"
"Boone, North Carolina, United States","36.1982","-81.69468","Windswept Vistas -Pet Friendly, 5-min from ASU, Hot Tub, Views!","10","Entire cabin","5","https://www.airbnb.com/rooms/32338652"
"Vilas, North Carolina, United States","36.20743","-81.74196","Mountain Laurel Lodge - Log Cabin in Boone with Hot Tub, Great Views & Pool Tbl","10","Entire cabin","5","https://www.airbnb.com/rooms/28953568"
"Blowing Rock, North Carolina, United States","36.17179","-81.66815","Elegance atop Ski Mtn! 2 King Suites plus 2BRs, 3.5BAs, HUGE Views, Hot Tub, Pool Table, more!","10","Entire home","5","https://www.airbnb.com/rooms/52386975"
"Sugar Mountain, North Carolina, United States","36.13406","-81.87007","Holiday at Sugar! Home with a View/ 2 King Suites!","6","Entire condo","5","https://www.airbnb.com/rooms/44350747"
"Blowing Rock, North Carolina, United States","36.17554","-81.65711","5 min from BR parkway + Tweetsie RR w/ HOT TUB","8","Entire cabin","5","https://www.airbnb.com/rooms/27702793"
"Sugar Grove, North Carolina, United States","36.22739","-81.80929","Valle Meadows Retreat 4bd/3ba Fireplace, hot tub,  game tables, fire pit, fenced in pet-friendly yard","11","Entire home","4.5","https://www.airbnb.com/rooms/40753891"
"Seven Devils, North Carolina, United States","36.14823","-81.82394","Spacious Mtn Home, Views, Pool Table, Pet Friendly, Central Location Near Attractions, Steam Room, Near Ski Slopes","14","Entire home","4.5","https://www.airbnb.com/rooms/52112699"
"Seven Devils, North Carolina, United States","36.1271","-81.8451","4BR Villa Banner Elk on premiere Resort w/Amenties","12","Entire condo",,"https://www.airbnb.com/rooms/53459292"
"Banner Elk, North Carolina, United States","36.165","-81.873","Downtown Banner Elk Home with a Downtown View","7","Entire home","4.5","https://www.airbnb.com/rooms/30467389"
"Blowing Rock, North Carolina, United States","36.17349","-81.65588","5BR in Blowing Rock, Hot Tub, Theater, Pool Table! Near Tweetsie & App Ski Mtn!","12","Entire home","4.5","https://www.airbnb.com/rooms/50901713"
"Sugar Mountain, North Carolina, United States","36.13325","-81.8689","★Mountain Gem | 2BR Condo | Ski & Nature Lovers★","8","Entire condo",,"https://www.airbnb.com/rooms/47552075"
"Blowing Rock, North Carolina, United States","36.13765","-81.67084","Chetola Chestnut","6","Entire townhouse","5","https://www.airbnb.com/rooms/49390377"
"Blowing Rock, North Carolina, United States","36.13476","-81.67557","The Suddreth Cottage -Walk to Main Street Blowing Rock, Private Garden w/ Gazebo","7","Entire home","4.5","https://www.airbnb.com/rooms/29342589"
"Seven Devils, North Carolina, United States","36.14525","-81.83194","Unique Mountain Home, Views, 3 King Suites, Hot Tub, Ping Pong, Grill, Bunk Room, Pet Friendly","10","Entire home","4.5","https://www.airbnb.com/rooms/34504148"
"Blowing Rock, North Carolina, United States","36.13253","-81.71084","Celestial View - 3BR, 3BA - Pool Table - Mountain Views","8","Entire home","5","https://www.airbnb.com/rooms/29342624"
"Vilas, North Carolina, United States","36.20408","-81.73872","☆Luxury☆Cabin☆2 K/3 Q☆Firepit☆Fireplace☆Rustic☆","10","Entire cabin","5","https://www.airbnb.com/rooms/23204235"
"Vilas, North Carolina, United States","36.20502","-81.74128","Little Creek Lodge - Creek side Valle Crucis cabin with Hot Tub!","12","Entire cabin","5","https://www.airbnb.com/rooms/29342646"
"Blowing Rock, North Carolina, United States","36.12651","-81.67149","Sky Laurel Cottage - 3/2 home, 1mile Walk to Blowing Rock, pet friendly","8","Entire cabin","5","https://www.airbnb.com/rooms/48591736"
"Sugar Mountain, North Carolina, United States","36.13317","-81.87031","Fall splendor. Find it here at Sugar. 2BDR (6)","6","Entire condo","4.5","https://www.airbnb.com/rooms/44228182"
"Blowing Rock, North Carolina, United States","36.11649","-81.71962","Spacious 4BR, Mtn Views, Game Tables, WiFi, Fire Pit, King Suite, Near Skiing & Activities","14","Entire home","4.5","https://www.airbnb.com/rooms/49077260"
"Boone, North Carolina, United States","36.23647","-81.64972","Wildwind Sundream PingPong 5 min to ASU fire pit","12","Entire cabin","5","https://www.airbnb.com/rooms/50912640"
"Vilas, North Carolina, United States","36.32112","-81.86123","Private 5 Sleeping Areas Mountain Lodge, Views, Hot Tub, Fire Pit, Pool Table, Air Hockey","14","Entire home","5","https://www.airbnb.com/rooms/36309921"
