"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Somerset, Pennsylvania, United States","39.99733","-79.08084","The Penthouse on Edgewood Ave.","8","Entire guest suite","5","https://www.airbnb.com/rooms/48045083"
"Champion, Pennsylvania, United States","40.08431","-79.3697","Seven Springs Area Guest Suite","4","Entire guesthouse","5","https://www.airbnb.com/rooms/6077669"
"Stahlstown, Pennsylvania, United States","40.15839","-79.32403","28 Acres","4","Entire rental unit","5","https://www.airbnb.com/rooms/35531439"
"Jennerstown, Pennsylvania, United States","40.16236","-79.06305","Hideaway","2","Entire rental unit","5","https://www.airbnb.com/rooms/2435072"
"Rockwood, Pennsylvania, United States","39.9092","-79.15964","Jared's Room ~ The Gingerbread House","2","Private room in bed and breakfast","4.5","https://www.airbnb.com/rooms/19692348"
"Rockwood, Pennsylvania, United States","39.90893","-79.15906","Carson's Room ~ The Gingerbread House","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/19691432"
"Rockwood, Pennsylvania, United States","39.90918","-79.16048","Casey's Room ~ The Gingerbread House","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/19692577"
"Confluence, Pennsylvania, United States","39.901","-79.401","Mtn Getaway - Ohiopyle, Rafting, Fallingwater","6","Entire cabin","5","https://www.airbnb.com/rooms/14739659"
"Jennerstown, Pennsylvania, United States","40.16196","-79.06259","Daylily","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/2435272"
"Rockwood, Pennsylvania, United States","39.9093","-79.16047","Karlie’s room","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/51507164"
"Jennerstown, Pennsylvania, United States","40.16069","-79.06174","Harvest","2","Entire rental unit","5","https://www.airbnb.com/rooms/2435133"
"Jones Mills, Pennsylvania, United States","40.09532","-79.3532","Prestige House -your Mountain Home away from Home!","12","Entire home","4.5","https://www.airbnb.com/rooms/46919135"
