"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"South Williamsport, Pennsylvania, United States","41.22385","-77.00664","Large, Beautiful Mid Century Mod Mountain House!","8","Entire home","5","https://www.airbnb.com/rooms/51283977"
"Trout Run, Pennsylvania, United States","41.40155","-76.9586","Little League,  Heritage  farmstead","6","Farm stay",,"https://www.airbnb.com/rooms/2821327"
"Williamsport, Pennsylvania, United States","41.24179","-77.00424","308 - The Flood Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44627469"
"Williamsport, Pennsylvania, United States","41.2416","-77.02704","Nice Three Bedroom Home With Huge Back-Yard!!","6","Entire home","5","https://www.airbnb.com/rooms/43591792"
"Williamsport, Pennsylvania, United States","41.24166","-77.00499","309 - The Lumber Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44627896"
"Gaines, Pennsylvania, United States","41.74786","-77.5335","Suite 5 at Rough Cut Lodge
(downstairs unit)","4","Private room in guest suite",,"https://www.airbnb.com/rooms/50046909"
"Williamsport, Pennsylvania, United States","41.24311","-77.00311","204 - The Mail Room at City Hall Grand","2","Room in hotel","4.5","https://www.airbnb.com/rooms/44628662"
"Williamsport, Pennsylvania, United States","41.24329","-77.00466","303 - The Culver Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44630351"
"Williamsport, Pennsylvania, United States","41.24139","-77.00315","103 - The G.A.R. Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44630230"
"Gaines, Pennsylvania, United States","41.74859","-77.53495","Suite 1 at Rough Cut Lodge
(2nd floor unit)","5","Private room in guest suite",,"https://www.airbnb.com/rooms/50046901"
"Williamsport, Pennsylvania, United States","41.24371","-77.00352","310 - The Little League Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44625838"
"Gaines, Pennsylvania, United States","41.74929","-77.53347","Suite 4 at Rough Cut Lodge
(downstairs unit)","2","Private room in guest suite",,"https://www.airbnb.com/rooms/50046907"
"Williamsport, Pennsylvania, United States","41.2401","-77.02535","Newly Renovated Three Bedroom Home!","6","Entire home","5","https://www.airbnb.com/rooms/43467038"
"Gaines, Pennsylvania, United States","41.74994","-77.53503","Suite 6 at Rough Cut Lodge
(downstairs, Handicap Accessible Unit)","5","Private room in guest suite",,"https://www.airbnb.com/rooms/50046913"
"Mansfield, Pennsylvania, United States","41.82466","-77.02531","Endless Mountains Lodge~Angler's Cove Suite","2","Private room in nature lodge","5","https://www.airbnb.com/rooms/8203497"
"Gaines, Pennsylvania, United States","41.74981","-77.53481","Suite 3 at Rough Cut Lodge
(upstairs unit)","3","Private room in guest suite",,"https://www.airbnb.com/rooms/50046904"
"Williamsport, Pennsylvania, United States","41.24356","-77.00276","105 - The Engine Room at City Hall Grand","2","Room in hotel",,"https://www.airbnb.com/rooms/44630153"
