"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Duck Creek Village, Utah, United States","37.50228","-112.64765","Pet-Friendly Duck Creek Village Cabin w/ Fire Pit!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/48714030"
"Duck Creek Village, Utah, United States","37.499","-112.644","Strawberry Preserve","12","Entire cabin","4.5","https://www.airbnb.com/rooms/7872026"
"Brian Head, Utah, United States","37.71281","-112.85583","Adventurer’s Paradise: Suite Retreat","6","Private room in guest suite","5","https://www.airbnb.com/rooms/48464524"
"Cedar City, Utah, United States","37.67421","-113.06612","Private 900 sq ft Suite, Cedar City","5","Private room in bed and breakfast","4.5","https://www.airbnb.com/rooms/1654734"
"Cedar City, Utah, United States","37.68419","-113.07875","3 Stunning Units, Pool, Hot Tub, Pets Allowed!","12","Room in hotel",,"https://www.airbnb.com/rooms/47413648"
"Cedar City, Utah, United States","37.68281","-113.07594","Great Deal! 3 Stunning Units, Pool, Parking","12","Room in hotel",,"https://www.airbnb.com/rooms/48044288"
"Cedar City, Utah, United States","37.68251","-113.07688","3 Elegant Units!Onsite Pool, Parking, Pets Allowed","12","Room in hotel",,"https://www.airbnb.com/rooms/50178601"
"Cedar City, Utah, United States","37.67408","-113.07212","Nana's Cottage, charming, pet friendly home","6","Entire home","5","https://www.airbnb.com/rooms/36420118"
"Cedar City, Utah, United States","37.67232","-113.06625","B&B Hunter Room&Bath in Cedar City","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/1654474"
"Duck Creek Village, Utah, United States","37.53071","-112.65234","NEW! Scenic Duck Creek Escape: 30 Mi to Brian Head","4","Entire cabin","5","https://www.airbnb.com/rooms/44213235"
"Duck Creek Village, Utah, United States","37.51726","-112.65828","Cabin:  3 bedrooms & Bonus room  near Zion & Bryce","9","Entire cabin","5","https://www.airbnb.com/rooms/2554469"
"Duck Creek Village, Utah, United States","37.52384","-112.66596","Fabulous Find/Nestled in the Pines/Bryce/ZionGem.3","5","Entire condo","4.5","https://www.airbnb.com/rooms/19140433"
"Duck Creek Village, Utah, United States","37.5165","-112.6582","Sleeps 13 Make Memories Around the Fire Pit","13","Entire cabin","5","https://www.airbnb.com/rooms/20655015"
"Duck Creek Village, Utah, United States","37.52213","-112.6681","Fabulous Find/Nestled in the Pines/Bryce/ZionGem.1","5","Entire condo","4.5","https://www.airbnb.com/rooms/20539127"
"Duck Creek Village, Utah, United States","37.524","-112.663","Pioneer Lodge","8","Entire cabin","5","https://www.airbnb.com/rooms/49950316"
"Cedar City, Utah, United States","37.67451","-113.06171","Downtown Cedar City House < ½ Mile to SUU Campus!","10","Entire home","5","https://www.airbnb.com/rooms/42094499"
"Cedar City, Utah, United States","37.67643","-113.0581","Charming, Modern, Spacious/Walk to Quaint Eateries","8","Entire home","5","https://www.airbnb.com/rooms/16568900"
"Duck Creek Village, Utah, United States","37.51851","-112.66584","Perfect Getaway-Zion Bryce Duck Creek","7","Entire home","4.5","https://www.airbnb.com/rooms/17460116"
"Cedar City, Utah, United States","37.68231","-113.07873","Morningside Home Upstairs Apartment","5","Entire rental unit","5","https://www.airbnb.com/rooms/32042191"
"Duck Creek Village, Utah, United States","37.52396","-112.66624","Fabulous Find/Nestled in the Pines/Bryce/ZionGem.6","4","Entire condo","5","https://www.airbnb.com/rooms/42961124"
"Cedar City, Utah, United States","37.65619","-113.06704","Starry Night Retreat","4","Entire townhouse","4.5","https://www.airbnb.com/rooms/35486491"
"Cedar City, Utah, United States","37.73304","-113.0578","New! 3 bed, 2.5 bath, Self Check-in Town Home","8","Entire townhouse","5","https://www.airbnb.com/rooms/53187868"
"Duck Creek Village, Utah, United States","37.53211","-112.68245","Whispering Pines Getaway","6","Entire cabin","4.5","https://www.airbnb.com/rooms/43433600"
"Cedar City, Utah, United States","37.69827","-113.07065","Cedar Getaway | Hot Tub, Firepit, Pool/Ping-Pong!","7","Entire townhouse","5","https://www.airbnb.com/rooms/45674416"
"Duck Creek Village, Utah, United States","37.532","-112.67","The Pit Stop - Private cabin","10","Entire cabin","4.5","https://www.airbnb.com/rooms/12815912"
"Duck Creek Village, Utah, United States","37.51048","-112.65534","Mellow Meadows, Private Cabin in wooded setting, 3bdrm/2bath with fireplace and fire pit in Duck Creek Village","8","Entire cabin","4.5","https://www.airbnb.com/rooms/52335034"
"Duck Creek Village, Utah, United States","37.52984","-112.67974","Bright & Cozy Duck Creek Cabin By Top Attractions!","12","Entire cabin","5","https://www.airbnb.com/rooms/32914155"
"Duck Creek Village, Utah, United States","37.52321","-112.6696","Duck Creek Village - Rustic Elegance Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/16794536"
"Cedar City, Utah, United States","37.68207","-113.08002","Magical Place, Close to Downtown, Sleeps 5","5","Entire home","5","https://www.airbnb.com/rooms/48861906"
"Cedar City, Utah, United States","37.73265","-113.0589","Love 2 Adventure in the city of ""Wonder!""","6","Entire townhouse","5","https://www.airbnb.com/rooms/53346166"
"Cedar City, Utah, United States","37.67477","-113.05384","Black Sheep Inn-Rambouillet Newly Built","6","Entire rental unit","5","https://www.airbnb.com/rooms/50212949"
"Cedar City, Utah, United States","37.7147","-113.06816","Brian Head | Zions | 400+Wi-fi | W/D | 3 Kings","8","Entire rental unit","5","https://www.airbnb.com/rooms/53079870"
"Duck Creek Village, Utah, United States","37.517","-112.659","Casa Verde - A Cozy-Luxury Cabin Minutes Away From Bryce Canyon & Zion Nat'l Parks","8","Entire cabin","5","https://www.airbnb.com/rooms/50601532"
"Cedar City, Utah, United States","37.6773","-113.05347","Incredible Home and BEST location in Cedar City","6","Entire home","5","https://www.airbnb.com/rooms/42627981"
"Duck Creek Village, Utah, United States","37.53154","-112.66385","The Coziest Cabin | Duck Creeks Relaxation Retreat","6","Entire cabin","5","https://www.airbnb.com/rooms/54227111"
"Duck Creek Village, Utah, United States","37.5159","-112.66031","New! Charming 3bd/3ba Cabin <1mi to Duck Creek!","11","Entire cabin","5","https://www.airbnb.com/rooms/51493502"
"Cedar City, Utah, United States","37.6743","-113.05242","Black Sheep Inn-Hampshire Newly Built","6","Entire rental unit","5","https://www.airbnb.com/rooms/50212776"
"Cedar City, Utah, United States","37.7281","-113.08721","Triple B Retreat~visit Zion, Bryce, Brianhead.","8","Entire home","5","https://www.airbnb.com/rooms/29923750"
"Cedar City, Utah, United States","37.64762","-113.08232","Juniper Knoll Townhome","6","Entire townhouse","5","https://www.airbnb.com/rooms/44085106"
"Cedar City, Utah, United States","37.65879","-113.07554","THE COZY QUAIL: Adventure by Day, Cozy by Night","8","Entire townhouse","5","https://www.airbnb.com/rooms/50247705"
"Cedar City, Utah, United States","37.71669","-113.06905","☑Travel ☑ Work ☑ 3 King Beds ☑ 4 HDTV's","8","Entire rental unit","5","https://www.airbnb.com/rooms/52615379"
"Duck Creek Village, Utah, United States","37.53241","-112.67671","Rustic Duck Creek Village Cabin w/ Fire Pit!","8","Entire cabin","5","https://www.airbnb.com/rooms/48311519"
"Duck Creek Village, Utah, United States","37.53327","-112.66589","Cozy Cabin, 4 bdrm, all-year access","8","Entire cabin",,"https://www.airbnb.com/rooms/45333475"
"Cedar City, Utah, United States","37.73083","-113.05384","Adventure in the city of ""Wonder"" - Relax Here!","6","Entire townhouse","5","https://www.airbnb.com/rooms/51811573"
"Duck Creek Village, Utah, United States","37.532","-112.67","4 Bedroom Family Cabin-Close to Brian,Zion,&Bryce","12","Entire cabin","5","https://www.airbnb.com/rooms/43465396"
"Cedar City, Utah, United States","37.66332","-113.08409","The Bungalow","6","Entire home","5","https://www.airbnb.com/rooms/49932605"
"Duck Creek Village, Utah, United States","37.53544","-112.66183","Modern Cabin  - Sleeps 9","9","Entire cabin","5","https://www.airbnb.com/rooms/45179781"
"Brian Head, Utah, United States","37.69218","-112.84903","3 Bd 3 Bth Ski In/Out- Spacious & Modern Sleep 10","10","Entire condo","5","https://www.airbnb.com/rooms/30959434"
"Duck Creek Village, Utah, United States","37.52489","-112.66291","Village Vibes Cabin, Cozy and newly decorated cabin located by Duck Creek Village and close to Zion and Bryce National Parks","4","Entire home","4.5","https://www.airbnb.com/rooms/45620783"
"Cedar City, Utah, United States","37.66316","-113.06393","The Laughing Llama","6","Entire rental unit","5","https://www.airbnb.com/rooms/48168614"
"Duck Creek Village, Utah, United States","37.52744","-112.68087","Fireside Cottage, private cabin located in Duck Creek Village area close to National Parks","6","Entire cabin","4.5","https://www.airbnb.com/rooms/46797240"
