"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"McGaheysville, Virginia, United States","38.41975","-78.74222","Cozy Chalet! Nestled in the woods of Massnutten.","12","Entire chalet","5","https://www.airbnb.com/rooms/40761230"
"Massanutten, Virginia, United States","38.40529","-78.72814","Sam's Place: Brand-new custom home with game room!","8","Entire home","5","https://www.airbnb.com/rooms/53799515"
"McGaheysville, Virginia, United States","38.41308","-78.73034","Couples/Fam Chalet❤️2 king suites-WiFi-65”Smart TV","7","Entire chalet","5","https://www.airbnb.com/rooms/48496860"
"McGaheysville, Virginia, United States","38.40956","-78.72737","Fully stocked! Hot Tub! Child/dog welcome!","12","Entire home","5","https://www.airbnb.com/rooms/49931327"
"McGaheysville, Virginia, United States","38.40583","-78.74934","Massanutten Mountain Retreat","8","Entire home","5","https://www.airbnb.com/rooms/52579745"
"Massanutten, Virginia, United States","38.40363","-78.7273","Duke's Place: New Mountain Home with game room!","7","Entire home","5","https://www.airbnb.com/rooms/45829884"
"McGaheysville, Virginia, United States","38.41306","-78.72832","Cozy Cabin in Massanutten Resort","4","Entire home","5","https://www.airbnb.com/rooms/21629435"
"McGaheysville, Virginia, United States","38.42116","-78.74177","Luxury Family Apartment with Hot Tub, Massanutten","5","Entire rental unit","5","https://www.airbnb.com/rooms/43542843"
"McGaheysville, Virginia, United States","38.41648","-78.74321","Family-Friendly Massanutten Log Home w/ Views!","10","Entire home","5","https://www.airbnb.com/rooms/24376205"
"McGaheysville, Virginia, United States","38.4166","-78.74489","Spacious McGaheysville Family Retreat w/ Game Room","16","Entire home","5","https://www.airbnb.com/rooms/38096988"
"McGaheysville, Virginia, United States","38.40455","-78.72652","Mi Casa Su Casa in Massanutten","12","Entire home","5","https://www.airbnb.com/rooms/15603249"
"McGaheysville, Virginia, United States","38.40415","-78.72273","6 Bedroom Mass. Home close to Shenandoah Nat. Park","14","Entire home","5","https://www.airbnb.com/rooms/18546960"
