"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Berryville, Arkansas, United States","36.371","-93.557","River Pines Lodge, Quiet Location, King Bed, WIFI,","16","Entire home","5","https://www.airbnb.com/rooms/52567484"
"Gavião, Portugal","39.40513","-7.88883","Country House in Alentejo great for families","16","Entire villa","5","https://www.airbnb.com/rooms/10699665"
"New York, United States","40.71641","-73.99256","2000 sq ft Photographers loft","6","Entire condo","5","https://www.airbnb.com/rooms/3323189"
"Washington, District of Columbia, United States","38.88544","-77.0031","Historic Capitol Hill Row Home Premier Location!","6","Entire townhouse","5","https://www.airbnb.com/rooms/33721595"
"Aix-les-Bains, Auvergne-Rhône-Alpes, France","45.68267","5.91445","Mon calme  et détente","3","Entire condo","5","https://www.airbnb.com/rooms/24367341"
"Washington, District of Columbia, United States","38.888","-76.999","Stunning new 1BR in Capitol Hill","4","Entire rental unit","5","https://www.airbnb.com/rooms/11553508"
"Springfield, Ohio, United States","39.92343","-83.71967","Emma's Bed and Breakfast","14","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/20124428"
"brooklyn, New York, United States","40.68083","-73.97","Magnificent Brooklyn Townhome to Shelter in Place","10","Entire home","5","https://www.airbnb.com/rooms/31120563"
"Whitby, United Kingdom","54.48714","-0.61591","Midships Cottage","4","Entire home",,"https://www.airbnb.com/rooms/23268028"
"Talent, Oregon, United States","42.25444","-122.77423","BookStayHop - Paschal Winery Compound ~ Sleeps 10 ~ Hot Tubs","10","Entire home",,"https://www.airbnb.com/rooms/52645812"
"Porec, Croatia","45.22617","13.61007","Aida in poreč - istrien - aida in poreč - 1 appart","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/33416610"
"Corridonia, Marche, Italy","43.24827","13.49051","Villa Chibo","12","Entire home",,"https://www.airbnb.com/rooms/48222205"
"Kissimmee, Florida, United States","28.34098","-81.47313","Pool/Spa *GameRoom *Theater *Themed Rooms *Sleeps 25!*","16","Entire home","4.5","https://www.airbnb.com/rooms/30063617"
"New York, United States","40.734","-73.99609","Greenwich Village Perfection","4","Entire rental unit",,"https://www.airbnb.com/rooms/45630787"
"Pett, United Kingdom","50.89488","0.65644","Holly Cottage (PW7)","9","Entire home","5","https://www.airbnb.com/rooms/30918194"
"Clifton Beach, Queensland, Australia","-16.76422","145.67628","On The Beach at Clifton Beach","8","Entire home","5","https://www.airbnb.com/rooms/43884076"
"Mâcot-la-Plagne, Auvergne-Rhône-Alpes, France","45.52408","6.6746","Stunning Luxury Chalet 150m from the piste!","14","Entire chalet",,"https://www.airbnb.com/rooms/52273422"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"Blakeney, near Holt, England, United Kingdom","52.95429","1.01139","Greenrush Cottage (UK11523)","6","Entire home",,"https://www.airbnb.com/rooms/40937317"
"Riyadh, Riyadh Province, Saudi Arabia","24.74656","46.72625","مخيم منطقة العاذرية","16","Ranch",,"https://www.airbnb.com/rooms/53693168"
"Obertauern, Salzburg, Austria","47.24951","13.54015","Nice flat near to ski lifts","4","Entire rental unit",,"https://www.airbnb.com/rooms/717045820059346300"
"Montauroux, Provence-Alpes-Côte d'Azur, France","43.61534","6.78296","Spacious villa just a stroll away from Montauroux","8","Entire home","5","https://www.airbnb.com/rooms/47559929"
"Austin, Texas, United States","30.262","-97.732","★ Modern Farmhouse Rooftop Deck Downtown Views ★","11","Entire home","5","https://www.airbnb.com/rooms/34864514"
"Kingsland, Texas, United States","30.64061","-98.46193","Lazydays | 2-Unit Lake Estate | Private Dock, Lift, Boat Launch & Grillhouse","16","Entire home","4.5","https://www.airbnb.com/rooms/39184993"
"Lexington, Kentucky, United States","38.02577","-84.43221","Horse Capital Executive Home
Non-smoking property.","14","Entire home",,"https://www.airbnb.com/rooms/45266442"
"Soorts-Hossegor, Aquitaine Limousin Poitou-Charentes, France","43.669","-1.434","Near the Gravière beach, heated pool","10","Entire home","5","https://www.airbnb.com/rooms/13107848"
"Paris, France","48.868","2.288","Luxury+Service inclusive* Eiffel /Champs Elysees","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/1398589"
"San Francisco, California, United States","37.76107","-122.43955","Prime Central Flat with Wifi, Laundry, Parking","5","Entire rental unit","5","https://www.airbnb.com/rooms/23353721"
"Coronado, California, United States","32.68951","-117.18144","Family-Friendly Home Blocks from Beach and Shops","10","Entire home","5","https://www.airbnb.com/rooms/18179723"
"Paris, Île-de-France, France","48.86397","2.35243","Nouvel & Authentique 90m2, 4Ch - Clim - Le Marais","10","Entire rental unit","5","https://www.airbnb.com/rooms/43870763"
"Nottinghamshire, England, United Kingdom","53.22759","-0.68343","The Cherry Tree (UK35064)","10","Entire home","5","https://www.airbnb.com/rooms/51569182"
"Ashland, Oregon, United States","42.204","-122.71872","BookStayHop - Lori Lane House ~ 5 Blocks from Downtown Ashland~ Kitchen ~Main Floor Bedroom","10","Entire home","4.5","https://www.airbnb.com/rooms/41105199"
"Palma de Mallorca, Establiments, Balearic Islands, Spain","39.633","2.622","Wonderfull Villa in Majorca (Can Fabrilo)","10","Entire cottage","5","https://www.airbnb.com/rooms/702913"
"North Myrtle Beach, South Carolina, United States","33.79216","-78.73261","N.Myrtle Shorecrest 2BR Ocean Front View on Resort","6","Entire condo",,"https://www.airbnb.com/rooms/51463050"
"Tomahawk, Wisconsin, United States","45.53881","-89.7274","Casey’s Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/24919109"
"Rocky Point, Prince Edward Island, Canada","46.194","-63.17801","Coastal Golf Cottage with Beach Access, Sleeps 14","14","Entire cottage","5","https://www.airbnb.com/rooms/26322540"
"Nissaki, Greece","39.72797","19.91242","House on the Rocks: A unique and amazing villa","6","Entire villa","5","https://www.airbnb.com/rooms/46458122"
"Vincentia, New South Wales, Australia","-35.05207","150.67731","Beachfront House 4-5BR - By Worrowing Jervis Bay","13","Entire home","5","https://www.airbnb.com/rooms/15536150"
"دبي, United Arab Emirates","25.116","55.268","01SV1-Modern Deluxe Detached 3BR + Maid villa","7","Entire villa","3","https://www.airbnb.com/rooms/53776173"
"Zurich, Switzerland","47.375","8.543","3 room apartment in a historic town - S3","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/2920698"
"Fort Lauderdale, Florida, United States","26.108","-80.106","Absolutely the BEST...Location..Residence.. Beach","6","Entire rental unit","5","https://www.airbnb.com/rooms/16709549"
"Austin, Texas, United States","30.26","-97.736","Blocks to Convention Center and Rainey with Pool!","13","Entire home","5","https://www.airbnb.com/rooms/16236845"
