"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Chelan, Washington, United States","47.85537","-120.06008","Beautiful condo with shared pools, hot tub, and tennis courts - near lake","8","Entire condo",,"https://www.airbnb.com/rooms/43033804"
"Manson, Washington, United States","47.88085","-120.1566","Yacinde D3 Panoramic Waterfront and Mountain Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/49369482"
"Chelan, Washington, United States","47.83961","-120.02378","Grandview Lake View 523! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594228"
"Chelan, Washington, United States","47.83859","-120.02166","Grandview Lake View 204! Luxury 2 Bedroom Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594238"
"Chelan, Washington, United States","47.83739","-120.05311","Comfy Condo with Shared Pool and Hot Tub, Balcony, Free WiFi, and Fireplace","6","Entire condo","4.5","https://www.airbnb.com/rooms/16941044"
"Chelan, Washington, United States","47.84786","-120.02578","Cozy and Modern Condo with Shared Hot Tub & Swimming Pool","6","Entire condo","4.5","https://www.airbnb.com/rooms/16941140"
"Chelan, Washington, United States","47.83539","-120.05299","Mountain-view condo with indoor pool & hot tub, private balcony & grill","4","Entire condo","4.5","https://www.airbnb.com/rooms/32064294"
"Chelan, Washington, United States","47.83994","-120.02306","Grandview River View 643! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo","3.5","https://www.airbnb.com/rooms/31594445"
"Chelan, Washington, United States","47.856","-120.061","Lake Chelan Shores, WA, 1 Bedroom #1","4","Entire condo",,"https://www.airbnb.com/rooms/11125690"
"Manson, Washington, United States","47.88123","-120.15819","Yacinde G5 Poolside Condo with Loft, Sleeps 4","4","Entire condo","4","https://www.airbnb.com/rooms/49369514"
"Chelan, Washington, United States","47.83829","-120.02237","Grandview Lake View 525! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594356"
"Chelan, Washington, United States","47.843","-120.02271","Cozy and inviting condo with balcony & shared pool, right near town & lake!","2","Entire condo","3.5","https://www.airbnb.com/rooms/16941043"
"Manson, Washington, United States","47.88221","-120.15846","Yacinde C1 Wapato Point Beachfront with Panoramic Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/49369519"
"Manson, Washington, United States","47.88289","-120.15726","Yacinde D4 Waterfront Condo with Loft, Sleeps 6","6","Entire condo",,"https://www.airbnb.com/rooms/49369483"
"Manson, Washington, United States","47.88126","-120.15677","Yacinde E4 Poolside Condo with Loft, Sleeps 6","6","Entire condo",,"https://www.airbnb.com/rooms/49369481"
"Manson, Washington, United States","47.88154","-120.15707","Yacinde G8 Two Level Poolside Townhome with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369518"
"Manson, Washington, United States","47.88287","-120.15658","Yacinde G1 Wapato Point Poolside with Panoramic Views","6","Entire condo",,"https://www.airbnb.com/rooms/49369508"
"Manson, Washington, United States","47.88222","-120.15715","Yacinde C8 Yacinde Two Level Waterfront Townhome with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369535"
"Manson, Washington, United States","47.88265","-120.1569","Yacinde B1 Wapato Point Beachfront with Panoramic Views","6","Entire condo",,"https://www.airbnb.com/rooms/49369528"
"Manson, Washington, United States","47.88107","-120.1568","Yacinde F4 Poolside Condo with Loft, Sleeps 6","6","Entire condo",,"https://www.airbnb.com/rooms/49369503"
"Manson, Washington, United States","47.88246","-120.15797","Yacinde B3 Panoramic Waterfront and Mountain Views","6","Entire condo","5","https://www.airbnb.com/rooms/49369525"
"Manson, Washington, United States","47.88235","-120.15673","Yacinde F2 Ground Level Poolside with Two Patios","6","Entire condo",,"https://www.airbnb.com/rooms/49369500"
"Manson, Washington, United States","47.88152","-120.15881","Yacinde G2 Ground Level Poolside with Two Patios","6","Entire condo",,"https://www.airbnb.com/rooms/49369510"
"Chelan, Washington, United States","47.83582","-120.05249","Resort-style Comfort with Shared Indoor Pool and Hot Tub, WiFi, and Lake Views","6","Entire condo","4","https://www.airbnb.com/rooms/16941048"
"Manson, Washington, United States","47.88102","-120.1571","Yacinde E7 Wapato Point Townhome End-Unit with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369534"
"Manson, Washington, United States","47.88274","-120.15819","Yacinde G3 Panoramic Poolside and Mountain Views","6","Entire condo","4","https://www.airbnb.com/rooms/49369511"
"Manson, Washington, United States","47.88137","-120.15793","Yacinde F6 Poolside with Loft and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369504"
"Manson, Washington, United States","47.88109","-120.15814","Yacinde B2 Ground Level Waterfront with Two Patios","6","Entire condo",,"https://www.airbnb.com/rooms/49369477"
"Manson, Washington, United States","47.88086","-120.15735","Yacinde G7 Wapato Point Townhome End-Unit with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369517"
"Manson, Washington, United States","47.88245","-120.15853","Yacinde G4 Poolside Condo with Loft, Sleeps 6","6","Entire condo","5","https://www.airbnb.com/rooms/49369512"
"Manson, Washington, United States","47.88101","-120.15702","Yacinde C3 Panoramic Waterfront and Mountain Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/49369465"
"Manson, Washington, United States","47.88251","-120.15652","Yacinde F1 Wapato Point Poolside with Panoramic Views","6","Entire condo",,"https://www.airbnb.com/rooms/49369498"
"Manson, Washington, United States","47.88116","-120.15797","Yacinde C7 Wapato Point Townhome End-Unit with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369474"
"Manson, Washington, United States","47.88089","-120.15709","Yacinde B5 Waterfront Condo with Loft, Sleeps 4","4","Entire condo",,"https://www.airbnb.com/rooms/49369526"
"Manson, Washington, United States","47.88094","-120.15785","Yacinde D2 Ground Level Waterfront with Two Patios","6","Entire condo","5","https://www.airbnb.com/rooms/49369523"
"Chelan, Washington, United States","47.84461","-120.02248","Lovely Studio Steps From Lake Chelan w/Shared Pool, Free WiFi, Central AC, Patio","4","Entire rental unit","3.5","https://www.airbnb.com/rooms/51086467"
"Manson, Washington, United States","47.8821","-120.15819","Yacinde C5 Waterfront Condo with Loft, Sleeps 4","4","Entire condo",,"https://www.airbnb.com/rooms/49369467"
"Chelan, Washington, United States","47.83659","-120.05316","Lake Views, Shared Hot Tub and Pool - Walking Distance to Lake and Town","6","Entire condo","4.5","https://www.airbnb.com/rooms/16941055"
"Manson, Washington, United States","47.88226","-120.15808","Yacinde B8 Two Level Waterfront Townhome with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369463"
"Manson, Washington, United States","47.88078","-120.15802","Yacinde B7 Wapato Point Townhome End-Unit with Patio and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369532"
"Chelan, Washington, United States","47.83649","-120.05268","Luxurious Condo with Lake Views, Free WiFi, and Shared Pool and Hot Tub","6","Entire condo","4","https://www.airbnb.com/rooms/16941058"
"Manson, Washington, United States","47.88285","-120.15848","Yacinde B6 Beachfront and Pool with Loft and Balcony","4","Entire condo",,"https://www.airbnb.com/rooms/49369527"
"Manson, Washington, United States","47.88206","-120.15822","Yacinde E6 Poolside with Loft and Balcony","4","Entire condo","4.5","https://www.airbnb.com/rooms/49369493"
"Manson, Washington, United States","47.88713","-120.16416","Penthouse-Stunning Views-Pool, Hot Tub","10","Entire condo","5","https://www.airbnb.com/rooms/1056918"
"Manson, Washington, United States","47.88206","-120.1586","Yacinde D5 Waterfront Condo with Loft, Sleeps 4","4","Entire condo","4.5","https://www.airbnb.com/rooms/49369484"
"Chelan, Washington, United States","47.83567","-120.05371","Lake-view condo with indoor pool/hot tub & 2 secured parking spots","6","Entire condo","4.5","https://www.airbnb.com/rooms/16096589"
"Chelan, Washington, United States","47.83672","-120.05404","Quiet Condo with Private Balcony, Free WiFi, and Shared Hot Tub and Pool Access","6","Entire condo","4","https://www.airbnb.com/rooms/16941046"
"Orondo, Washington, United States","47.76294","-120.16674","Dog-friendly home w/ scenic views, pool, tennis, boat launch, & game room","8","Entire home","4","https://www.airbnb.com/rooms/22693850"
"Manson, Washington, United States","47.88231","-120.15693","Yacinde E2 Ground Level Poolside with Two Patios","6","Entire condo",,"https://www.airbnb.com/rooms/49369490"
"Manson, Washington, United States","47.88726","-120.16245","Stunning Poolside Condo- Just Steps to Wineries, L","10","Entire condo","5","https://www.airbnb.com/rooms/20278756"
"Chelan, Washington, United States","47.8383","-120.02383","Grandview River View 621! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo","5","https://www.airbnb.com/rooms/31594209"
"Chelan, Washington, United States","47.83729","-120.05391","Luxury mountain-view condo with fireplace, balcony, indoor pool & hot tub","5","Entire condo","4","https://www.airbnb.com/rooms/43011207"
"Manson, Washington, United States","47.88218","-120.15727","Yacinde F3 Panoramic Poolside and Mountain Views","6","Entire home","4.5","https://www.airbnb.com/rooms/49369501"
"Manson, Washington, United States","47.88157","-120.1572","Yacinde D6 Beachfront and Pool with Loft and Balcony","4","Entire condo","4.5","https://www.airbnb.com/rooms/49369485"
"Manson, Washington, United States","47.88658","-120.16144","Stunning views, walk to wineries & downtown-pool &","10","Entire condo","5","https://www.airbnb.com/rooms/11284106"
"Chelan, Washington, United States","47.8402","-120.02366","Grandview Lake View 401! Luxury 2 Bedroom Waterfront condo, sleeps up to 6!","6","Entire condo","5","https://www.airbnb.com/rooms/31594293"
"Chelan, Washington, United States","47.83959","-120.02155","Grandview Lake View 102 Luxury 2 Bedroom Waterfront Condo, sleeps up to 6!","6","Entire condo","4.5","https://www.airbnb.com/rooms/31594269"
"Chelan, Washington, United States","47.83831","-120.02249","Grandview Lake VIew 306!Luxury Waterfront condo, sleeps up to 6!","6","Entire condo","4","https://www.airbnb.com/rooms/31594299"
"Chelan, Washington, United States","47.83938","-120.02349","Grandview River View 633! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo","5","https://www.airbnb.com/rooms/31594195"
"Chelan, Washington, United States","47.83994","-120.02372","Grandview Lake View 516! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594244"
"Chelan, Washington, United States","47.83832","-120.02233","Grandview Lake View 104! Luxury 2 Bedroom Waterfront Condo, sleeps up to 6!","6","Entire condo","4","https://www.airbnb.com/rooms/31594221"
"Chelan, Washington, United States","47.83882","-120.02301","Grandview River View 635! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594426"
"Chelan, Washington, United States","47.83837","-120.02223","Grandview River View 626! Luxury Waterfront condo, sleeps up to 6!","6","Entire condo",,"https://www.airbnb.com/rooms/31594251"
"Chelan, Washington, United States","47.856","-120.061","Deluxe Condo with WiFi, Lake Views, Shared Pool, & Nearby Beach","4","Entire condo","4.5","https://www.airbnb.com/rooms/21493782"
"Chelan, Washington, United States","47.83522","-120.05379","Luxury Suite w/Balcony, Mountain & Lake Views, Pool/Hot Tub, 2 Parking Spaces","6","Entire condo","4.5","https://www.airbnb.com/rooms/27290008"
"Chelan, Washington, United States","47.84318","-120.02233","Great Couples' Getaway with Shared Pool, Private Patio, Free WiFi, and Gas Grill","4","Entire condo","4","https://www.airbnb.com/rooms/16941041"
