"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eagle River, Wisconsin, United States","45.92037","-89.19826","Lovely, family-friendly home w/ a patio, balcony, forest views, & river access","8","Entire condo","3","https://www.airbnb.com/rooms/42939421"
"Eagle River, Wisconsin, United States","45.91298","-89.15741","KC's 23' Misty Harbor Pontoon","12","Private room in boat","5","https://www.airbnb.com/rooms/17192181"
"Phelps, Wisconsin, United States","46.036","-89.152","BEST AMENITIES INCLUDED! Cabin #12 | POV Resort","6","Entire cabin",,"https://www.airbnb.com/rooms/31668114"
"Eagle River, Wisconsin, United States","45.92296","-89.1965","Lake view room in historic resort w/ access to dock, tennis & beach - dogs OK!","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/39103838"
"Rhinelander, Wisconsin, United States","45.76968","-89.3124","Modern Cabin @ Lost Lake* Winter Snowmobile Trails","6","Entire cabin","5","https://www.airbnb.com/rooms/26129386"
"Phelps, Wisconsin, United States","46.036","-89.152","BEST AMENITIES INCL! Vintage Camper #2|POV Resort","4","Camper/RV","5","https://www.airbnb.com/rooms/31882917"
"Eagle River, Wisconsin, United States","45.91143","-89.15811","KC's 17.5' Alumacraft Fishing boat w/ 150 HP Merc","5","Private room in boat",,"https://www.airbnb.com/rooms/17280619"
"Saint Germain, Wisconsin, United States","45.90005","-89.48242","Homestead - Elbert's - Hiller Vacation Homes - Free WIFI","9","Entire cabin",,"https://www.airbnb.com/rooms/22768735"
"Saint Germain, United States","45.90501","-89.48243","Cottage #11 - Hillers Pine Haven","6","Entire cabin",,"https://www.airbnb.com/rooms/22768723"
"St.Germain, United States","45.9","-89.48308","Oak - Elbert's - Hiller Vacation Homes - Free WIFI","8","Entire cabin",,"https://www.airbnb.com/rooms/22768739"
"St.Germain, United States","45.89977","-89.48232","Ash - Elbert's Resort","8","Entire home",,"https://www.airbnb.com/rooms/22768746"
"St.Germain, United States","45.90526","-89.48199","Cottage #9 - Hiller's Pine Haven","6","Entire cabin",,"https://www.airbnb.com/rooms/22768721"
"Saint Germain, United States","45.906","-89.48041","Seven Pines","8","Entire cabin",,"https://www.airbnb.com/rooms/22768719"
"St.Germain, United States","45.90462","-89.48109","Cottage #2 - Hiller's Pine Haven","6","Entire cabin","4.5","https://www.airbnb.com/rooms/22768712"
"Saint Germain, Wisconsin, United States","45.90475","-89.48216","Cottage #4 - Hiller's Pine Haven","6","Entire cabin",,"https://www.airbnb.com/rooms/22768715"
"Saint Germain, United States","45.90476","-89.4821","Cottage  #10 - Hiller's Pine Haven","8","Entire cabin",,"https://www.airbnb.com/rooms/22768722"
"Land O' Lakes, Wisconsin, United States","46.11454","-89.28058","Deerwood Pine Bluff #3 - Duplex Style Cabin on Big Portage Lake","6","Entire home",,"https://www.airbnb.com/rooms/46525374"
"Saint Germain, Wisconsin, United States","45.94131","-89.49419","Deer Run Resort Big StGermain Sunsets Unit #7","8","Entire cabin","5","https://www.airbnb.com/rooms/46528273"
"Phelps, Wisconsin, United States","46.036","-89.152","BEST AMENITIES INCL! Vintage Camper #5|POV Resort","6","Camper/RV",,"https://www.airbnb.com/rooms/43710109"
"St.Germain, United States","45.90026","-89.48166","Maple - Elbert's - Hiller Vacation Homes - Free WIFI","6","Entire cabin",,"https://www.airbnb.com/rooms/22768738"
"Rhinelander, Wisconsin, United States","45.66191","-89.39158","Lakeside Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/41194610"
"Saint Germain, Wisconsin, United States","45.94263","-89.49591","Deer Run Resort - Big StGermain Sunsets Unit #3","6","Entire cabin","4","https://www.airbnb.com/rooms/46526836"
"Eagle River, Wisconsin, United States","45.90297","-89.18605","Indian Point Manor Cottage-HVH","6","Entire cottage",,"https://www.airbnb.com/rooms/53272038"
"Eagle River, Wisconsin, United States","45.9168","-89.17984","Cozy, lakefront cottage w/ a firepit, shared patio, gas grill, & free WiFi","7","Entire home","4.5","https://www.airbnb.com/rooms/46618187"
"Land O' Lakes, Wisconsin, United States","46.11499","-89.28098","Deerwood Pine Bluff #4 - Duplex Style Cabin on Big Portage Lake","7","Entire condo",,"https://www.airbnb.com/rooms/46525364"
"Phelps, Wisconsin, United States","46.036","-89.152","BEST AMENITIES INCL! Vintage Camper #3|POV Resort","6","Camper/RV","5","https://www.airbnb.com/rooms/33995398"
