"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Richland Center, Wisconsin, United States","43.34608","-90.38667","Pine Trails Escape","6","Entire home","5","https://www.airbnb.com/rooms/48228743"
"Richland Center, Wisconsin, United States","43.29429","-90.41822","Ewing's Southfork","6","Entire home","5","https://www.airbnb.com/rooms/39585513"
"Boscobel, Wisconsin, United States","43.05306","-90.68246","Homestead Country Ranch House","11","Farm stay","5","https://www.airbnb.com/rooms/20713183"
"Readstown, Wisconsin, United States","43.45444","-90.76674","Romantic Getaway in the Woods","4","Entire cabin","5","https://www.airbnb.com/rooms/43469442"
"Mineral Point, Wisconsin, United States","42.8623","-90.18836","2 Bedroom Camper @ the Campground of Your Choice!","6","Camper/RV",,"https://www.airbnb.com/rooms/50970121"
"Dubuque, Iowa, United States","42.61843","-90.70323","4-8 person tiny home along the Mississippi Unit 1","8","Tiny home","4.5","https://www.airbnb.com/rooms/50312177"
"Viroqua, Wisconsin, United States","43.55467","-90.88878","Dr. Gott's Guest Suite - Downtown Viroqua","7","Entire guest suite","5","https://www.airbnb.com/rooms/26982029"
"La Valle, Wisconsin, United States","43.58292","-90.12902","The Mill House B&B- Lavender Room, Private","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/34687877"
"Dubuque, Iowa, United States","42.61855","-90.70422","6 person tiny home along on the Mississippi unit2","6","Tiny home","5","https://www.airbnb.com/rooms/50312176"
"Viroqua, Wisconsin, United States","43.54844","-90.89641","Cozy, Spacious & Kid Friendly. Short Walk to Town","10","Entire home","5","https://www.airbnb.com/rooms/33417006"
"Readstown, Wisconsin, United States","43.44161","-90.76759","Leona's Cabin","4","Entire cabin","4.5","https://www.airbnb.com/rooms/50894101"
"Gratiot, Wisconsin, United States","42.58023","-90.02305","ROCK'S BED N BREAKFAST.","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/44492016"
"La Valle, Wisconsin, United States","43.58245","-90.12855","The Mill House B&B - Blush Room, Private","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/34687737"
"La Farge, Wisconsin, United States","43.57506","-90.64002","Wildthings Cottage","6","Entire home","5","https://www.airbnb.com/rooms/37875110"
"Shullsburg, Wisconsin, United States","42.57271","-90.23384","Lead Region Lodging Suite","4","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/22008425"
"Sherrill, Iowa, United States","42.64285","-90.90835","Ridge River View Acres  - The CozyCabin","2","Private room in tiny home","5","https://www.airbnb.com/rooms/38132128"
"Viroqua, Wisconsin, United States","43.55353","-90.88058","Beautiful Home in the Heart of the Driftless","12","Entire home","5","https://www.airbnb.com/rooms/48974012"
"Potosi, Wisconsin, United States","42.7044","-90.80669","Nature Lover's Retreat(No running water)","4","Tiny home","5","https://www.airbnb.com/rooms/49567871"
"Mineral Point, Wisconsin, United States","42.86202","-90.16922","Irish Green Bed and Breakfast","4","Private room in home","5","https://www.airbnb.com/rooms/19845381"
"Shullsburg, Wisconsin, United States","42.573","-90.233","A Hidden Gem in the Heart of Historic Shullsburg!","6","Entire rental unit","5","https://www.airbnb.com/rooms/19094131"
"Viroqua, Wisconsin, United States","43.55639","-90.88619","Charming and Historic Viroqua Craftsman Bungalow","3","Entire rental unit","5","https://www.airbnb.com/rooms/42687845"
"Reedsburg, Wisconsin, United States","43.51233","-89.95321","Cozy Farmhouse on 22 wooded acres (2 bedrooms)","6","Entire home","5","https://www.airbnb.com/rooms/3585023"
"Steuben, Wisconsin, United States","43.18239","-90.84792","Cabin on the edge of the Kickapoo River in Steuben","4","Entire cabin","5","https://www.airbnb.com/rooms/44179836"
"Reedsburg, Wisconsin, United States","43.54856","-90.01205","Prairie Smoke Guest House - Hay Creek Cabins","2","Farm stay","5","https://www.airbnb.com/rooms/23152235"
"La Farge, Wisconsin, United States","43.58275","-90.73284","Bar W Bunkhouse","10","Entire home","5","https://www.airbnb.com/rooms/25368912"
"Darlington, Wisconsin, United States","42.68072","-90.10803","Hamilton Goebel House","10","Entire home","5","https://www.airbnb.com/rooms/37207881"
"Viroqua, Wisconsin, United States","43.51598","-90.73512","Bishop Creek Cabin - Fly Fishing in Driftless Area","5","Entire cabin","5","https://www.airbnb.com/rooms/25320885"
