"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Defensola, Puglia, Italy, Italy","41.89818","16.15326","Bilocale con piscina, 350 metri dal mare di Vieste","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/14226203"
"Lahaina, Hawaii, United States","20.935","-156.689","CLASSIC HAWAIIAN COTTAGE","6","Entire cottage","5","https://www.airbnb.com/rooms/41959319"
"Beck Row, England, United Kingdom","52.36499","0.49388","Beck Cottage (UK33940)","6","Entire home","5","https://www.airbnb.com/rooms/50353807"
"Ivómezeje, Hargita, Romania","46.45216","25.44415","Fabulous Chalet in Transylvania (Hargita, Dracula)","16","Entire chalet","5","https://www.airbnb.com/rooms/6666737"
"Lahaina, Hawaii, United States","20.934","-156.686","KPL 8 Remodeled Ocean & Sunset View Close to Beach","6","Entire condo","5","https://www.airbnb.com/rooms/42880544"
"Anderson, South Carolina, United States","34.43768","-82.85006","Beautifully updated waterfront Lake Hartwell home","10","Entire home","5","https://www.airbnb.com/rooms/48646730"
"Vescovado, Toscana, Italy","43.17","11.392","VILLA ANGELINI 14+7, Emma Villas Exclusive","16","Entire villa",,"https://www.airbnb.com/rooms/30248926"
"Brooks Green, England, United Kingdom","51.01644","-0.39303","Well Cottage (UK31660)","5","Entire home","5","https://www.airbnb.com/rooms/45920544"
"Agios Dimitrios, Greece","35.33859","25.0752","Sea view ON BEACH apartment in Ammoudara Heraklion","5","Entire rental unit","5","https://www.airbnb.com/rooms/34840666"
"Sivati, Croatia","45.113","13.868","Amazing home in Sivati with 3 Bedrooms, WiFi and","8","Entire home",,"https://www.airbnb.com/rooms/36186186"
"Marathon, Florida, United States","24.73013","-81.04878","P59 - 113 W Bruce Ct","8","Entire home","5","https://www.airbnb.com/rooms/51045688"
"La Chapelle-du-Mont-du-Chat, Auvergne-Rhône-Alpes, France","45.70646","5.85257","LES TERRASSES DU LAC","10","Entire villa",,"https://www.airbnb.com/rooms/53509587"
"Florence, Toscana, Italy","43.76825","11.26135","La Dimora Nova Firenze","6","Entire rental unit","5","https://www.airbnb.com/rooms/28854339"
"Axminster, near Lyme Regis, United Kingdom","50.7632","-2.97583","Brimble Cottage (28407)","4","Entire home","5","https://www.airbnb.com/rooms/30208596"
"Saint-Victoret, Provence-Alpes-Côte d'Azur, France","43.41685","5.25514","Charmante chambre proche Marseille aéroport (MRS)","2","Private room in villa","5","https://www.airbnb.com/rooms/45007321"
"Duluth, Minnesota, United States","46.78382","-92.10916","Fabulous Duluth Home with views of Lake Superior","6","Entire home","5","https://www.airbnb.com/rooms/25114282"
"Jonestown, Texas, United States","30.45339","-97.95238","Lake Travis Luxury 5bd/3bath Cabin Hollows Resort","10","Entire cabin","5","https://www.airbnb.com/rooms/48849966"
"Kailua-Kona, Hawaii, United States","19.63768","-155.96834","My Kona Paradise","10","Entire home","5","https://www.airbnb.com/rooms/2721429"
"Yarmouth, Massachusetts, United States","41.66027","-70.21354","Kayaks provided, immaculate home on  Swan Pond","7","Entire home","5","https://www.airbnb.com/rooms/34768441"
"Limonta, Lombardia, Italy","45.96279","9.26647","Beach house near Bellagio","6","Entire villa","5","https://www.airbnb.com/rooms/18410844"
"Nissaki, Greece","39.72797","19.91242","House on the Rocks: A unique and amazing villa","6","Entire villa","5","https://www.airbnb.com/rooms/46458122"
"Tamaris, Casablanca-Settat, Morocco","33.52225","-7.8456","Magnifique villa avec piscine","8","Entire villa",,"https://www.airbnb.com/rooms/52130397"
"Maenan, near Llanrwst, United Kingdom","53.13841","-3.79252","Bryn Hyfryd (UK6554)","6","Entire home","5","https://www.airbnb.com/rooms/30912789"
"Cleator Moor, near Whitehaven, England, United Kingdom","54.52712","-3.53372","Ballinorig Lodge (UK12342)","4","Entire home","5","https://www.airbnb.com/rooms/41137154"
"Craster near Alnwick, United Kingdom","55.47323","-1.59345","Craster View (UK3005)","6","Entire home",,"https://www.airbnb.com/rooms/31514570"
"Amalfi, Campania, Italy","40.62436","14.57883","Villa Foglia Amalfi","15","Entire villa","5","https://www.airbnb.com/rooms/50714862"
