"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Loon Lake, Washington, United States","48.10255","-117.59187","Deer Lake ""A"" Frame in the Trees","4","Entire cabin",,"https://www.airbnb.com/rooms/13957824"
"Kettle Falls, Washington, United States","48.78496","-118.12701","Beautiful 4 bedroom home located on the river.","6","Entire home","5","https://www.airbnb.com/rooms/53100095"
"Chewelah, Washington, United States","48.32205","-117.72433","Farmhouse with Sweeping Views","4","Farm stay",,"https://www.airbnb.com/rooms/23421078"
"Evans, Washington, United States","48.70504","-118.01947","Lake Roosevelt Suites - The Eagles Nest","2","Private room in home","5","https://www.airbnb.com/rooms/13334793"
"Loon Lake, Washington, United States","48.05748","-117.63542","Loon Lake Guesthouse/Unit-Memories at Morgan Park","6","Entire guest suite","5","https://www.airbnb.com/rooms/23434343"
"Seven Bays, Washington, United States","47.84459","-118.34655","7 bays/Lake Rsvlt home-great views & beach access!","11","Entire home","5","https://www.airbnb.com/rooms/26806546"
"Loon Lake, Washington, United States","48.09959","-117.57002","Beachfront house & apartment on Deer Lake, WA","16","Entire home","5","https://www.airbnb.com/rooms/48403847"
"Seven Bays, Washington, United States","47.84548","-118.34619","★Lake Roosevelt: 10/10 View with Easy Beach Access","14","Entire cabin","5","https://www.airbnb.com/rooms/25808183"
"Chewelah, Washington, United States","48.276","-117.716","Eagles’ Rest VRBO of Chewelah","7","Entire home","5","https://www.airbnb.com/rooms/50542028"
"Nine Mile Falls, Washington, United States","47.89349","-117.66035","Lake Front condo on sunset bay","6","Entire condo","5","https://www.airbnb.com/rooms/44892463"
"Northport, Washington, United States","48.918","-117.797","Eagle's Nest Lodge","10","Entire cabin","5","https://www.airbnb.com/rooms/5594160"
"Loon Lake, Washington, United States","48.11941","-117.60232","Northwoods Beach Cottage @ Deer Lake - Open winter","4","Entire cottage","5","https://www.airbnb.com/rooms/50974566"
"Kettle Falls, Washington, United States","48.623","-118.124","Riverwood House - Riverwood House","8","Entire home","5","https://www.airbnb.com/rooms/19229459"
"Valley, Washington, United States","48.191","-117.786","3 Bed/3 Bath Vacation Home Steps from Waitts Lake","10","Entire vacation home",,"https://www.airbnb.com/rooms/2448318"
"Valley, Washington, United States","48.18403","-117.78022","Smith House on Waitts Lake","10","Entire home","5","https://www.airbnb.com/rooms/29543559"
"Colville, Washington, United States","48.61815","-117.53383","Lake Thomas Recreational Dream 3 bed 2 bath!","9","Entire cabin","5","https://www.airbnb.com/rooms/19102510"
"Colville, Washington, United States","48.89745","-117.77734","Carlson Canyon Ranch (All private rooms)","10","Private room in farm stay","5","https://www.airbnb.com/rooms/20571507"
"Loon Lake, Washington, United States","48.12194","-117.59585","Legacy House","8","Private room in home","5","https://www.airbnb.com/rooms/18625617"
"Northport, Washington, United States","48.91335","-117.80657","Black Bear Lodge","12","Entire home","5","https://www.airbnb.com/rooms/19104017"
"Loon Lake, Washington, United States","48.10341","-117.58655","Lakefront Cabin on Deer Lake","4","Entire cabin","4.5","https://www.airbnb.com/rooms/32821186"
"Nine Mile Falls, Washington, United States","47.87838","-117.66897","Updated Lakefront Home w/ Deck on Long Lake!","8","Entire home","5","https://www.airbnb.com/rooms/35612306"
"Chewelah, Washington, United States","48.314","-117.568","49 Degrees North Ski Chalet","6","Entire chalet","5","https://www.airbnb.com/rooms/24733853"
"Loon Lake, Washington, United States","48.10543","-117.57038","Deer Lake Getaway ""100 ft of beach front""","2","Entire cabin","5","https://www.airbnb.com/rooms/47936439"
"Nine Mile Falls, Washington, United States","47.85977","-117.66093","Lake Spokane Retreat House-Sleeps 18","8","Entire home","5","https://www.airbnb.com/rooms/13393756"
"Chewelah, Washington, United States","48.31429","-117.56555","Spacious Mountain Escape, 5 Bedrooms & Hot Tub","12","Entire cabin","5","https://www.airbnb.com/rooms/50103094"
"Deer Park, Washington, United States","47.93264","-117.68762","""The Mountain"" Lodge
 sleeps 29 to 30.","16","Entire villa","4.5","https://www.airbnb.com/rooms/47964877"
"Loon Lake, Washington, United States","48.05685","-117.62327","Spacious home on Loon Lake waterfront","8","Entire home","5","https://www.airbnb.com/rooms/25298108"
"Kettle Falls , Washington, United States","48.57304","-118.05351","Muncton Mountain Lodge","16","Entire home","5","https://www.airbnb.com/rooms/20425246"
"Nine Mile Falls, Washington, United States","47.87515","-117.66925","Scenic Lakefront Getaway * Entire Lower Suite","6","Entire guest suite","5","https://www.airbnb.com/rooms/44194581"
"Chewelah, Washington, United States","48.27574","-117.71213","Cool apartment in the heart of Downtown Chewelah!","4","Entire rental unit","5","https://www.airbnb.com/rooms/44415231"
"Colville, Washington, United States","48.5521","-117.89338","North Pine Cottage","5","Entire home","5","https://www.airbnb.com/rooms/47968761"
"Colville, Washington, United States","48.5468","-117.89948","Downtown Colville - friendly 1 bed cabin.","3","Entire home","5","https://www.airbnb.com/rooms/53326767"
"Colville, Washington, United States","48.533","-117.886","Cozy two bedroom suite with private deck","4","Entire guesthouse","5","https://www.airbnb.com/rooms/52658103"
"Colville, Washington, United States","48.54589","-117.89989","Downtown Colville - Spacious 2 bed house","4","Entire home","4.5","https://www.airbnb.com/rooms/54065010"
"Colville, Washington, United States","48.52138","-117.74376","Colonial Cabin Farm Guest Suite","5","Entire guest suite","5","https://www.airbnb.com/rooms/37976301"
"Chewelah, Washington, United States","48.31955","-117.75549","On the Fairway: Studio on the Chewelah Golf Course","2","Entire guest suite","5","https://www.airbnb.com/rooms/45080550"
"Chewelah, Washington, United States","48.2799","-117.72295","Mountain View Chalet Just Blocks From Chewelah.","4","Entire home","5","https://www.airbnb.com/rooms/49364109"
"Addy, Washington, United States","48.29521","-117.91526","Tamarack Lane Cabins ~ Bowe Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/26454855"
"Colville, Washington, United States","48.62226","-117.93099","Colville Creekside Loft","6","Entire guesthouse","5","https://www.airbnb.com/rooms/43547573"
"Valley, Washington, United States","48.1839","-117.78147","The Waterfront at Waitts Lake","6","Entire home","5","https://www.airbnb.com/rooms/47953001"
"Chewelah, Washington, United States","48.28505","-117.68968","2. Chewelah Getaway Apartment","5","Entire rental unit","5","https://www.airbnb.com/rooms/46221947"
"Chewelah, Washington, United States","48.30463","-117.71618","Cozy Nook Cottage Chewelah Tree House Experience","2","Treehouse","5","https://www.airbnb.com/rooms/54345355"
"Chewelah, Washington, United States","48.27381","-117.71304","Lovely 1-bedroom serviced apartment in Chewelah","2","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/51652549"
"Chewelah, Washington, United States","48.27562","-117.75709","Serene Country Home on Peaceful Pond & Valley View","5","Entire home","5","https://www.airbnb.com/rooms/38904976"
"Colville, Washington, United States","48.43938","-117.79749","Off-the-grid log home adventure!","2","Private room in cabin","5","https://www.airbnb.com/rooms/50545568"
"Addy, Washington, United States","48.29467","-117.91393","Tamarack Lane Cabins ~ Carpenter Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/26454621"
"Addy, Washington, United States","48.29657","-117.91499","Tamarack Lane Cabins ~ Alby Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/26451623"
"Chewelah, Washington, United States","48.2773","-117.72355","Cozy Cottage in the Heart of Chewelah","4","Entire home","5","https://www.airbnb.com/rooms/53757306"
"Valley, Washington, United States","48.20839","-117.79528","2 bdrms on 20 acres, 7 minutes from Waitts lake","6","Entire cabin","5","https://www.airbnb.com/rooms/53858118"
"Colville, Washington, United States","48.51947","-117.64704","The Little Pend Oreille Guesthouse","3","Entire guest suite","5","https://www.airbnb.com/rooms/44227538"
"Deer Park, Washington, United States","47.9287","-117.47939","The Suite at Evermore","2","Entire guesthouse","5","https://www.airbnb.com/rooms/38720444"
"Kettle Falls, Washington, United States","48.60128","-118.11488","New custom Airbnb with Lake Roosevelt view!","6","Entire bungalow","5","https://www.airbnb.com/rooms/43518318"
"Chewelah, Washington, United States","48.231","-117.752","Cozy Clifftop View for Relaxation & Adventure","4","Entire rental unit","5","https://www.airbnb.com/rooms/32191216"
"Chewelah, Washington, United States","48.28366","-117.69158","1. Enjoy the great outdoors! Apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/5220869"
