"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Hugo, Minnesota, United States","45.16451","-92.98291","Nice places","6","Private room in home","3.5","https://www.airbnb.com/rooms/46095171"
"White Bear Lake, Minnesota, United States","45.0997","-93.01836","Cabin on the Lake","6","Private room in cabin","5","https://www.airbnb.com/rooms/37314199"
"Stillwater, Minnesota, United States","45.03993","-92.80016","Artful & Inviting Historic Home, walk to Main St","6","Entire home","5","https://www.airbnb.com/rooms/15270276"
"Stillwater, Minnesota, United States","45.08462","-92.81003","Peaceful Wooded Getaway-COVID Vaccination REQUIRED","4","Entire guest suite","5","https://www.airbnb.com/rooms/22608697"
"Scandia, Minnesota, United States","45.24584","-92.76079","Summer Cottage on St Croix River","8","Entire cottage","5","https://www.airbnb.com/rooms/26654885"
"Lakeland, Minnesota, United States","44.91945","-92.77058","Rose Cottage By The River","6","Entire cottage","5","https://www.airbnb.com/rooms/46103412"
"Prescott, Wisconsin, United States","44.75","-92.804","Relaxing Riverside Retreat | Fire Pit | Fireplace","16","Entire cottage","5","https://www.airbnb.com/rooms/52475239"
"Denmark Twp, Minnesota, United States","44.86041","-92.80589","Entire private home on acreage next to Afton Alps","6","Entire home","5","https://www.airbnb.com/rooms/7920348"
"Stillwater, Minnesota, United States","45.05465","-92.80706","The Downtown","5","Entire rental unit","5","https://www.airbnb.com/rooms/21997725"
"Afton, Minnesota, United States","44.88066","-92.79743","Windhill Farm","5","Farm stay","5","https://www.airbnb.com/rooms/28242331"
"Hudson, Wisconsin, United States","45.03578","-92.75155","Family friendly, Peaceful retreat, 3acres","7","Entire home","5","https://www.airbnb.com/rooms/47274578"
"Stillwater, Minnesota, United States","45.05023","-92.83097","The Pine House: a cozy home for you & yours!","8","Entire home","5","https://www.airbnb.com/rooms/53701337"
"Hudson, Wisconsin, United States","45.05274","-92.78968","Beautiful Studio Apartment on St. Croix River","4","Entire guest suite","5","https://www.airbnb.com/rooms/51304583"
"Afton, Minnesota, United States","44.93581","-92.83571","Dome Sweet Dome","5","Entire home","5","https://www.airbnb.com/rooms/9916076"
"Stillwater, Minnesota, United States","45.0583","-92.89009","Cozy Retreat Close to Stillwater","8","Entire home","5","https://www.airbnb.com/rooms/11626750"
"White Bear Lake, Minnesota, United States","45.08462","-93.00929","The Restored WB Loft","8","Entire loft","5","https://www.airbnb.com/rooms/44102839"
"Saint Paul Park, Minnesota, United States","44.79971","-92.99682","GREY CLOUD HOUSE // WOODED AFRAME NEAR THE CITY","8","Entire cabin","5","https://www.airbnb.com/rooms/47729502"
"Stillwater, Minnesota, United States","45.05776","-92.80993","The Carriage House, Aurora Staples Inn","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/32744874"
"Stillwater, Minnesota, United States","45.05484","-92.80437","Modern Loft in Downtown Stillwater","4","Entire loft","5","https://www.airbnb.com/rooms/15841815"
"Saint Paul, Minnesota, United States","45.01269","-92.95068","4100 Square Foot Executive Home Sleeps 8","10","Entire home",,"https://www.airbnb.com/rooms/22865241"
"Stillwater, Minnesota, United States","45.05618","-92.80711","Excelsior Escape Upper Historic Flat Stillwater","4","Entire place","4.5","https://www.airbnb.com/rooms/43724847"
"Lakeland, Minnesota, United States","44.94442","-92.7645","St Croix Riverhouse","8","Entire home","5","https://www.airbnb.com/rooms/22531664"
"Hudson, Wisconsin, United States","44.97864","-92.74599","Gorgeously Remodeled Home Close to Downton Hudson","10","Entire home","5","https://www.airbnb.com/rooms/22550600"
"Forest Lake, Minnesota, United States","45.22004","-92.96224","Huge House/Yard -Redeemer Wedding Venue, Casino","11","Entire home","5","https://www.airbnb.com/rooms/17790109"
"Hudson, Wisconsin, United States","44.9806","-92.75364","Lovely Queen Anne in Historic Hudson","5","Entire home","5","https://www.airbnb.com/rooms/44428858"
