"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Belle Center, Ohio, United States","40.50155","-83.85185","Family Traditions Island Getaway at Indian Lake","12","Entire home","5","https://www.airbnb.com/rooms/13867292"
"New Bremen, Ohio, United States","40.44183","-84.3845","Owen’s Place","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/48845158"
"Lakeview, Ohio, United States","40.47464","-83.87536","Island Time on Indian Lake","6","Island","5","https://www.airbnb.com/rooms/2339700"
"Russells Point/Belle Center, Ohio, United States","40.507","-83.862","Heron Hideaway","6","Island","5","https://www.airbnb.com/rooms/34817113"
"Huntsville, Ohio, United States","40.49702","-83.87414","Indian Lake Cottage - Waters edge with sunset view","10","Entire cottage","5","https://www.airbnb.com/rooms/15491207"
"Huntsville, Ohio, United States","40.48495","-83.86466","Waterfront 5 Bedroom Lake house - Indian Lake","13","Entire home","5","https://www.airbnb.com/rooms/21663957"
"Huntsville, Ohio, United States","40.47486","-83.86443","Cottage on the water to swim, fish, kayak, relax!","5","Entire cottage","5","https://www.airbnb.com/rooms/35868898"
"Russells Point, Ohio, United States","40.46834","-83.87163","Peaceful Lakefront 3 bedroom home with boat slip","8","Entire home","5","https://www.airbnb.com/rooms/50795102"
"West Liberty, Ohio, United States","40.28091","-83.74767","The House at Honey Birch Farm","8","Entire home","5","https://www.airbnb.com/rooms/45829354"
"Russells Point, Ohio, United States","40.47654","-83.89717","Historic house at Indian Lake, Ohio","8","Entire home","5","https://www.airbnb.com/rooms/45799472"
"Russells Point, Ohio, United States","40.46991","-83.8705","Waterbury - Lake House Retreat","10","Entire guest suite","5","https://www.airbnb.com/rooms/46707620"
"Russells Point, Ohio, United States","40.47655","-83.89626","Cozy White Cottage Canal Indian Lake Private Dock","6","Entire cottage","5","https://www.airbnb.com/rooms/46104915"
"Huntsville, Ohio, United States","40.49066","-83.85987","Adorable WATERFRONT fish, kayak, swim, best views","7","Entire cottage","5","https://www.airbnb.com/rooms/43816609"
"Lakeview, Ohio, United States","40.51878","-83.87368","NEW Lakefront Home With Boathouse - Sleeps 16","16","Entire home","4.5","https://www.airbnb.com/rooms/51455176"
"Huntsville, Ohio, United States","40.49475","-83.87537","*LAKE FRONT* Cozy Cottage YEAR ROUND w/kayaks","6","Entire cottage","5","https://www.airbnb.com/rooms/37585211"
"Huntsville, Ohio, United States","40.49052","-83.85796","Perfect Lake get-a way.  Beautiful views!","8","Entire home","5","https://www.airbnb.com/rooms/51903242"
"Russells Point, Ohio, United States","40.479","-83.899","The Vintage Lake House w/ Private Dock","10","Entire cottage","5","https://www.airbnb.com/rooms/54181159"
"West Liberty, Ohio, United States","40.25377","-83.74829","Blackbird on the Mad River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/49195374"
"Bellefontaine, Ohio, United States","40.36115","-83.76238","The Loft Above - Luxury Downtown 2BR w/Parking + WiFi + Washer/Dryer!","4","Entire rental unit","5","https://www.airbnb.com/rooms/41273207"
"Huntsville, Ohio, United States","40.49787","-83.87603","Cozy Lake Front  Cabin","6","Entire cottage","5","https://www.airbnb.com/rooms/39872679"
"Belle Center, Ohio, United States","40.50546","-83.84543","Gorgeous lakefront property w amazing sunsets","10","Entire home","5","https://www.airbnb.com/rooms/32474616"
"Lakeview, Ohio, United States","40.493","-83.922","Tarhe Cottage at Indian Lake","16","Entire cottage","4.5","https://www.airbnb.com/rooms/26121724"
"Lakeview, Ohio, United States","40.492","-83.922","Blue Jacket Cabin at Indian Lake","16","Entire cabin","4.5","https://www.airbnb.com/rooms/26128711"
"Huntsville, Ohio, United States","40.5007","-83.8739","Amazing lakefront retreat for large gatherings!","16","Entire home",,"https://www.airbnb.com/rooms/653601922308472700"
"Lakeview, Ohio, United States","40.48283","-83.91543","NEW-The Aruba House at Indian Lake","15","Entire home","5","https://www.airbnb.com/rooms/50956412"
