"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eagles Mere, Pennsylvania, United States","41.40863","-76.57719","Lakeshore Cottage - A  in Eagles Mere","11","Entire rental unit",,"https://www.airbnb.com/rooms/42916588"
"Forksville, Pennsylvania, United States","41.56146","-76.61596","NEW! Spacious & Secluded Forksville Home: Fire Pit","13","Entire home","5","https://www.airbnb.com/rooms/53061075"
"Morris, Pennsylvania, United States","41.55431","-77.35342","Big Chief Cabin","10","Entire cabin","5","https://www.airbnb.com/rooms/36317230"
"New Columbia, Pennsylvania, United States","41.069","-76.876","Melodie Acres - Farmhouse in a Beautiful Setting","6","Farm stay","5","https://www.airbnb.com/rooms/52331201"
"Laporte, Pennsylvania, United States","41.42316","-76.48702","Lake House right on Lake Mokoma","5","Entire cottage","5","https://www.airbnb.com/rooms/16543899"
"Williamsport, Pennsylvania, United States","41.38702","-76.85118","'The Hemlock'","7","Entire cabin","5","https://www.airbnb.com/rooms/27661431"
"Williamsport, Pennsylvania, United States","41.24211","-77.00489","106 - The Mayor’s Suite at City Hall Grand","4","Room in hotel",,"https://www.airbnb.com/rooms/44628497"
"Williamsport, Pennsylvania, United States","41.3909","-76.80224","Awesome Classic Creek Waterfront Home!","10","Entire cabin","5","https://www.airbnb.com/rooms/10909781"
"Morris, Pennsylvania, United States","41.5549","-77.37911","Ranger Station","8","Entire home","4.5","https://www.airbnb.com/rooms/17942192"
"Cammal, Pennsylvania, United States","41.4165","-77.47705","Cozy Cabin in the heart of the Pine Creek Valley","8","Entire cabin","5","https://www.airbnb.com/rooms/50637546"
"Lock Haven, Pennsylvania, United States","41.14595","-77.35797","Windridge Manor - A Hidden Pearl ~15 min from I-80","4","Entire rental unit","5","https://www.airbnb.com/rooms/51668745"
"Muncy, Pennsylvania, United States","41.13362","-76.70468","Earthen Bungalow","6","Entire bungalow","5","https://www.airbnb.com/rooms/50331981"
"South Williamsport, Pennsylvania, United States","41.22385","-77.00664","Large, Beautiful Mid Century Mod Mountain House!","8","Entire home","5","https://www.airbnb.com/rooms/51283977"
"South Williamsport, Pennsylvania, United States","41.22351","-77.01444","City View - 180° amazing views of the River Valley","8","Entire home","5","https://www.airbnb.com/rooms/51400310"
"Eagles Mere, Pennsylvania, United States","41.40396","-76.58464","Mountain Modern - Unique and Hip Living Space","6","Entire place","5","https://www.airbnb.com/rooms/34254630"
"Waterville, Pennsylvania, United States","41.43748","-77.28494","English Center Cabin","12","Entire cabin","5","https://www.airbnb.com/rooms/42770008"
"Williamsport, Pennsylvania, United States","41.24234","-77.00356","104 - The American Red Cross Suite at City Hall Gr","4","Room in hotel","5","https://www.airbnb.com/rooms/44628072"
"Waterville, Pennsylvania, United States","41.30885","-77.37557","Pine Creek Waterfront Home - Stocked Trout Stream","8","Entire home","5","https://www.airbnb.com/rooms/20456517"
"Hillsgrove, Pennsylvania, United States","41.404","-76.74","The Vortex cabin -  Loyalsock creek, Sullivan Co.","10","Entire cabin","5","https://www.airbnb.com/rooms/27676182"
"Williamsport, Pennsylvania, United States","41.24326","-77.0046","202 - Fires & Fighters Suite at City Hall Grand","6","Room in hotel","5","https://www.airbnb.com/rooms/44628394"
"Waterville, Pennsylvania, United States","41.43529","-77.28108","English Center Manor","12","Entire home","4.5","https://www.airbnb.com/rooms/48359133"
"Morris, Pennsylvania, United States","41.5676","-77.33895","Canyon Creek Cottage","8","Entire cottage","5","https://www.airbnb.com/rooms/38545688"
"Cogan Station, Pennsylvania, United States","41.33282","-77.06146","Lou’s Place","5","Entire home","5","https://www.airbnb.com/rooms/50421548"
"Slate Run, Pennsylvania, United States","41.46238","-77.50566","""Pine Creek Waterfront Home""
""Yogisrest""","8","Entire home","5","https://www.airbnb.com/rooms/46641579"
"Williamsport, Pennsylvania, United States","41.35208","-76.91259","Creekside Manor-A Retreat on the Loyalsock Creek","12","Entire home","5","https://www.airbnb.com/rooms/20266610"
