"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Saginaw, Michigan, United States","43.44171","-83.98993","Cheerful 3-bedroom home with fireplace","8","Entire home",,"https://www.airbnb.com/rooms/53303263"
"Birch Run, Michigan, United States","43.29378","-83.73547","Perfect Country Getaway for Visiting Frankenmuth","6","Entire home","5","https://www.airbnb.com/rooms/53444625"
"Frankenmuth, Michigan, United States","43.33197","-83.74728","Private Bed & Breakfast with Personal Chef","6","Entire home","5","https://www.airbnb.com/rooms/50380032"
"Frankenmuth, Michigan, United States","43.328","-83.74","Award Winning! Downtown Chocolate Haus Apt/Balcony","6","Entire rental unit","5","https://www.airbnb.com/rooms/38458892"
"Frankenmuth, Michigan, United States","43.323","-83.741","Downtown Coffee House Apartment & Balcony","6","Entire rental unit","5","https://www.airbnb.com/rooms/44262135"
"Frankenmuth, Michigan, United States","43.32268","-83.74054","50's Vibe, Modern Conveniences, Downtown F'muth","11","Entire home","5","https://www.airbnb.com/rooms/22763267"
"Frankenmuth, Michigan, United States","43.33141","-83.74068","Downtown Frankenmuth Charmer","12","Entire home","5","https://www.airbnb.com/rooms/29992474"
"Frankenmuth, Michigan, United States","43.30574","-83.74063","Newly Remodeled 3 Bedroom Close to Down Town","8","Entire home","5","https://www.airbnb.com/rooms/54104143"
"Frankenmuth, Michigan, United States","43.33083","-83.73978","Downtown Frankenmuth Getaway","12","Entire home","5","https://www.airbnb.com/rooms/6310004"
"Frankenmuth, Michigan, United States","43.329","-83.739","Charming Downtown Apt. w/3+day discount.","5","Entire rental unit","5","https://www.airbnb.com/rooms/35000956"
"Clio, Michigan, United States","43.21712","-83.73667","5 acres of complete bliss! (Hot Tub, Pond, Trails)","7","Entire home","5","https://www.airbnb.com/rooms/45591851"
"Frankenmuth, Michigan, United States","43.33372","-83.71041","Stadt-Platz","12","Entire home","4.5","https://www.airbnb.com/rooms/52435639"
"Saginaw, Michigan, United States","43.43618","-83.99232","Cozy, Chic & Conveniently Located Gem! Entire Home","6","Entire home","5","https://www.airbnb.com/rooms/52032920"
"Chesaning, Michigan, United States","43.18367","-84.10978","RV RENTAL -  Vintage Look, Modern Amenities","4","Camper/RV",,"https://www.airbnb.com/rooms/682057389497145100"
"Saginaw, Michigan, United States","43.42469","-83.97385","Midwest comfort, large room in conv location","2","Private room in home",,"https://www.airbnb.com/rooms/35910599"
"Birch Run, Michigan, United States","43.29552","-83.73652","Perfect Country Location for Visiting Frankenmuth","6","Entire home","5","https://www.airbnb.com/rooms/45212865"
"Saginaw, Michigan, United States","43.43198","-83.93998","Adorable 1 bedroom-1 bathroom entire unit.","2","Entire rental unit",,"https://www.airbnb.com/rooms/54244562"
"Frankenmuth, Michigan, United States","43.33489","-83.74128","True Bed...and Breakfast! - made fresh by Grandma","8","Private room in home","5","https://www.airbnb.com/rooms/52234283"
"Frankenmuth, Michigan, United States","43.33564","-83.7428","Double Double in Bed & Breakfast - And a Hot Tub!","4","Private room in home","5","https://www.airbnb.com/rooms/53914593"
"Saginaw, Michigan, United States","43.42701","-84.02862","Students, medical professionals, private bath","2","Private room in home","5","https://www.airbnb.com/rooms/26845440"
"Chesaning, Michigan, United States","43.18539","-84.11757","Friendly Village Charm 31 miles from Frankenmuth","4","Entire rental unit","5","https://www.airbnb.com/rooms/47432080"
"Freeland, Michigan, United States","43.52163","-84.13856","2 bed / 1bath Cozy duplex with WiFi & home office!","2","Entire rental unit","5","https://www.airbnb.com/rooms/45822320"
"Birch Run, Michigan, United States","43.26328","-83.77521","Birch Run Home *MINS. from OUTLET & FRANKENMUTH*","4","Entire home","5","https://www.airbnb.com/rooms/53876209"
"Freeland, Michigan, United States","43.54479","-84.17082","3rm Lower Unit♥Spacious♥Centrally Located♥Country♥","6","Entire guest suite","5","https://www.airbnb.com/rooms/32294026"
"Saginaw, Michigan, United States","43.39908","-83.94242","Cozy Bungalow","4","Entire home","5","https://www.airbnb.com/rooms/32914619"
