"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Aspen, Colorado, United States","39.18972","-106.82568","St Moritz Lodge - 1 Bdrm Condo","2","Entire place","5","https://www.airbnb.com/rooms/14802751"
"Redstone Historic District, Colorado, United States","39.16691","-107.24755","BEST VIEW--Stunning Aspen-Area Home w/ Sauna","14","Entire home",,"https://www.airbnb.com/rooms/46292310"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3123 - Western contemporary, On","4","Entire condo",,"https://www.airbnb.com/rooms/34207451"
"Carbondale, Colorado, United States","39.31546","-107.20888","Two-level home on one acre w/ mountain views and deck on Crystal River","6","Entire home","4.5","https://www.airbnb.com/rooms/29926663"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3316 - Light and Bright One Bed","6","Entire condo",,"https://www.airbnb.com/rooms/34206924"
"Marble, Colorado, United States","39.07513","-107.22965","Unique Timber Frame mtn home in Marble, CO.","7","Entire home","5","https://www.airbnb.com/rooms/32870275"
"Snowmass Village, Colorado, United States","39.207","-106.954","Capitol Peak Lodge 3313 - Unique, open concept One","4","Entire condo",,"https://www.airbnb.com/rooms/34207044"
"Snowmass Village, Colorado, United States","39.20557","-106.95896","Ski-In/Out Snowmass Mountain ~ Top of the Village","5","Entire condo","5","https://www.airbnb.com/rooms/13860789"
"Meredith, Colorado, United States","39.34417","-106.67688","Hermitage Cabin At Beyul Retreat","5","Entire cabin",,"https://www.airbnb.com/rooms/46528694"
"Snowmass Village, Colorado, United States","39.20332","-106.95767","Ski-In/Out Snowmass Mountain ~ Top of the Village","5","Entire condo","5","https://www.airbnb.com/rooms/7006462"
"Snowmass Village, Colorado, United States","39.207","-106.952","Ski-In/Out Shadowbrook Condo. Pool/HT. Wood FP.","8","Entire condo",,"https://www.airbnb.com/rooms/43340811"
"Meredith, Colorado, United States","39.34394","-106.67515","Larkspur Cabin - Beyul Retreat","5","Entire cabin",,"https://www.airbnb.com/rooms/46528030"
"Basalt, Colorado, United States","39.3628","-107.02869","Your Mountain Getaway!","4","Entire condo","5","https://www.airbnb.com/rooms/45126734"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3323 - Comfortably located in S","4","Entire condo","4.5","https://www.airbnb.com/rooms/34207080"
"Snowmass Village, Colorado, United States","39.20861","-106.95336","Pool Open! Mountain Condo! ~ Tamarack","5","Entire condo","5","https://www.airbnb.com/rooms/35000744"
"Snowmass Village, Colorado, United States","39.208","-106.953","50 Yds To Snowmass Trails! Pool/HT. Walk To Shops","7","Entire condo","5","https://www.airbnb.com/rooms/43518145"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3401 - Top-Floor One Bedroom Re","4","Entire condo",,"https://www.airbnb.com/rooms/34207184"
"Snowmass Village, Colorado, United States","39.20381","-106.9585","Ski-In/Ski-Out! Top of the Village Leaf 403","7","Entire condo","5","https://www.airbnb.com/rooms/13877018"
"Redstone, Colorado, United States","39.231","-107.225","Riverside cabin with natural spring hot tubs - close to skiing & fishing","2","Entire home","4.5","https://www.airbnb.com/rooms/22576471"
"Meredith, Colorado, United States","39.34566","-106.67509","Pine Lodge at Beyul Retreat","5","Entire cabin","5","https://www.airbnb.com/rooms/46395455"
"Aspen, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3208 - Cheerful Two Bedroom","6","Entire condo",,"https://www.airbnb.com/rooms/51577414"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3417 - Comfortable One Bedroom","3","Entire condo","5","https://www.airbnb.com/rooms/34206746"
"Meredith, Colorado, United States","39.34406","-106.67646","Creekside Cabin at Dreamy Art & Nature Retreat","9","Entire cabin",,"https://www.airbnb.com/rooms/46395450"
"Snowmass Village, Colorado, United States","39.208","-106.95165","Slopeside Condo! Hot Tub Access! ~ Terracehouse","6","Entire condo","5","https://www.airbnb.com/rooms/16096274"
"Aspen, Colorado, United States","39.188","-106.824","Value in the Aspen Core! - Comfort and Convenience","6","Entire condo",,"https://www.airbnb.com/rooms/34790628"
