"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Shickshinny, Pennsylvania, United States","41.19773","-76.23909","Paper Mill Pines B&B","6","Room in bed and breakfast","5","https://www.airbnb.com/rooms/21459170"
"Blakeslee, Pennsylvania, United States","41.11232","-75.65918","Ski in Ski out Jack Frost Mountain 4 BR Snow Ridge","10","Entire chalet","4.5","https://www.airbnb.com/rooms/53416032"
"White Haven, Pennsylvania, United States","41.03872","-75.80947","Lake Front home in Poconos","13","Entire home",,"https://www.airbnb.com/rooms/9833678"
"Jim Thorpe, Pennsylvania, United States","40.96417","-75.64819","Stony Creek Chalet","12","Entire chalet",,"https://www.airbnb.com/rooms/27300054"
"White Haven, Pennsylvania, United States","41.03687","-75.81071","ONLY Lake Front home in development. Built by us.","13","Entire home",,"https://www.airbnb.com/rooms/31834954"
"Albrightsville, Pennsylvania, United States","40.99139","-75.60515","Mountain & Lake Chalet in Towamensing Trails","12","Entire home","4.5","https://www.airbnb.com/rooms/49435733"
"Lake Harmony, Pennsylvania, United States","41.05572","-75.60468","Lake Harmony Meadow View Greenacres Cottage (18)","10","Entire cottage","4.5","https://www.airbnb.com/rooms/51403631"
"Lake Harmony, Pennsylvania, United States","41.05606","-75.60385","Rustic 3 BR Lake Harmony House Rentals in Poconos","16","Entire cottage","4","https://www.airbnb.com/rooms/51458659"
"Lake Harmony, Pennsylvania, United States","41.053","-75.606","Lake Harmony Chalet","12","Entire chalet","5","https://www.airbnb.com/rooms/21172407"
"Lake Harmony, Pennsylvania, United States","41.05566","-75.60904","Hot*Tub+Games+Ski+Golf+Beach+Restaurants+A/C+Pets","10","Entire home","5","https://www.airbnb.com/rooms/44649321"
"Hazle Township, Pennsylvania, United States","40.9273","-76.09017","Family-Friendly and Cozy Lake Home","10","Entire cottage","4.5","https://www.airbnb.com/rooms/52173309"
"Lake Harmony, Pennsylvania, United States","41.06423","-75.61486","Rustic Charm in Lake Harmony, Pet Friendly, AC","10","Entire home","5","https://www.airbnb.com/rooms/48712436"
"Kidder Township, Pennsylvania, United States","41.11043","-75.65816","Lake Harmony Cabin 4BR, 3Bth Golf, Ski, Relax!","10","Entire home","5","https://www.airbnb.com/rooms/46972432"
"Jim Thorpe, Pennsylvania, United States","40.98124","-75.66995","Boarding Bear Chalet","8","Entire home","5","https://www.airbnb.com/rooms/17855939"
"Jim Thorpe, Pennsylvania, United States","40.925","-75.673","Renovated, Roomy home: Bear Creek Lakes Jim Thorpe","8","Entire home","5","https://www.airbnb.com/rooms/27017849"
"Lake Harmony, Pennsylvania, United States","41.0538","-75.60717","4 Season Getaway in Lake Harmony!","10","Entire chalet","4","https://www.airbnb.com/rooms/11111454"
"Jim Thorpe, Pennsylvania, United States","40.95126","-75.63892","Great Escape","10","Entire home","4.5","https://www.airbnb.com/rooms/19828377"
"Lake Harmony, Pennsylvania, United States","41.056","-75.601","Four Seasons Home Away, Hot Tub,Wifi,BBQ,Pingpong","15","Entire chalet","5","https://www.airbnb.com/rooms/20955189"
"Jim Thorpe, Pennsylvania, United States","40.96451","-75.64097","The WoodLands","8","Entire home","4.5","https://www.airbnb.com/rooms/33395802"
"Jim Thorpe, Pennsylvania, United States","40.92154","-75.67516","Pocono Cozy House at Bear Creek Lake","6","Entire home","5","https://www.airbnb.com/rooms/41498622"
"Lake Harmony, Pennsylvania, United States","41.05635","-75.60296","Black Bear Cozy Cabin, Lake View Dr. Dog friendly.","6","Entire home","5","https://www.airbnb.com/rooms/25544555"
"Lake Harmony, Pennsylvania, United States","41.05542","-75.60312","Luxury Pocono Home w/ Deck, Walk to Lake Harmony!","9","Entire home","4.5","https://www.airbnb.com/rooms/51361522"
"Lake Harmony , Pennsylvania, United States","41.06592","-75.61114","New! Updated 4bdrm w linens, scenic neighborhood!","8","Entire home","5","https://www.airbnb.com/rooms/23921152"
"Lake Harmony, Pennsylvania, United States","41.053","-75.60157","Lake Harmony House w/Deck & Big Boulder Views","10","Entire home","4.5","https://www.airbnb.com/rooms/26667496"
"Lake Harmony, Pennsylvania, United States","41.05886","-75.61562","FourPartHarmony: a short walk to Lake Harmony!","10","Entire home","5","https://www.airbnb.com/rooms/45025231"
