"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Vail, Colorado, United States","39.63974","-106.3519","Guesthaus Vail B&B Executive Suite","2","Private room in guest suite","5","https://www.airbnb.com/rooms/47004339"
"Carbondale, Colorado, United States","39.43108","-107.09209","Stone and log home between Aspen and Glenwood","8","Entire home","5","https://www.airbnb.com/rooms/1083590"
"Avon, Colorado, United States","39.641","-106.529","Spacious Condo, Excellent Home Office, Secure WiFi","7","Entire townhouse","4.5","https://www.airbnb.com/rooms/34657450"
"Avon, Colorado, United States","39.62423","-106.50426","Newly renovated 1 BR located between Vail & BC","4","Entire rental unit","5","https://www.airbnb.com/rooms/21005263"
"Avon, Colorado, United States","39.62787","-106.51776","Beaver Creek / Avon - 2 bedroom w/ 3 beds","6","Entire rental unit","5","https://www.airbnb.com/rooms/3720471"
"Avon, Colorado, United States","39.638","-106.526","Beaver Creek West Condo with Pool, Hot Tub, & Shuttle to Slopes","8","Entire condo","5","https://www.airbnb.com/rooms/16880613"
"Vail, Colorado, United States","39.63825","-106.29491","Modern Cabin in Vail located on Bighorn Creek","4","Entire cabin",,"https://www.airbnb.com/rooms/50102600"
"Vail, Colorado, United States","39.63352","-106.41726","Newly remodeled duplex residence, close to restaurants, stores and ski slopes!!  TYRUS","10","Entire home","5","https://www.airbnb.com/rooms/45403687"
"Avon, Colorado, United States","39.62881","-106.51498","Chic mountain view condo with luxury finishes & WiFi - near skiing, on bus route","4","Entire condo","5","https://www.airbnb.com/rooms/33940806"
"Edwards, Colorado, United States","39.64652","-106.60068","Mountain Retreat: adventure & rejuvenation await","12","Entire townhouse","5","https://www.airbnb.com/rooms/53571432"
"Avon, Colorado, United States","39.63004","-106.5229","Ski-In/Out Beaver Creek Townhome!","8","Entire home","5","https://www.airbnb.com/rooms/2141678"
"Vail, Colorado, United States","39.62942","-106.29098","Gorgeous 2 Bdroom-2 bathroom Platinum Grade Vail","6","Entire condo","5","https://www.airbnb.com/rooms/27237660"
"Vail, Colorado, United States","39.644","-106.388","Nov Special! 200 ft. to Gondola!  2bd/2ba parking!","4","Entire condo","5","https://www.airbnb.com/rooms/46267216"
"Vail, Colorado, United States","39.64543","-106.39252","New listing! Mountain condo w/free WiFi/shared pool & hot tub - near ski lifts!","2","Entire condo","4.5","https://www.airbnb.com/rooms/44322363"
"Avon, Colorado, United States","39.6362","-106.53529","Luxurious Condo w/ Heated Floors, Fireplace & Balcony - Close to Beaver Creek","6","Entire condo","4.5","https://www.airbnb.com/rooms/34602573"
"Beaver Creek, Colorado, United States","39.60718","-106.52037","Living Space with Access to Hot Tub, Pool, and Fitness Centre | Private Balcony!","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/24991869"
"Vail, Colorado, United States","39.637","-106.414","Vail Point #21 - your perfect getaway","6","Entire townhouse","5","https://www.airbnb.com/rooms/36637028"
"Vail, Colorado, United States","39.645","-106.393","Sunvail Condos 13E - Wonderful property, Unbeatabl","6","Entire condo","5","https://www.airbnb.com/rooms/39733817"
"Beaver Creek, Colorado, United States","39.60511","-106.51928","Beaver Creek Condo - Townsend 205","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/7619076"
"Avon, Colorado, United States","39.63699","-106.53614","Remodeled, Dog-friendly Mountain View Condo with Free WiFi - Central Location!","7","Entire condo","4","https://www.airbnb.com/rooms/53515613"
"Vail, Colorado, United States","39.62506","-106.27944","Heather of Vail Condo- A7, Vail, CO","6","Entire condo","4.5","https://www.airbnb.com/rooms/39342761"
"Vail, Colorado, United States","39.64129","-106.3671","Vail One Bedroom w/ Full Kitchen @ Golden Peak","4","Entire condo",,"https://www.airbnb.com/rooms/45504303"
"Avon, Colorado, United States","39.63157","-106.51757","Cozy mountain condo with shuttle to Beaver Creek","5","Entire condo","5","https://www.airbnb.com/rooms/37364229"
"Avon, Colorado, United States","39.63867","-106.53419","Lakeview Townhome with Mountain-View Balcony | Near Slopes & Lake","6","Entire townhouse","5","https://www.airbnb.com/rooms/46270473"
"Beaver Creek, Colorado, United States","39.60185","-106.51924","King Bed + Cozy Fireplace | Slopeside Access in Beaver Creek","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/24990786"
