"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Garden City, Utah, United States","41.96185","-111.40312","Bear Lake, UT Two bedroom","6","Entire condo",,"https://www.airbnb.com/rooms/44277530"
"Garden City, Utah, United States","41.96324","-111.4008","Sweet get away","8","Entire condo",,"https://www.airbnb.com/rooms/13283885"
"Garden City, Utah, United States","41.96131","-111.40306","2 Bdrm Majestic Bear Lake Resort","6","Entire townhouse",,"https://www.airbnb.com/rooms/11396313"
"Garden City, Utah, United States","41.96138","-111.40424","Bear Lake, UT One bedroom","4","Entire condo",,"https://www.airbnb.com/rooms/647257"
"Garden City, Utah, United States","41.962","-111.403","Bear Lake, UT, 3-Bedroom Penthouse #1","8","Entire condo",,"https://www.airbnb.com/rooms/14386121"
"Garden City, Utah, United States","41.962","-111.403","Bear Lake, Utah, 3 Bedroom #1","8","Entire condo",,"https://www.airbnb.com/rooms/11089262"
"Garden City, Utah, United States","41.936","-111.394","Admirals Oasis #34 - Legacy Beach Resort - Lake access!","12","Entire townhouse","5","https://www.airbnb.com/rooms/34090902"
"Garden City, Utah, United States","41.93722","-111.39503","Stay-n-Lake #25 - 4 Bedroom Townhome at the Private Legacy Beach Resort","12","Entire townhouse","5","https://www.airbnb.com/rooms/44701835"
"Garden City,, Utah, United States","41.93635","-111.39392","Lakeview Townhome #33 at Legacy Beach Resort - Lake access!","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/33522379"
"Garden City, Utah, United States","41.961","-111.40912","Cabin w/ Scenic Views, W/D, Central AC, WiFi, Deck, Ping-Pong, and Gas Grill!","16","Entire cabin","3.5","https://www.airbnb.com/rooms/32807461"
"Garden City, Utah, United States","41.944","-111.396","Townhome 12 at Waterdance - Sleeps 12, 3 Bed-4 Bath, rec center, 2 pools!","12","Entire townhouse",,"https://www.airbnb.com/rooms/52494295"
"Garden City, Utah, United States","41.93521","-111.39455","Bunker 31 - Swimming Pool, Hot Tub, Splash pad and Beach Access!","8","Entire townhouse",,"https://www.airbnb.com/rooms/44701391"
"Garden City, Utah, United States","41.96255","-111.40768","Tri-level condo w/ shared pool, hot tub, sports courts, & views of Bear Lake","8","Entire condo","4","https://www.airbnb.com/rooms/32807425"
"Garden City, Utah, United States","41.963","-111.403","Bear Lake 3 Bdrm Penthouse Condo Resort","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/6280899"
"Garden City, Utah, United States","41.962","-111.403","Bear Lake, UT, 3-Bedroom Penthouse Z #1","8","Entire condo",,"https://www.airbnb.com/rooms/30269595"
"Garden City, Utah, United States","41.944","-111.397","Townhome 9 at Waterdance - Sleeps 12, 3 Bed-4 Bath with indoor/outdoor pool","12","Entire townhouse","5","https://www.airbnb.com/rooms/50250027"
"Garden City, Utah, United States","41.93133","-111.40572","Mermaid Lakehouse at Bearlake ""sleeps up to 16""","16","Entire home","5","https://www.airbnb.com/rooms/43703266"
"Garden City, Utah, United States","41.95345","-111.39455","Hidden Sunrise","16","Entire cabin","5","https://www.airbnb.com/rooms/41873668"
"Garden City, Utah, United States","41.96051","-111.4034","Garden City, Utah 3 bedroom Luxury Resort - Max 8","8","Entire condo",,"https://www.airbnb.com/rooms/46804020"
"Garden City, Utah, United States","41.944","-111.397","Townhome 17 at Waterdance - Sleeps 16, 4 Bed-4.5 Bath with indoor/outdoor pool.","16","Entire townhouse",,"https://www.airbnb.com/rooms/53676493"
"Garden City, Utah, United States","41.96083","-111.40252","WORLDMARK BEAR LAKE, UTAH","4","Entire rental unit",,"https://www.airbnb.com/rooms/3798359"
"Garden City, Utah, United States","41.94877","-111.39173","Bear Lake Ranch with Bear Lake Access","16","Entire cabin","5","https://www.airbnb.com/rooms/20994542"
"Garden City, Utah, United States","41.95172","-111.39436","Updated Bear Lake cabin with game room & new swing set - walk to town","16","Entire cabin","4.5","https://www.airbnb.com/rooms/22750963"
"Garden City, Utah, United States","41.944","-111.397","Year-round indoor/outdoor pool-Townhome 10 at Waterdance - Sleeps 12, 3 B/4BA","12","Entire townhouse","5","https://www.airbnb.com/rooms/49450309"
"Garden City, Utah, United States","41.89962","-111.39263","New Listing! Golfers Getaway, Saunders Cabin (Sleeps 12)","12","Entire cabin","4.5","https://www.airbnb.com/rooms/44016482"
