"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Lubec, Maine, United States","44.86719","-67.01483","Remote Oceanfront Oasis w/ Panoramic Clifftop View","8","Entire home","5","https://www.airbnb.com/rooms/18153713"
"Steuben, Maine, United States","44.47512","-67.92565","Goods Point Haven","4","Entire home","4.5","https://www.airbnb.com/rooms/35999829"
"Eastport, Maine, United States","44.90171","-66.9877","Unit 1 . Downtown Eastport • 14 3rd st.","4","Entire home",,"https://www.airbnb.com/rooms/40563360"
"Eastport, Maine, United States","44.928","-67.035","Quoddy Cottage (Rossport) Sleeps 6","5","Entire cottage","4.5","https://www.airbnb.com/rooms/6304378"
"Winter Harbor, Maine, United States","44.39568","-68.07755","Schoodic House","6","Entire home","5","https://www.airbnb.com/rooms/53787833"
"Gouldsboro, Maine, United States","44.40961","-68.02576","Brookhouse by the Sea!","4","Entire cabin","5","https://www.airbnb.com/rooms/5928107"
"Winter Harbor, Maine, United States","44.39586","-68.07556","Anchor Down at Schoodic Point","6","Entire home","5","https://www.airbnb.com/rooms/30683509"
"Eastport, Maine, United States","44.91239","-66.98456","Cozy stay w. ocean views, walkability to downtown","4","Entire cottage","5","https://www.airbnb.com/rooms/51193748"
"Roque Bluffs, Maine, United States","44.63038","-67.44892","Private Coastal Maine Cottage, Close to Water","4","Entire cottage",,"https://www.airbnb.com/rooms/46376888"
"Eastport, Maine, United States","44.92702","-67.03475","Tide-Water Cottage & Loft -Rossport by the Sea","6","Entire home","5","https://www.airbnb.com/rooms/7936399"
"Eastport, Maine, United States","44.92636","-67.03186","Ebb-Tide Cottage Magical by Nature  / Rossport","4","Entire cottage","5","https://www.airbnb.com/rooms/19779189"
"Steuben, Maine, United States","44.43617","-67.93226","Salty Air Retreat","7","Entire home","5","https://www.airbnb.com/rooms/20363256"
"Gouldsboro, Maine, United States","44.401","-68.024","Lobster Cottage - Everyone's Favorite Coastal Geta","6","Entire home",,"https://www.airbnb.com/rooms/54366805"
"Milbridge, Maine, United States","44.49187","-67.85503","NEW! Oceanfront Milbridge Getaway w/ Deck & Views!","11","Entire home","4","https://www.airbnb.com/rooms/52772073"
"Lubec, Maine, United States","44.84879","-67.00278","NEW LISTING in Lubec","7","Entire home","5","https://www.airbnb.com/rooms/46112582"
"Gouldsboro, Maine, United States","44.447","-67.982","Acadia Private Beach Experience","6","Camper/RV","5","https://www.airbnb.com/rooms/46752430"
"Robbinston, Maine, United States","45.07126","-67.10251","Coastal Cottage, Downeast Maine.  May-Oct.","6","Entire home","5","https://www.airbnb.com/rooms/7840919"
"Lakeville, Maine, United States","45.30333","-68.06262","The Depot Lodging","12","Entire home","5","https://www.airbnb.com/rooms/27689495"
"Gouldsboro, Maine, United States","44.43718","-68.01755","Ocean view on West Bay in Gouldsboro","5","Entire home","4.5","https://www.airbnb.com/rooms/25949070"
"Gouldsboro, Maine, United States","44.39788","-67.96779","Captain Nehemiah House Corea Maine","10","Entire bungalow","5","https://www.airbnb.com/rooms/50622223"
"Princeton, Maine, United States","45.14852","-67.51097","The Hideaway on Pocomoonshine Lake (Lake Camp)","11","Entire cottage",,"https://www.airbnb.com/rooms/51125766"
"Grand Lake Stream, Maine, United States","45.18004","-67.77495","The Village House","5","Entire home","4.5","https://www.airbnb.com/rooms/18893329"
"Eastport, Maine, United States","44.9279","-67.03609","Seabreeze Cottage at Rossport","4","Entire home","5","https://www.airbnb.com/rooms/6304493"
"Gouldsboro, Maine, United States","44.40841","-68.0226","Watering Cove Cottage","4","Entire home","5","https://www.airbnb.com/rooms/49476546"
"Lubec, Maine, United States","44.85655","-67.06393","A deck with view that you will not want to leave","6","Entire cottage",,"https://www.airbnb.com/rooms/49098402"
