"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Becket, Massachusetts, United States","42.25413","-73.03188","Stunning Berkshires Cabin","8","Entire cabin",,"https://www.airbnb.com/rooms/53325411"
"Suffield, Connecticut, United States","42.01813","-72.64025","New England Peace","3","Entire home",,"https://www.airbnb.com/rooms/51565577"
"Northampton, Massachusetts, United States","42.3222","-72.63024","Downtown Northampton 2 Bedroom Newer Apartment","6","Entire rental unit","5","https://www.airbnb.com/rooms/20008784"
"Northampton, Massachusetts, United States","42.32255","-72.61507","The Farm","2","Camper/RV","5","https://www.airbnb.com/rooms/49385148"
"Chicopee, Massachusetts, United States","42.18294","-72.61356","Degaulle’s Palace","3","Entire rental unit",,"https://www.airbnb.com/rooms/41243006"
"Tolland, Massachusetts, United States","42.06346","-73.01015","Lakefront Cottage in Tolland, MA","5","Entire cottage","5","https://www.airbnb.com/rooms/14365900"
"Becket, Massachusetts, United States","42.3094","-73.04379","Charming Home Nestled in the Berkshires","6","Entire home","5","https://www.airbnb.com/rooms/18522706"
"South Hadley, Massachusetts, United States","42.25699","-72.56086","The South Hadley Suite","4","Entire guest suite","5","https://www.airbnb.com/rooms/29670610"
"Becket, Massachusetts, United States","42.25413","-73.02934","Elegant Holiday and Winter Retreat","6","Entire home",,"https://www.airbnb.com/rooms/51803870"
"Southwick, Massachusetts, United States","42.02983","-72.75513","ISLAND WATERFRONT WITH EXPANSIVE VIEWS AND DOCK","8","Entire home","4.5","https://www.airbnb.com/rooms/48521627"
"Holyoke, Massachusetts, United States","42.22375","-72.62593","Comfortable 3bdrm home with big backyard","6","Entire home","5","https://www.airbnb.com/rooms/18623424"
"Chicopee, Massachusetts, United States","42.1836","-72.61506","Degaulle’s Palace","6","Entire rental unit",,"https://www.airbnb.com/rooms/41839928"
"Northampton, Massachusetts, United States","42.32579","-72.62578","Large Northampton Apt near DTown, Colleges & Rt 91","9","Entire rental unit","5","https://www.airbnb.com/rooms/28561293"
"Southwick, Massachusetts, United States","42.0238","-72.76726","WATERFRONT LAKE home w/3 BEDROOMS/AC/Perfect spot","4","Entire cottage","5","https://www.airbnb.com/rooms/14214999"
"Springfield, Massachusetts, United States","42.1093","-72.5586","Cozy Get-Away in Springfield Massachusetts","6","Entire rental unit","4","https://www.airbnb.com/rooms/44492347"
"Northampton, Massachusetts, United States","42.32408","-72.64685","Spacious 1500 sqft apartment next to Smith College","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/34576765"
"Otis, Massachusetts, United States","42.17434","-73.06225","Berkshires hideaway! Hikes & serenity near lake","10","Entire home","5","https://www.airbnb.com/rooms/19677989"
"Northampton, Massachusetts, United States","42.33737","-72.66659","Renovated Farmhouse Northampton MA","4","Entire home","4.5","https://www.airbnb.com/rooms/3749676"
"Chester, Massachusetts, United States","42.282","-72.982","Haley House","8","Entire home","5","https://www.airbnb.com/rooms/20119200"
"Granby, Massachusetts, United States","42.25901","-72.51715","Historical Brick Parsonage (#2) QUEEN","2","Private room in home","5","https://www.airbnb.com/rooms/31466937"
"West Brookfield, Massachusetts, United States","42.27947","-72.1617","Sunnybrook House","10","Entire home","5","https://www.airbnb.com/rooms/48197100"
"Granby, Massachusetts, United States","42.26496","-72.49778","Historical Brick Parsonage (#1) TWIN","2","Private room in home","5","https://www.airbnb.com/rooms/34229756"
"Otis, Massachusetts, United States","42.18926","-73.04443","Big Pond Hideaway","6","Entire home","5","https://www.airbnb.com/rooms/41127882"
"Tolland, Massachusetts, United States","42.06616","-73.00031","Peaceful Lakefront Home in the Berkshire Woods","6","Entire home","5","https://www.airbnb.com/rooms/31362704"
"Granby, Massachusetts, United States","42.26489","-72.49579","Historical Brick Parsonage (#3) QUEEN","2","Private room in home","5","https://www.airbnb.com/rooms/34229399"
