"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Harbor Springs, Michigan, United States","45.47005","-84.9324","Boyne Highlands Inverness Standard","4","Private room in resort",,"https://www.airbnb.com/rooms/49749624"
"Petoskey, Michigan, United States","45.37016","-84.95491","Converted church in Downtown Petoskey","6","Entire home",,"https://www.airbnb.com/rooms/46125618"
"Brutus, Michigan, United States","45.47234","-84.74192","Crooked River A-Frame: Hot Tub & Riverfront!","8","Entire cabin","5","https://www.airbnb.com/rooms/52363992"
"Harbor Springs, Michigan, United States","45.40739","-84.90377","A close walk to the beach","4","Entire home","5","https://www.airbnb.com/rooms/44503729"
"Saint Ignace, Michigan, United States","45.87008","-84.79803","Authentic Log Cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/18288817"
"Harbor Springs, Michigan, United States","45.482","-84.91","Close to SKI RESORTS | 2 bed, 1 bath, sleeps 5+","5","Entire condo","5","https://www.airbnb.com/rooms/43747406"
"Saint Ignace, Michigan, United States","45.86932","-84.79798","Little Cabin in the Woods (Cabin 3)","6","Entire cabin","5","https://www.airbnb.com/rooms/19212106"
"Harbor Springs, Michigan, United States","45.43125","-84.98533","Harbor Springs Condo w/ Bay View - Walk to Beach!","4","Entire condo","5","https://www.airbnb.com/rooms/29708359"
"Petoskey, Michigan, United States","45.41257","-84.85604","Petoskey Waterfront Cottage w/ Deck + Grill!","9","Entire cottage","4.5","https://www.airbnb.com/rooms/37906946"
"Alanson, Michigan, United States","45.44282","-84.78179","Petoskey Area Cabin, Walk to Crooked River!","6","Entire cabin","5","https://www.airbnb.com/rooms/39632165"
"Petoskey, Michigan, United States","45.39203","-84.77943","Top Pick of Pickerel Lake","7","Entire cabin","5","https://www.airbnb.com/rooms/35931017"
"Petoskey, Michigan, United States","45.36636","-84.98593","Exceptional Sunsets Near Downtown Petoskey!","8","Entire home",,"https://www.airbnb.com/rooms/49627604"
"Petoskey, Michigan, United States","45.37515","-84.95222","Little Bay Retreat: 2 Bedroom Downtown Petoskey!","7","Entire home","4.5","https://www.airbnb.com/rooms/52638808"
"Harbor Springs, Michigan, United States","45.48285","-84.9123","Family Friendly w/POOL | 2 bed, 1 bath | Sleeps 6","6","Entire condo","4.5","https://www.airbnb.com/rooms/47499155"
"Charlevoix, Michigan, United States","45.33713","-85.24452","Come see the most beautiful area outside your door","4","Entire cottage","5","https://www.airbnb.com/rooms/15619174"
"Petoskey, Michigan, United States","45.36811","-84.96602","dog friendly in town quiet location","5","Entire cottage","4.5","https://www.airbnb.com/rooms/8821806"
"Alanson, Michigan, United States","45.42112","-84.826","Mid Century Cottage with Crooked Lake Views!","10","Entire home","4.5","https://www.airbnb.com/rooms/49897602"
"Petoskey, Michigan, United States","45.301","-84.966","Quaint waterfront cottages on Walloon Lake","8","Entire cottage",,"https://www.airbnb.com/rooms/49701679"
"Charlevoix, Michigan, United States","45.31525","-85.25831","Charlevoix Waterfront Right Downtown  - Waterview","4","Entire condo","4.5","https://www.airbnb.com/rooms/43647976"
"Harbor Springs, Michigan, United States","45.43539","-84.99523","Ann Street Cottage","6","Entire home","5","https://www.airbnb.com/rooms/50302394"
"Harbor Springs, Michigan, United States","45.45259","-84.91361","Happy Days and Nights - Petite Pearl","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/48607904"
"Harbor Springs, Michigan, United States","45.431","-84.99","6 Bells Harbor Springs","4","Entire rental unit","5","https://www.airbnb.com/rooms/26398355"
"Harbor Springs, Michigan, United States","45.42872","-84.98759","Upscale Flat w/ Private Ent on Main St.  2BD // 2BA + AC, Wifi, Rooftop Deck","4","Entire condo","5","https://www.airbnb.com/rooms/19047597"
"Petoskey, Michigan, United States","45.3723","-84.91309","Gabriel Farms (Petoskey) Farm House room #2","2","Private room in farm stay","5","https://www.airbnb.com/rooms/31834638"
"Saint Ignace, Michigan, United States","45.86858","-84.73134","Mackinac Crest","3","Entire rental unit","5","https://www.airbnb.com/rooms/20174311"
