"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Gorham, New Hampshire, United States","44.394","-71.191","Millstone Cottage- North Country/ WM (Gorham, NH)","8","Entire home","5","https://www.airbnb.com/rooms/51766077"
"Intervale, New Hampshire, United States","44.10133","-71.1429","East Branch Chalet(Cranmore, Attitash, Wildcat)","10","Entire home","5","https://www.airbnb.com/rooms/54146472"
"Bartlett, New Hampshire, United States","44.09652","-71.15227","Book holiday season in Mount Washington Valley!","10","Entire townhouse","5","https://www.airbnb.com/rooms/38924170"
"Intervale, New Hampshire, United States","44.09252","-71.1549","NEW! Cozy White Mtn Hideaway ~ 4 Mi to Hike & Ski!","4","Entire home","5","https://www.airbnb.com/rooms/49438520"
"Intervale, New Hampshire, United States","44.11494","-71.1443","""Eagle Lodge""/ Unit 2
Upper Level/ Pet Friendly","4","Entire guest suite","5","https://www.airbnb.com/rooms/46663458"
"Bethlehem, New Hampshire, United States","44.28101","-71.72466","Lakeside Pine 4. High-end cabin on the lake!","2","Entire cabin","4.5","https://www.airbnb.com/rooms/40595709"
"Jackson, New Hampshire, United States","44.14548","-71.16564","White Mountain Chalet Getaway in Jackson","8","Entire chalet","5","https://www.airbnb.com/rooms/34504819"
"Bretton Woods, New Hampshire, United States","44.259","-71.45213","FV50 Pet friendly single level home in Bretton Woods, walk to golf course and Mt Washington Hotel! 1 minute to skiing. EARN REWARD POINTS WITH YOUR BOOKING!","6","Entire home","5","https://www.airbnb.com/rooms/52207363"
"Intervale, New Hampshire, United States","44.12479","-71.18658","Great vacation destination,Storyland,Skiing,Hiking","9","Entire chalet","5","https://www.airbnb.com/rooms/22408141"
"Intervale, New Hampshire, United States","44.12677","-71.17386","Impeccable mountain top home, w/ stunning views, fireplace, WiFi, AC & laundry","8","Entire condo","4.5","https://www.airbnb.com/rooms/46731170"
"Bartlett, New Hampshire, United States","44.1266","-71.18443","Mountain View Linderhof Home","8","Entire chalet","5","https://www.airbnb.com/rooms/36031579"
"Intervale, New Hampshire, United States","44.09847","-71.15385","The Air is clean and the Outdoors is waiting !","10","Entire townhouse","5","https://www.airbnb.com/rooms/27777013"
"Bartlett, New Hampshire, United States","44.08648","-71.20364","Time to start planning winter getaways!","8","Entire condo","5","https://www.airbnb.com/rooms/27724396"
"Bartlett, New Hampshire, United States","44.1268","-71.18242","Updated Bartlett Home w/ Fire Pit by Storyland!","8","Entire home","4","https://www.airbnb.com/rooms/33392138"
"Intervale, New Hampshire, United States","44.09051","-71.15021","The Lodge at 241","8","Entire condo","5","https://www.airbnb.com/rooms/22615862"
"Intervale, New Hampshire, United States","44.08702","-71.12882","Large Eagle Ridge Townhouse w Game Room","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/45706657"
"Bartlett, New Hampshire, United States","44.09858","-71.15478","Beautiful, Multi-Level Family House Near Ski Resort w/Free WiFi & Washer/Dryer","10","Entire condo","5","https://www.airbnb.com/rooms/50639925"
"Bartlett, New Hampshire, United States","44.10182","-71.20588","Convenience in the White Mountains, near Storyland","10","Entire home","5","https://www.airbnb.com/rooms/14819978"
"Intervale, New Hampshire, United States","44.09872","-71.1563","White Mountain Escape at Birchlea","6","Entire townhouse","5","https://www.airbnb.com/rooms/27024856"
"Bartlett, New Hampshire, United States","44.08789","-71.20636","Seasons Penthouse Condo-Attitash, Indoor Pool!","8","Entire condo","4","https://www.airbnb.com/rooms/49770869"
"Bartlett, New Hampshire, United States","44.08654","-71.20446","Seasons at Attitash Condo w Loft","8","Entire condo","5","https://www.airbnb.com/rooms/42468550"
"North Conway, New Hampshire, United States","44.13273","-71.18029","2bdrm Storyland/Attitash/Mtn.views","6","Entire condo","5","https://www.airbnb.com/rooms/11631808"
"Intervale, New Hampshire, United States","44.08738","-71.1282","Single Level Condo - STUNNING View! Outdoor Pool!","6","Entire condo","4.5","https://www.airbnb.com/rooms/49769679"
"Bartlett, New Hampshire, United States","44.098","-71.188","Townhouse for 4 adults and 4 children","8","Entire townhouse","5","https://www.airbnb.com/rooms/13657804"
"Bartlett , New Hampshire, United States","44.08596","-71.2046","Cozy Condo in the White Mountains","6","Entire condo","5","https://www.airbnb.com/rooms/40988043"
