"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Londonderry, Vermont, United States","43.233","-72.844","Family-Friendly Wooded Retreat with Deck, Fireplace, and WiFi - Near Slopes","4","Entire home","5","https://www.airbnb.com/rooms/21034369"
"Wardsboro, Vermont, United States","43.04411","-72.83581","Sawmill Road - between Stratton and Mount Snow","10","Entire home","5","https://www.airbnb.com/rooms/16796562"
"Dover, Vermont, United States","42.97499","-72.88468","Mountain Therapy at Mount Snow- for all seasons","10","Entire condo","5","https://www.airbnb.com/rooms/23664795"
"Wilmington, Vermont, United States","42.89269","-72.90772","Rustic Modern Ski Home-Close to MtSnow w/Fireplace","8","Entire home","5","https://www.airbnb.com/rooms/52883899"
"Dover, Vermont, United States","42.95967","-72.82855","Cabin with a view, Mt. Snow","9","Entire cabin","5","https://www.airbnb.com/rooms/27723663"
"Peru, Vermont, United States","43.22743","-72.90105","Cozy Peru Home within walking distance to village","9","Entire home","5","https://www.airbnb.com/rooms/27435358"
"Wilmington, Vermont, United States","42.87035","-72.8661","The Tavern","14","Entire home","4.5","https://www.airbnb.com/rooms/16227631"
"Wilmington, Vermont, United States","42.88625","-72.889","Cozy, comfortable Vermont home near Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/36481466"
"Wilmington, Vermont, United States","42.91693","-72.87992","Main Lodge Suite 102","6","Private room in rental unit","5","https://www.airbnb.com/rooms/39481049"
"Dorset, Vermont, United States","43.23991","-73.00892","The Crossings","5","Entire rental unit","5","https://www.airbnb.com/rooms/22687152"
"Dover, Vermont, United States","42.97558","-72.89091","Old Fashion Vermont Ski Lodge","6","Entire cabin","5","https://www.airbnb.com/rooms/54029158"
"East Dorset, Vermont, United States","43.22227","-73.01305","Vermont Getaway! Great Spot For The Horse Show","7","Entire home","5","https://www.airbnb.com/rooms/3487527"
"Dover, Vermont, United States","42.95864","-72.88233","The Solar House","6","Entire chalet","5","https://www.airbnb.com/rooms/18304277"
"Peru, Vermont, United States","43.214","-72.942","Summer or Winter Slope side on Bromley Mountain!","4","Entire condo","5","https://www.airbnb.com/rooms/15204611"
"Londonderry, Vermont, United States","43.17332","-72.83362","Vermont Farmhouse","16","Entire home","5","https://www.airbnb.com/rooms/17904098"
"Wilmington, Vermont, United States","42.88034","-72.89877","Southern Vermont's Best Area","8","Entire cabin",,"https://www.airbnb.com/rooms/20826841"
"Jamaica, Vermont, United States","43.14437","-72.84354","Cozy Ski Home 7 minutes from Stratton Ski Resort","8","Entire home","5","https://www.airbnb.com/rooms/15434647"
"Winhall, Vermont, United States","43.19124","-72.95491","A Family Place","12","Entire home","5","https://www.airbnb.com/rooms/30340164"
"Sunderland, Vermont, United States","43.05751","-73.1345","Mount Pleasant: A Country Home in SW Vermont","6","Entire home","5","https://www.airbnb.com/rooms/5815532"
"Wilmington, Vermont, United States","42.87928","-72.89883","Quintessential VT 4 bedroom w Hot Tub near Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/1871071"
"Wilmington, Vermont, United States","42.91731","-72.83103","The Inn at Quail Run- Guest House Master Suite","7","Private room in guest suite","5","https://www.airbnb.com/rooms/22436580"
"Winhall, Vermont, United States","43.16187","-72.88864","5 Little Brook","6","Entire home","5","https://www.airbnb.com/rooms/17927024"
"Wilmington, Vermont, United States","42.89085","-72.90549","The Overlook House","8","Entire home","5","https://www.airbnb.com/rooms/38100758"
"Jamaica, Vermont, United States","43.15321","-72.83417","Beautiful Refurbished School House","8","Entire home","5","https://www.airbnb.com/rooms/17156369"
"Winhall, Vermont, United States","43.12141","-72.87739","1970's Classic Ski Chalet - Stratton Mountain","12","Entire chalet","5","https://www.airbnb.com/rooms/40232493"
