"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Blackduck, Minnesota, United States","47.53634","-94.48008","Westwood - a special lakeside cabin on Moose Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/23163054"
"Cass Lake, Minnesota, United States","47.49581","-94.52848","Secluded 3brm lakehome,40 acres,all the amenities","7","Entire home","5","https://www.airbnb.com/rooms/30213942"
"Cass Lake, Minnesota, United States","47.49506","-94.52845","Betw 2 shores, 2 docks, sand beach, 15acrs","6","Entire home","5","https://www.airbnb.com/rooms/29886182"
"Blackduck, Minnesota, United States","47.7458","-94.60411","Cabin 15 Lakefront Priv. Entr. Resort Amenities","8","Entire cabin","5","https://www.airbnb.com/rooms/17506944"
"Hines, Minnesota, United States","47.72316","-94.63775","Cheerful 4 bedroom cabin overlooking lake.","4","Entire cabin","4.5","https://www.airbnb.com/rooms/53832817"
"Hines, Minnesota, United States","47.746","-94.60706","Cabin 9 Lakefront 3 bdrm Family & Pet Friendly","8","Entire cabin","5","https://www.airbnb.com/rooms/17552452"
"Bemidji, Minnesota, United States","47.49441","-94.75556","Lakefront Cabin - private peninsula on Mississippi","4","Entire cabin","5","https://www.airbnb.com/rooms/52467944"
"Solway, Minnesota, United States","47.47048","-95.21563","Secluded forest lookout cabin, unique with a view.","6","Entire cabin","5","https://www.airbnb.com/rooms/24489288"
"Clearbrook, Minnesota, United States","47.63517","-95.38394","Secluded Getaway 1 Mile into the Woods","13","Entire cabin","5","https://www.airbnb.com/rooms/43410259"
"Bemidji, Minnesota, United States","47.44916","-94.88599","Roomy 3 bedroom cabin with fireplace on the river","8","Entire guest suite","5","https://www.airbnb.com/rooms/52242219"
"Bemidji, Minnesota, United States","47.57273","-94.73229","Family Memories +Pontoon -upgraded pontoon in 2022","8","Entire cabin","5","https://www.airbnb.com/rooms/39725239"
"Kelliher, Minnesota, United States","48.09381","-94.58835","Family cabin on Upper Red Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/54326304"
"Hines, Minnesota, United States","47.74607","-94.60495","Cabin 11 BIG Lakefront Screened Patio Pet Friendly","16","Entire cabin","4.5","https://www.airbnb.com/rooms/17551181"
"Kelliher, Minnesota, United States","48.05172","-94.70177","Dahlin Lodge - 3/4 of a mile from Upper Red lake!","8","Entire cabin","5","https://www.airbnb.com/rooms/47448029"
"Blackduck, Minnesota, United States","47.74508","-94.60365","Cabin 12 New Lakefront Cabin AMAZING VIEWS Beach","16","Entire condo","5","https://www.airbnb.com/rooms/24244772"
"Hines, Minnesota, United States","47.74312","-94.61011","New Lakefront - Pool, Beach, Pontoon Rental - FREE","15","Entire home",,"https://www.airbnb.com/rooms/48589482"
"Bemidji, Minnesota, United States","47.58599","-94.92087","Pet/child friendly studio; in/outdoor play areas","4","Entire home","5","https://www.airbnb.com/rooms/34284471"
"Hines, Minnesota, United States","47.74495","-94.60539","Cabin 7 Family & Pet friendly resort Fishing Beach","8","Entire cabin","5","https://www.airbnb.com/rooms/19673016"
"Bagley, Minnesota, United States","47.53614","-95.41135","The Farm By The Lake-Lakeview House","4","Entire home","4.5","https://www.airbnb.com/rooms/36147180"
"Pennington, Minnesota, United States","47.53991","-94.46324","Private, peaceful lakefront cabin near Bemidji.","7","Entire cabin","5","https://www.airbnb.com/rooms/26008215"
"Wilton , Minnesota, United States","47.492","-95","A Little Bit of Heaven - Exclusive Hot Tub!","2","Entire guest suite","5","https://www.airbnb.com/rooms/38982076"
"Bemidji, Minnesota, United States","47.43138","-94.66167","Rustic Northwoods Cabin on the Mississippi","6","Entire cabin","5","https://www.airbnb.com/rooms/35369545"
"Bemidji, Minnesota, United States","47.5092","-94.87468","Centrally located cheerful 2BR home with office","4","Entire home",,"https://www.airbnb.com/rooms/54319674"
"Bagley, Minnesota, United States","47.53478","-95.41181","The Farm By The Lake - The Log Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/15143640"
"Wilton, Minnesota, United States","47.492","-95","A Rustic Northwoods Haven - Outdoor Sauna!","2","Entire guesthouse","5","https://www.airbnb.com/rooms/49325537"
