"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Pembine, Wisconsin, United States","45.5668","-87.83817","Family Queen at Miscauno Island Resort","8","Private room in resort",,"https://www.airbnb.com/rooms/52023439"
"Niagara, Wisconsin, United States","45.713","-87.868","Northern Escape - Outdoor Enthusiasts' Paradise","10","Entire cabin","5","https://www.airbnb.com/rooms/40841328"
"Athelstane, Wisconsin, United States","45.43173","-88.34413","Wild Iris /  river cottage","6","Entire cabin","5","https://www.airbnb.com/rooms/4799656"
"Suring, Wisconsin, United States","45.02725","-88.22387","Year-Round Kelly Lake Fun at The Redwood Lodge!","8","Entire cottage","5","https://www.airbnb.com/rooms/47784510"
"Pembine, Wisconsin, United States","45.56628","-87.83846","Luxury King at Miscauno Island Resort","2","Private room in resort",,"https://www.airbnb.com/rooms/52023440"
"Oconto, Wisconsin, United States","44.902","-87.837","Bay View Cottage on the shore of Green Bay","10","Entire cottage","5","https://www.airbnb.com/rooms/50592103"
"Wisconsin, United States","45.70027","-88.41277","Beautiful lakefront home on ATV/snowmobile trails","11","Entire home","5","https://www.airbnb.com/rooms/36801489"
"Crivitz, Wisconsin, United States","45.27218","-88.167","Old Camp Road Cottage","6","Entire cabin","5","https://www.airbnb.com/rooms/17618125"
"Wausaukee, Wisconsin, United States","45.40573","-87.93439","New Renovated Farm House","5","Farm stay","5","https://www.airbnb.com/rooms/43086707"
"Oconto, Wisconsin, United States","44.8497","-88.06305","Lambeau Field Cabin","7","Entire cabin","5","https://www.airbnb.com/rooms/38535314"
"Sturgeon Bay, Wisconsin, United States","44.85638","-87.50169","The Riley's Bay Beach House","8","Entire cottage","5","https://www.airbnb.com/rooms/47563877"
"Sturgeon Bay, Wisconsin, United States","44.86236","-87.4986","Stone’s Throw Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/47112433"
"Brussels, Wisconsin, United States","44.80613","-87.64004","Picturesque Door County Waterfront Cottage!","6","Entire cottage","5","https://www.airbnb.com/rooms/39081225"
"Sturgeon Bay, Wisconsin, United States","44.85241","-87.55396","Timeless Waterfront Cottage with Amazing Views","10","Entire cottage","5","https://www.airbnb.com/rooms/49805395"
"Lena, Wisconsin, United States","44.85548","-88.07156","Family Fun at the Flowage","12","Entire home","5","https://www.airbnb.com/rooms/23810659"
"Menominee, Michigan, United States","45.19697","-87.58357","The Lundgren Tree Farm","10","Entire cabin","5","https://www.airbnb.com/rooms/443694"
"Gillett, Wisconsin, United States","44.88343","-88.35207","Cedar Springs Reserve,  Your Four Seasons Escape","8","Entire villa","5","https://www.airbnb.com/rooms/29076424"
"Wausaukee, Wisconsin, United States","45.372","-87.722","Villa Alverna on the Menominee River","4","Entire home","5","https://www.airbnb.com/rooms/48228007"
"Sturgeon Bay, Wisconsin, United States","44.84978","-87.5851","Bay Cliff Cottage Retreat","6","Entire home","5","https://www.airbnb.com/rooms/52260575"
"Athelstane, Wisconsin, United States","45.38137","-88.16653","Dead end road no traffic private lake. Boat,canoe","5","Entire home","5","https://www.airbnb.com/rooms/45220058"
"Dunbar, Wisconsin, United States","45.60626","-88.11544","Fly Fisherman's Dream","4","Entire cabin","5","https://www.airbnb.com/rooms/4314638"
"Pound, Wisconsin, United States","45.15163","-88.21577","Completely remodeled Cabin on White Potato Lake!","6","Entire cabin","5","https://www.airbnb.com/rooms/45827854"
"Sturgeon Bay, Wisconsin, United States","44.85636","-87.50154","The Riley’s Bay Beach Retreat","8","Entire cottage","5","https://www.airbnb.com/rooms/48159728"
"Niagara, Wisconsin, United States","45.78789","-88.02826","Short hike to Menominee River glamping tranquility","4","Yurt","5","https://www.airbnb.com/rooms/50008882"
"Brussels, Wisconsin, United States","44.79537","-87.64999","Door County Waterfront Cottage!","8","Entire cottage","5","https://www.airbnb.com/rooms/50138384"
