"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Waynesville, North Carolina, United States","35.52027","-83.00882","Appalachian View","8","Entire home","4.5","https://www.airbnb.com/rooms/29654467"
"Waynesville, North Carolina, United States","35.4557","-83.06222","Buck Run On Balsam Ridge","8","Entire cabin","5","https://www.airbnb.com/rooms/610744200065650300"
"Leicester, North Carolina, United States","35.67873","-82.78273","1878 Victorian Country Farmhouse Near Asheville NC","6","Entire home","5","https://www.airbnb.com/rooms/50308083"
"East Fork, North Carolina, United States","35.44651","-82.80584","Springdale Treehouse Lodging 4","6","Entire cottage",,"https://www.airbnb.com/rooms/46006684"
"Canton, North Carolina, United States","35.445","-82.807","Springdale Pine Forest Home Lodging","4","Entire condo",,"https://www.airbnb.com/rooms/46004909"
"East Fork, North Carolina, United States","35.44605","-82.80667","Springdale Treehouse Lodging 5","6","Entire cottage",,"https://www.airbnb.com/rooms/46006706"
"East Fork, North Carolina, United States","35.44465","-82.80571","Springdale Treehouse Lodging 3","6","Entire cottage","5","https://www.airbnb.com/rooms/46006669"
"East Fork, North Carolina, United States","35.44556","-82.80886","Springdale Sycamore Cottage Lodging","4","Entire cabin","4","https://www.airbnb.com/rooms/46004938"
"Candler, North Carolina, United States","35.53995","-82.76145","Engadine Inn and Cabins- Cherokee Cabin","2","Entire cabin","5","https://www.airbnb.com/rooms/18291724"
"Cullowhee, North Carolina, United States","35.30406","-83.16806","Last Minute price drop!  Rafting Fun near WCU!","6","Entire chalet","5","https://www.airbnb.com/rooms/43443081"
"Maggie Valley, North Carolina, United States","35.515","-83.10986","Bones in the Sky","6","Entire home","4.5","https://www.airbnb.com/rooms/38553213"
"Lake Junaluska, North Carolina, United States","35.52941","-82.97378","Friendly, Spacious Home w/ Central AC, Private W/D, Wood Fireplace, & Mtn. View","10","Entire home",,"https://www.airbnb.com/rooms/544273549090017860"
"Waynesville, North Carolina, United States","35.48539","-83.00129","The Richeson House","14","Entire home","5","https://www.airbnb.com/rooms/8779216"
"Cullowhee, North Carolina, United States","35.29712","-83.12017","Mountain Cabin Getaway...let your soul catch up","12","Entire cabin","5","https://www.airbnb.com/rooms/38459698"
"Maggie Valley, North Carolina, United States","35.50078","-83.07695","Beartime Cabin","10","Entire cabin","5","https://www.airbnb.com/rooms/43452009"
"Candler, North Carolina, United States","35.53958","-82.76291","Engadine Inn and Cabins- Engadine Suite","2","Room in bed and breakfast",,"https://www.airbnb.com/rooms/19679500"
"Lake Junaluska, North Carolina, United States","35.52873","-82.97668","Delightful Lakefront Retreat W/ Shared Pool, Free WiFi, Lake Views & More","9","Entire home",,"https://www.airbnb.com/rooms/544274350818176400"
"Maggie Valley, North Carolina, United States","35.5174","-83.10378","Dog-Friendly 2-Story Cabin w/Wood Fireplace, Shared Pool, Lawn, Firepit, & More","8","Entire cabin","2.5","https://www.airbnb.com/rooms/53969101"
"Cosby, Tennessee, United States","35.78724","-83.22776","Sonshine By The Stream, Creek Side, Free Attraction Tickets!!!","6","Entire cabin",,"https://www.airbnb.com/rooms/53047763"
"Maggie Valley, North Carolina, United States","35.47847","-83.16879","Secluded 2 Br 2 Ba Cabinglamorous Viewshot Tub Fir","7","Entire home",,"https://www.airbnb.com/rooms/34966015"
"Sylva, North Carolina, United States","35.3596","-83.15135","Rest on the Rocks - A Charming home nestled in a canopy of forest trees and mountain rocks in Western North Carolina!","10","Entire home","5","https://www.airbnb.com/rooms/50599620"
"Waynesville, North Carolina, United States","35.53582","-83.03313","Spectacular Mtn Getaway Paved Accessgravel Drive P","8","Entire home",,"https://www.airbnb.com/rooms/37529364"
"Waynesville, North Carolina, United States","35.48883","-83.0419","Shiloh-Ranch home w/Amazing Views","12","Entire home","5","https://www.airbnb.com/rooms/3590683"
"Lake Junaluska, North Carolina, United States","35.51861","-82.97278","Relaxing Home with Shared Pool, AC, Fireplace, Washer/Dryer, and WiFi","8","Entire home",,"https://www.airbnb.com/rooms/544260369703477570"
"Waynesville, North Carolina, United States","35.4876","-82.99704","Mountain View Room - Andon-Reid Inn","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/33220496"
