"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Pequot Lakes, Minnesota, United States","46.56203","-94.29264","Glamping at its Finest!","4","Camper/RV",,"https://www.airbnb.com/rooms/48199140"
"Deerwood, Minnesota, United States","46.45236","-93.87628","Duplex style cabin, great for a larger group!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/44210846"
"Brainerd, Minnesota, United States","46.43382","-94.14579","Houseboat - ""Miss Guided"" on the Mississippi","6","Houseboat","5","https://www.airbnb.com/rooms/38845231"
"Garrison, Minnesota, United States","46.28561","-93.82198","Hemingway’s Hideaway","4","Entire home",,"https://www.airbnb.com/rooms/46650489"
"Walker, Minnesota, United States","47.12746","-94.63133","Secluded Cozy Quiet with With plenty of fun.","15","Entire home","5","https://www.airbnb.com/rooms/40206831"
"Nisswa, Minnesota, United States","46.46724","-94.2956","Spacious Open Home Perfect For a Large Family Vacation- (Unit 775/Entire Home)","10","Entire home","4.5","https://www.airbnb.com/rooms/45852699"
"Deerwood, Minnesota, United States","46.42506","-93.87371","The Northern Pine Woods Fishing and Lake  Cabin!","6","Entire cabin","5","https://www.airbnb.com/rooms/53610524"
"Nisswa, Minnesota, United States","46.51185","-94.34064","NEW! Modern Nisswa Escape w/ Deck Near Gull Lake!","15","Entire townhouse","4","https://www.airbnb.com/rooms/51140395"
"Brainerd, Minnesota, United States","46.48572","-94.23588","Breathtaking Remodel Gladstone Lake  Townhome","12","Entire townhouse","5","https://www.airbnb.com/rooms/23614914"
"Nisswa, Minnesota, United States","46.49265","-94.18238","Autumn Availability!","8","Entire home","5","https://www.airbnb.com/rooms/23415281"
"Breezy Point, Minnesota, United States","46.58459","-94.21013","Breezy Point Family House w/ Dock on Pelican Lake!","12","Entire home","4.5","https://www.airbnb.com/rooms/21381610"
"Brainerd, Minnesota, United States","46.28571","-94.06581","Log Home on Paradise Road- Amazing Home","8","Entire home","4.5","https://www.airbnb.com/rooms/52508169"
"Crosslake, Minnesota, United States","46.71824","-94.12972","2 Cabins on premier location on Whitefish Chain","6","Entire cabin","4.5","https://www.airbnb.com/rooms/36870213"
"Crosslake, Minnesota, United States","46.68658","-94.10803","Lake Retreat for Family Fun on Daggett Lake","13","Entire cabin","5","https://www.airbnb.com/rooms/51586026"
"Aitkin, Minnesota, United States","46.51484","-93.8001","Picturesque Getaway on Private Lakefront Property","6","Entire home","5","https://www.airbnb.com/rooms/46949927"
"Brainerd, Minnesota, United States","46.3813","-94.1895","Gilbert Lake Cabin","12","Entire cabin","5","https://www.airbnb.com/rooms/35428631"
"Pequot Lakes, Minnesota, United States","46.67786","-94.17243","Beautiful vacation home on the Whitefish Chain.","14","Entire home","5","https://www.airbnb.com/rooms/13176137"
"Baxter, Minnesota, United States","46.35327","-94.29644","‘R’ Lakehouse: great swimming and sandy beach.","10","Entire home","5","https://www.airbnb.com/rooms/42610782"
"Deerwood, Minnesota, United States","46.431","-93.813","Sunset Lake Log Home Nestled in Pine Trees","11","Entire home","5","https://www.airbnb.com/rooms/41661941"
"Nisswa, Minnesota, United States","46.49718","-94.18181","Large Home on Lake Edward w/ Deck & Fire Pit!","14","Entire cabin","5","https://www.airbnb.com/rooms/34717897"
"Deerwood, Minnesota, United States","46.42357","-93.88457","Falconhurst Lakeside Retreat","11","Entire home","5","https://www.airbnb.com/rooms/26057517"
"Deerwood, Minnesota, United States","46.40268","-93.82475","Bay Lake - Pristine Lakefront Retreat - Private.","8","Entire cabin","5","https://www.airbnb.com/rooms/50343071"
"Baxter, Minnesota, United States","46.36822","-94.27894","The Heronview House: shallow waters, deep skies.","10","Entire home","5","https://www.airbnb.com/rooms/53686403"
"Lake Shore, Minnesota, United States","46.51333","-94.34101","Gull Lake Getaway - Your All-Season Retreat!","10","Entire townhouse","5","https://www.airbnb.com/rooms/43023942"
"Deerwood, Minnesota, United States","46.39447","-93.87598","Pristine Bay Lake Cottage in prime location","8","Entire cottage","5","https://www.airbnb.com/rooms/45512028"
