"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Coldwater, Michigan, United States","41.80933","-84.97279","Island Cottage Get Away","8","Entire cottage","5","https://www.airbnb.com/rooms/33212784"
"Coldwater, Michigan, United States","41.79747","-85.02624","Waterfront Cottage w/ Deck + Dock on Dragon Lake!","7","Entire cottage","4","https://www.airbnb.com/rooms/20123484"
"Fremont, Indiana, United States","41.73056","-85.02805","New Listing!  Brand New Construction!","12","Entire home",,"https://www.airbnb.com/rooms/52735196"
"Angola, Indiana, United States","41.72323","-85.07824","Rustic cabin on the Lake James Chain.","9","Entire home","5","https://www.airbnb.com/rooms/48783251"
"Angola, Indiana, United States","41.68646","-85.07471","The Valor House on Crooked Lake","13","Entire home","5","https://www.airbnb.com/rooms/23336549"
"Auburn, Indiana, United States","41.37269","-85.05488","Cheerful 3 bedroom Home Located Downtown Auburn","6","Entire home",,"https://www.airbnb.com/rooms/53454559"
"Coldwater, Michigan, United States","41.85279","-84.96153","Lakefront View -Pontoon Available! Coldwater Chain","6","Entire cottage","4.5","https://www.airbnb.com/rooms/27388556"
"Angola, Indiana, United States","41.62334","-85.02088","Rhonda's Michelle's Airbnb @ Friendly Fox Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/43161502"
"Fremont, Indiana, United States","41.70506","-85.03807","The Cedar Retreat","8","Entire home","4.5","https://www.airbnb.com/rooms/27343036"
"Fremont, Indiana, United States","41.71544","-85.05331","Pettit Retreat: Cozy cottage at Jimmerson Lake","8","Entire home","5","https://www.airbnb.com/rooms/50635090"
"Quincy, Michigan, United States","41.90004","-84.89711","Stunnnig House on Marble lake with private beach🏖","10","Entire home","5","https://www.airbnb.com/rooms/28441688"
"Coldwater, Michigan, United States","41.7701","-85.04004","Lake Lavine Coldwater Mi - Cottage on the lake","4","Entire cottage","5","https://www.airbnb.com/rooms/33401634"
"Angola, Indiana, United States","41.67287","-85.06543","NEWLY RENOVATED CROOKED LAKEFRONT 4 BEDROOM HOME","12","Entire vacation home","4.5","https://www.airbnb.com/rooms/53822930"
"Angola, Indiana, United States","41.6968","-85.04043","NEW Lakefront Home With Boatdock - Sleeps 12","12","Entire home","4.5","https://www.airbnb.com/rooms/52919747"
"Coldwater, Michigan, United States","41.83921","-84.98642","Coldwater Lake Waterfront Cabin - Boat for Rent","12","Entire home","5","https://www.airbnb.com/rooms/54387778"
"Pleasant Lake, Indiana, United States","41.59765","-85.06546","Spacious Modern Getaway on Golden Lake","8","Entire home","5","https://www.airbnb.com/rooms/35867943"
"Defiance, Ohio, United States","41.32064","-84.41689","5 BR; indoor heated pool!","14","Entire rental unit","4","https://www.airbnb.com/rooms/31000883"
"Fremont, Indiana, United States","41.73063","-85.02939","LAKE JAMES CHAIN NEWLY RENOVATED 3 BED 3 BATH HOME","6","Entire vacation home","4.5","https://www.airbnb.com/rooms/53816353"
"Montpelier, Ohio, United States","41.68196","-84.73103","Luxury Lakefront Home overlooking Nettle Lake","10","Entire cottage","4.5","https://www.airbnb.com/rooms/40947567"
"Montpelier, Ohio, United States","41.57257","-84.56526","DayDreamers Lodge : Where Daydreams Become Reality","8","Entire cabin","5","https://www.airbnb.com/rooms/50778009"
"Coldwater, Michigan, United States","41.80977","-84.99065","Lakefront Cottage on Coldwater Lake","12","Entire cottage","5","https://www.airbnb.com/rooms/14990454"
"Angola, Indiana, United States","41.70482","-85.06157","Beautiful 5 bedroom Lake-home on Jimmerson Lake","15","Entire home","5","https://www.airbnb.com/rooms/24905374"
"Angola, Indiana, United States","41.6913","-85.03166","Large Hickory Point Cottage on Lake James","10","Entire home","5","https://www.airbnb.com/rooms/19542903"
"Hillsdale, Michigan, United States","41.8928","-84.6025","New Listing--Hillsdale College Lakefront Cottage!!","8","Entire cottage","5","https://www.airbnb.com/rooms/37713730"
"Fremont, Indiana, United States","41.723","-85.027","SNOW LAKE RETREAT","14","Entire home",,"https://www.airbnb.com/rooms/51714230"
