"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ashland, Alabama, United States","33.25106","-85.86555","Whiskey River","8","Tent",,"https://www.airbnb.com/rooms/42864119"
"Anniston, Alabama, United States","33.66104","-85.82854","Lofty Living- Noble Executive Suite","6","Entire place","4","https://www.airbnb.com/rooms/49793239"
"Anniston, Alabama, United States","33.63514","-85.80323","Cottage, 20 acs. Pets/fee.  Contact inn long term.","5","Entire cottage","5","https://www.airbnb.com/rooms/12294933"
"St. Clair County, Alabama, United States","33.47419","-86.32413","Perfect Family Lake House","8","Entire home","5","https://www.airbnb.com/rooms/36371773"
"Alpine, Alabama, United States","33.44712","-86.29384","Luxurious Lake house~ Panoramic Retreat ~WOW!","8","Entire home","5","https://www.airbnb.com/rooms/73820"
"Alpine, Alabama, United States","33.44209","-86.30971","Logan Martin Lakehouse -  Fish, Relax & Unwind","6","Entire home","5","https://www.airbnb.com/rooms/40609926"
"Talladega, Alabama, United States","33.53356","-86.19187","Cabin on Logan Martin Lake","6","Entire guesthouse","5","https://www.airbnb.com/rooms/6284832"
"Riverside, Alabama, United States","33.6062","-86.20377","No Stress Aunt Mary","6","Entire home","5","https://www.airbnb.com/rooms/42687944"
"Pell City, Alabama, United States","33.53444","-86.21288","Rustic Serenity on Logan Martin Lake","12","Entire home","5","https://www.airbnb.com/rooms/43768658"
"Talladega, Alabama, United States","33.50118","-86.22656","Talladega Area Condo w/ Lake Views & Pool!","8","Entire condo","4.5","https://www.airbnb.com/rooms/35905938"
"Pell City, Alabama, United States","33.56698","-86.22291","The Waterfront  Logan Martin Lake","6","Entire home","5","https://www.airbnb.com/rooms/35901252"
"Odenville, Alabama, United States","33.69872","-86.50295","Large  Hme .
3 BR 2 BTH","6","Entire home","5","https://www.airbnb.com/rooms/8962933"
"Talladega, Alabama, United States","33.47832","-86.29216","Beautiful Lakefront Home on Logan Martin Lake","8","Entire home","5","https://www.airbnb.com/rooms/48540201"
"Odenville, Alabama, United States","33.63829","-86.50006","Large Home  Pure Serenity Mnt Views","10","Entire home","5","https://www.airbnb.com/rooms/8877858"
"Lincoln, Alabama, United States","33.60017","-86.16193","Beach house on Logan Martin Lake","5","Entire cottage","5","https://www.airbnb.com/rooms/14563875"
"Pell City, Alabama, United States","33.57004","-86.22342","Lakefront Home/Pontoon for Unforgettable Vacation","8","Entire home","5","https://www.airbnb.com/rooms/49088227"
"Pell City, Alabama, United States","33.5622","-86.32012","The Cabin in Whispering Pines","10","Entire home","4.5","https://www.airbnb.com/rooms/23766507"
"Anniston, Alabama, United States","33.65293","-85.82434","Reservations available for the whole house.","6","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/51986933"
"Cropwell, Alabama, United States","33.47934","-86.31705","Logan Martin Lake House","16","Entire home","5","https://www.airbnb.com/rooms/8667689"
"Riverside, Alabama, United States","33.64243","-86.16777","Cozy Lake Cottage with fantastic Panoramic views","10","Entire cottage","5","https://www.airbnb.com/rooms/51615696"
"Odenville, Alabama, United States","33.6482","-86.4756","The Odenville Oasis - 4 Bedroom Home in Quiet Area","12","Entire home","5","https://www.airbnb.com/rooms/47478221"
"Vincent, Alabama, United States","33.44875","-86.3323","Logan Martin Lake with Beach Front Getaway!","15","Entire home","5","https://www.airbnb.com/rooms/47840167"
"Anniston, Alabama, United States","33.6575","-85.82278","LUXURY VILLA. king sized beds. En suite facilities","14","Entire home","5","https://www.airbnb.com/rooms/39307517"
"Alpine, Alabama, United States","33.4421","-86.3175","The Captain's Cabin on Logan Martin lake","12","Entire home","5","https://www.airbnb.com/rooms/24216757"
